st_case,state,county,city,latitude,longitude,route,tway_id,tway_id2,rur_urb,func_sys,year,month,day,day_week,hour,minute,fatals,drunk_dr,persons,ve_total,ve_forms,peds,nhs,sp_jur,weather,weather1,weather2,lgt_cond,cf1,cf2,cf3,rd_owner,man_coll,typ_int,rel_road,sch_bus,sp_limit,load_time
20003,4,19,4000,32.221742,-110.926479,1,I-10,,1,1,2022,2,10,5,14,20,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,75,2022-02-11 08:00:00
20004,4,27,0,36.876543,-111.234567,4,NAV-12,,2,7,2022,3,8,3,10,30,1,0,2,1,1,0,0,0,1,1,0,1,0,0,0,4,0,3,1,0,35,2022-03-09 08:00:00
20005,4,13,3000,33.612345,-112.234567,1,I-17,,1,1,2022,3,25,6,23,55,1,0,2,2,2,0,1,0,1,1,0,3,0,0,0,1,2,1,1,0,65,2022-03-26 08:00:00
30001,6,37,4472,33.942911,-118.244756,1,I-405,,1,1,2022,1,8,7,8,10,1,0,3,3,3,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,65,2022-01-09 08:00:00
30002,6,73,5202,36.746842,-119.772586,2,CA-99,,1,2,2022,1,29,7,5,45,2,0,4,2,2,0,0,0,5,5,0,3,0,0,0,1,2,1,1,0,55,2022-01-30 08:00:00
30003,6,59,4120,33.834521,-117.914567,1,I-5,,1,1,2022,2,16,4,15,30,1,0,2,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,70,2022-02-17 08:00:00
30004,6,85,5000,37.338208,-121.886329,1,I-280,,1,1,2022,3,4,6,18,20,1,0,4,2,2,1,1,0,1,1,0,1,0,0,0,1,6,2,2,0,65,2022-03-05 08:00:00
30005,6,1,100,37.804363,-122.271111,3,CA-13,,1,4,2022,4,12,3,12,15,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,1,0,3,1,0,40,2022-04-13 08:00:00
40001,12,11,3580,25.761681,-80.191788,1,I-95,,1,1,2022,1,3,2,16,40,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,70,2022-01-04 08:00:00
40002,12,31,0,30.332184,-81.655651,1,I-95,,1,1,2022,1,19,4,19,30,2,1,6,3,3,1,1,0,1,1,0,1,0,0,0,1,6,1,1,0,70,2022-01-20 08:00:00
40003,12,57,4000,28.538336,-81.379234,2,US-17/92,,1,3,2022,2,8,3,21,5,1,0,2,2,2,0,0,0,1,1,0,3,0,0,0,1,2,1,2,0,50,2022-02-09 08:00:00
40004,12,86,0,27.950575,-82.457178,1,I-275,,1,1,2022,3,15,3,7,50,1,0,4,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,65,2022-03-16 08:00:00
40005,12,99,2000,26.142036,-80.320987,2,US-441,,1,3,2022,4,2,7,14,25,1,0,3,2,2,1,0,0,2,2,0,1,0,0,0,1,6,2,2,0,45,2022-04-03 08:00:00
50001,48,113,3362,32.776664,-96.796988,1,I-35E,,1,1,2022,1,7,6,6,15,1,0,2,1,1,0,1,0,1,1,0,3,0,0,0,1,0,3,1,0,60,2022-01-08 08:00:00
50002,48,201,3000,29.760427,-95.369803,1,I-10,,1,1,2022,1,25,3,17,55,2,0,6,3,3,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,65,2022-01-26 08:00:00
50003,48,29,4000,29.424122,-98.493629,1,I-35,,1,1,2022,2,12,7,23,10,1,1,2,2,2,0,1,0,1,1,0,3,0,0,0,1,2,1,1,0,65,2022-02-13 08:00:00
50004,48,439,0,31.761878,-106.485022,2,US-54,,1,3,2022,3,1,3,13,40,1,0,3,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-03-02 08:00:00
50005,48,141,0,30.267153,-97.743061,1,I-35,,1,1,2022,3,18,6,15,20,1,0,4,2,2,1,1,0,1,1,0,1,0,0,0,1,6,2,2,0,60,2022-03-19 08:00:00
60001,36,61,5100,40.712776,-74.005974,1,I-278,,1,1,2022,1,11,3,9,30,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,50,2022-01-12 08:00:00
60002,36,55,0,43.161030,-77.610922,1,I-490,,1,1,2022,2,4,6,7,45,1,0,2,1,1,0,1,0,4,4,0,1,0,0,0,1,0,3,1,0,55,2022-02-05 08:00:00
60003,36,29,4000,42.886447,-78.878369,1,I-90,,1,1,2022,2,22,3,16,10,2,0,5,3,3,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,65,2022-02-23 08:00:00
60004,36,103,3000,40.728224,-73.794852,2,NY-25A,,1,3,2022,3,10,5,20,55,1,0,2,2,2,0,0,0,1,1,0,3,0,0,0,1,2,1,2,0,40,2022-03-11 08:00:00
60005,36,1,100,42.652580,-73.756233,1,I-787,,1,1,2022,4,1,6,11,20,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-04-02 08:00:00
70001,17,31,1450,41.878114,-87.629798,1,I-90,,1,1,2022,1,14,6,22,30,1,0,3,2,2,0,1,0,1,1,0,3,0,0,0,1,2,1,1,0,55,2022-01-15 08:00:00
70002,17,119,5000,40.693773,-89.588960,1,I-74,,1,1,2022,2,7,2,6,15,1,0,2,1,1,0,1,0,1,1,0,1,0,0,0,1,0,3,1,0,65,2022-02-08 08:00:00
70003,17,163,3000,38.627003,-90.199404,1,I-55,,1,1,2022,3,3,5,14,50,2,1,4,3,3,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,70,2022-03-04 08:00:00
70004,17,89,1000,42.271131,-89.093994,2,US-20,,2,3,2022,3,25,6,10,20,1,0,3,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-03-26 08:00:00
70005,17,201,0,39.800000,-88.900000,4,CR-100,,2,7,2022,4,15,6,5,30,1,0,1,1,1,0,0,0,1,1,0,3,0,0,0,2,0,3,1,0,35,2022-04-16 08:00:00
80001,39,35,2000,41.499320,-81.694361,1,I-77,,1,1,2022,1,21,6,18,10,1,0,3,2,2,0,1,0,4,4,0,3,0,0,0,1,2,1,1,0,60,2022-01-22 08:00:00
80002,39,49,1000,39.961176,-82.998794,1,I-70,,1,1,2022,2,14,2,8,45,1,0,2,2,2,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,65,2022-02-15 08:00:00
80003,39,113,500,39.103119,-84.512020,1,I-75,,1,1,2022,3,8,3,16,30,2,1,5,3,3,1,1,0,1,1,0,1,0,0,0,1,6,1,2,0,65,2022-03-09 08:00:00
80004,39,87,0,41.234567,-81.345678,3,OH-8,,1,4,2022,4,2,7,12,15,1,0,3,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,45,2022-04-03 08:00:00
80005,39,153,200,40.798765,-81.378901,2,US-30,,2,3,2022,5,1,1,20,45,1,0,2,1,1,0,0,0,1,1,0,3,0,0,0,1,0,3,1,0,55,2022-05-02 08:00:00
90001,42,101,3000,39.952584,-75.165222,1,I-76,,1,1,2022,1,6,5,7,20,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-01-07 08:00:00
90002,42,3,0,40.440625,-79.995886,1,I-376,,1,1,2022,2,17,5,15,50,1,0,4,2,2,1,1,0,1,1,0,1,0,0,0,1,6,2,2,0,55,2022-02-18 08:00:00
90003,42,91,500,40.234567,-76.876543,2,US-322,,2,3,2022,3,12,7,10,35,1,0,2,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,50,2022-03-13 08:00:00
90004,42,69,200,41.408969,-75.662412,1,I-81,,1,1,2022,4,6,4,19,15,2,0,4,3,3,0,1,0,2,2,0,3,0,0,0,1,6,1,1,0,65,2022-04-07 08:00:00
90005,42,129,0,42.123456,-80.085614,3,PA-8,,2,4,2022,5,10,3,13,40,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,1,0,3,1,0,40,2022-05-11 08:00:00
100001,13,121,4000,33.748996,-84.387982,1,I-285,,1,1,2022,1,9,1,6,55,1,0,2,2,2,0,1,0,1,1,0,3,0,0,0,1,2,1,1,0,65,2022-01-10 08:00:00
100002,13,67,1000,32.460976,-83.884100,1,I-75,,1,1,2022,2,20,1,14,20,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,70,2022-02-21 08:00:00
100003,13,51,0,34.234567,-84.123456,3,GA-400,,1,2,2022,3,14,2,9,45,1,0,4,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-03-15 08:00:00
100004,13,89,500,33.876543,-84.567890,2,US-78,,1,3,2022,4,7,5,21,10,2,1,5,3,3,1,0,0,1,1,0,3,0,0,0,1,6,2,2,0,45,2022-04-08 08:00:00
100005,13,245,0,31.234567,-82.345678,4,GA-32,,2,7,2022,5,15,1,8,30,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,2,0,3,1,0,45,2022-05-16 08:00:00
110001,34,13,2000,40.735657,-74.172367,1,I-78,,1,1,2022,1,12,4,7,40,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-01-13 08:00:00
110002,34,23,0,39.364285,-74.422927,3,NJ-9,,1,4,2022,2,5,7,20,25,1,0,2,2,2,0,0,0,1,1,0,3,0,0,0,1,2,1,2,0,50,2022-02-06 08:00:00
110003,34,3,3000,40.876543,-74.234567,2,US-202,,1,3,2022,3,18,6,12,10,1,0,3,2,2,0,0,0,1,1,0,1,0,0,0,1,6,1,1,0,45,2022-03-19 08:00:00
110004,34,7,1000,39.987654,-74.876543,1,I-195,,1,1,2022,4,9,7,16,55,1,1,2,1,1,0,1,0,1,1,0,1,0,0,0,1,0,3,1,0,65,2022-04-10 08:00:00
110005,34,31,0,40.234567,-74.567890,2,US-1,,1,3,2022,5,3,3,9,20,1,0,4,2,2,1,0,0,2,2,0,1,0,0,0,1,2,1,2,0,45,2022-05-04 08:00:00
120001,24,33,3000,39.290385,-76.612189,1,I-695,,1,1,2022,1,16,1,18,35,1,0,3,2,2,0,1,0,1,1,0,3,0,0,0,1,2,1,1,0,55,2022-01-17 08:00:00
120002,24,17,0,38.990733,-76.937816,1,I-495,,1,1,2022,2,26,7,8,5,2,0,4,3,3,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,65,2022-02-27 08:00:00
120003,24,3,500,39.234567,-76.234567,2,US-40,,1,3,2022,3,21,2,14,50,1,0,2,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,50,2022-03-22 08:00:00
120004,24,21,200,39.654321,-78.765432,1,I-70,,2,1,2022,4,14,5,6,25,1,0,2,1,1,0,1,0,5,5,0,1,0,0,0,1,0,3,1,0,65,2022-04-15 08:00:00
120005,24,9,0,38.345678,-75.987654,3,MD-2,,2,4,2022,5,8,1,11,45,1,1,3,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,45,2022-05-09 08:00:00
130001,51,87,5000,38.907192,-77.036871,1,I-66,,1,1,2022,1,20,5,7,50,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-01-21 08:00:00
130002,51,760,4000,37.540725,-77.436048,1,I-95,,1,1,2022,2,11,6,16,15,1,0,2,2,2,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,70,2022-02-12 08:00:00
130003,51,550,2000,36.846831,-76.285889,1,I-264,,1,1,2022,3,28,2,22,40,2,1,5,3,3,1,1,0,1,1,0,3,0,0,0,1,6,1,2,0,65,2022-03-29 08:00:00
130004,51,161,0,37.234567,-79.876543,2,US-29,,2,3,2022,4,16,7,10,5,1,0,3,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-04-17 08:00:00
130005,51,59,300,38.876543,-77.234567,3,VA-123,,1,4,2022,5,5,5,14,30,1,0,2,2,2,0,0,0,1,1,0,1,0,0,0,1,2,2,1,0,45,2022-05-06 08:00:00
140001,26,163,2000,42.331427,-83.045754,1,I-94,,1,1,2022,1,23,1,5,20,1,0,2,1,1,0,1,0,4,4,0,3,0,0,0,1,0,3,1,0,70,2022-01-24 08:00:00
140002,26,81,3000,42.963360,-85.668086,1,I-96,,1,1,2022,2,18,6,13,45,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,65,2022-02-19 08:00:00
140003,26,49,0,42.732535,-84.555535,1,I-496,,1,1,2022,3,30,4,17,30,1,0,4,2,2,1,1,0,1,1,0,1,0,0,0,1,6,2,2,0,55,2022-03-31 08:00:00
140004,26,25,500,42.234567,-83.876543,2,US-12,,1,3,2022,4,20,4,9,10,1,1,2,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,50,2022-04-21 08:00:00
140005,26,145,0,43.876543,-86.234567,3,MI-31,,2,4,2022,5,12,5,20,55,2,0,5,3,3,0,0,0,2,2,0,3,0,0,0,1,6,1,1,0,55,2022-05-13 08:00:00
150001,53,33,3000,47.606209,-122.332071,1,I-5,,1,1,2022,1,28,6,7,15,1,0,3,2,2,0,1,0,2,2,0,1,0,0,0,1,2,1,1,0,60,2022-01-29 08:00:00
150002,53,53,2000,47.252877,-122.444291,1,I-5,,1,1,2022,2,24,5,16,40,1,0,2,2,2,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,60,2022-02-25 08:00:00
150003,53,63,0,46.602071,-120.508816,2,US-97,,2,3,2022,3,17,5,11,25,1,0,3,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-03-18 08:00:00
150004,53,11,500,48.234567,-122.345678,3,WA-20,,2,4,2022,4,25,2,14,50,1,0,2,1,1,0,0,0,2,2,0,1,0,0,0,1,0,3,1,0,45,2022-04-26 08:00:00
150005,53,77,0,46.876543,-117.234567,4,CR-44,,2,7,2022,5,18,4,6,10,1,0,1,1,1,0,0,0,1,1,0,3,0,0,0,2,0,3,1,0,25,2022-05-19 08:00:00
160001,29,510,4000,38.627003,-90.199404,1,I-70,,1,1,2022,1,31,2,19,30,2,1,4,3,3,0,1,0,1,1,0,3,0,0,0,1,6,1,1,0,60,2022-02-01 08:00:00
160002,29,95,1000,39.099727,-94.578567,1,I-435,,1,1,2022,2,28,2,8,45,1,0,3,2,2,0,1,0,4,4,0,1,0,0,0,1,2,1,1,0,65,2022-03-01 08:00:00
160003,29,77,0,37.234567,-93.876543,2,US-65,,2,3,2022,3,24,5,14,20,1,0,2,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-03-25 08:00:00
160004,29,189,300,38.876543,-90.234567,3,MO-94,,2,4,2022,4,18,2,21,55,1,0,3,2,2,1,0,0,1,1,0,3,0,0,0,1,6,2,2,0,45,2022-04-19 08:00:00
160005,29,19,0,36.876543,-89.567890,4,CR-330,,2,7,2022,5,22,1,10,15,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,2,0,3,1,0,30,2022-05-23 08:00:00
170001,47,37,2000,36.162664,-86.781602,1,I-40,,1,1,2022,2,3,5,15,40,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,65,2022-02-04 08:00:00
170002,47,157,3000,35.149534,-90.048980,1,I-240,,1,1,2022,3,7,2,22,5,2,0,4,3,3,0,1,0,1,1,0,3,0,0,0,1,6,1,1,0,60,2022-03-08 08:00:00
170003,47,65,0,35.876543,-83.876543,3,TN-66,,2,4,2022,4,11,2,9,30,1,0,2,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,45,2022-04-12 08:00:00
170004,47,93,500,36.234567,-82.345678,2,US-11W,,2,3,2022,5,16,2,12,15,1,1,3,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,50,2022-05-17 08:00:00
170005,47,179,0,35.234567,-88.234567,4,CR-50,,2,7,2022,6,1,4,5,55,1,0,1,1,1,0,0,0,1,1,0,3,0,0,0,2,0,3,1,0,35,2022-06-02 08:00:00
180001,37,119,4000,35.227087,-80.843127,1,I-77,,1,1,2022,1,30,1,17,20,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,70,2022-01-31 08:00:00
180002,37,183,2000,35.779590,-78.638179,1,I-40,,1,1,2022,3,5,7,8,30,1,0,2,2,2,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,65,2022-03-06 08:00:00
180003,37,67,0,35.234567,-79.876543,2,US-421,,2,3,2022,4,8,6,14,45,1,0,4,2,2,1,0,0,1,1,0,1,0,0,0,1,2,1,2,0,55,2022-04-09 08:00:00
180004,37,25,500,35.456789,-82.345678,3,NC-191,,2,4,2022,5,20,6,6,10,1,1,2,1,1,0,0,0,5,5,0,3,0,0,0,1,0,3,1,0,40,2022-05-21 08:00:00
180005,37,129,0,34.567890,-77.876543,4,NC-53,,2,7,2022,6,5,1,19,35,2,0,3,2,2,0,0,0,1,1,0,1,0,0,0,2,6,1,1,0,45,2022-06-06 08:00:00
190001,18,97,3000,39.768403,-86.158068,1,I-65,,1,1,2022,2,6,1,6,25,1,0,2,1,1,0,1,0,1,1,0,3,0,0,0,1,0,3,1,0,65,2022-02-07 08:00:00
190002,18,89,1000,41.676355,-86.251964,2,US-31,,1,3,2022,3,13,1,14,10,1,0,3,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-03-14 08:00:00
190003,18,3,0,40.234567,-85.876543,3,IN-67,,2,4,2022,4,22,6,10,50,1,0,4,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,45,2022-04-23 08:00:00
190004,18,163,500,38.876543,-87.234567,2,US-41,,2,3,2022,5,14,7,21,30,1,1,2,1,1,0,0,0,1,1,0,3,0,0,0,1,0,3,1,0,55,2022-05-15 08:00:00
190005,18,39,0,41.876543,-85.876543,4,CR-25,,2,7,2022,6,8,4,7,15,1,0,1,1,1,0,0,0,4,4,0,1,0,0,0,2,0,3,1,0,30,2022-06-09 08:00:00
200001,55,79,3000,43.038902,-87.906474,1,I-94,,1,1,2022,1,17,2,16,45,1,0,3,2,2,0,1,0,4,4,0,3,0,0,0,1,2,1,1,0,55,2022-01-18 08:00:00
200002,55,25,2000,43.073052,-89.401230,1,I-90,,1,1,2022,3,2,4,8,20,1,0,2,2,2,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,65,2022-03-03 08:00:00
200003,55,9,0,44.876543,-89.234567,2,US-51,,2,3,2022,4,13,4,11,55,1,0,3,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,55,2022-04-14 08:00:00
200004,55,107,500,42.567890,-88.345678,3,WI-142,,2,4,2022,5,25,4,15,10,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,1,0,3,1,0,45,2022-05-26 08:00:00
200005,55,63,0,46.234567,-90.876543,4,CR-GG,,2,7,2022,6,12,1,5,40,1,0,1,1,1,0,0,0,5,5,0,3,0,0,0,2,0,3,1,0,25,2022-06-13 08:00:00
,1,1,0,32.483521,-86.491208,1,I-85,,1,1,2022,1,15,7,,30,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,70,2022-01-16 08:00:00
999999,1,1,0,32.483521,-86.491208,1,I-85,,1,1,1960,1,15,7,14,30,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,70,2022-01-16 08:00:00
10099,1,1,0,95.000000,-86.491208,1,I-85,,1,1,2022,1,15,7,14,30,-1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,70,2022-01-16 08:00:00
