application_id,application_ts,applicant_age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,debt_to_income,home_ownership,loan_purpose,delinquencies_2yr,defaulted
APP-0001-0000039,2023-11-15T01:28:20Z,34,62306,24073.1,12,682,12.36,0.4599,OWN,DEBT_CONSOLIDATION,3,1
APP-0001-0000040,2023-11-15T01:33:20Z,19,46164.33,3168.75,12,680,1,0.4342,RENT,BUSINESS,3,0
APP-0001-0000041,2023-11-15T01:38:20Z,65,63321.33,9671.48,60,629,37.64,0.4763,RENT,EDUCATION,1,0
APP-0001-0000042,2023-11-15T01:43:20Z,21,80160.31,33753.84,48,712,3,0.1216,OWN,EDUCATION,1,0
APP-0001-0000043,2023-11-15T01:48:20Z,35,27120.51,9866.73,24,607,17,0.3747,OWN,DEBT_CONSOLIDATION,0,0
APP-0001-0000044,2023-11-15T01:53:20Z,49,63861.67,8762.16,24,726,30.33,0.7237,MORTGAGE,HOME_IMPROVEMENT,0,0
APP-0001-0000045,2023-11-15T01:58:20Z,48,98823.54,56686.77,36,786,14.39,0.2486,MORTGAGE,AUTO,0,0
APP-0001-0000046,2023-11-15T02:03:20Z,25,49817.07,6720.05,24,573,7,0.4712,OWN,DEBT_CONSOLIDATION,2,0
APP-0001-0000047,2023-11-15T02:08:20Z,79,39542.58,13075.42,48,507,15.24,0.2604,OWN,BUSINESS,1,1
APP-0001-0000048,2023-11-15T02:13:20Z,65,79898.29,10322.99,36,723,15.26,0.3925,RENT,HOME_IMPROVEMENT,1,0
APP-0001-0000049,2023-11-15T02:18:20Z,78,63834.62,28377.96,12,850,20.15,0.4588,OWN,BUSINESS,0,0
