payment_id,invoice_id,payment_date,amount,payment_method,reference_number,_ingested_at
292,441,2023-03-21,86.89,bank_transfer,REF-271974,2023-03-21T15:12:56
293,227,2025-08-08,116.02,check,REF-348956,2025-08-08T16:46:05
294,63,2025-02-12,172.42,check,REF-619867,2025-02-12T23:12:54
295,412,2025-08-02,64.53,wire,REF-439110,2025-08-03T00:03:44
296,433,2025-10-31,87.15,bank_transfer,REF-205029,2025-11-01T14:50:47
297,92,2025-10-06,23.15,bank_transfer,REF-205850,2025-10-07T13:00:26
298,454,2025-07-18,95.21,ach,REF-735877,2025-07-19T02:24:39
299,95,2023-02-13,44.51,bank_transfer,REF-836608,2023-02-14T15:58:05
300,312,2024-05-29,103.81,ach,REF-575794,2024-05-29T13:51:44
301,90,2025-06-20,16.96,credit_card,REF-714111,2025-06-21T23:24:24
302,395,2023-12-15,69.80,ach,REF-419697,2023-12-16T16:49:12
303,433,2025-07-25,185.37,ach,REF-353016,2025-07-25T07:18:32
304,214,2023-08-23,49.76,wire,REF-657004,2023-08-23T17:58:17
305,346,2025-04-24,66.81,bank_transfer,REF-351305,2025-04-25T01:11:33
306,100,2024-09-13,87.59,bank_transfer,REF-129765,2024-09-13T13:09:22
307,207,2024-03-30,17.27,wire,REF-431261,2024-03-31T04:26:14
308,259,2023-04-02,173.57,wire,REF-839922,2023-04-02T14:48:02
309,267,2023-11-12,58.06,check,REF-594368,2023-11-13T00:57:44
310,397,2023-12-23,282.56,bank_transfer,REF-996002,2023-12-23T06:37:42
311,313,2025-09-10,39.34,credit_card,REF-735102,2025-09-10T16:32:38
312,67,2025-08-29,433.60,credit_card,REF-277299,2025-08-30T11:53:15
313,132,2024-10-06,51.97,wire,REF-733815,2024-10-06T02:36:59
314,225,2023-09-15,33.29,bank_transfer,REF-746208,2023-09-16T12:53:25
315,241,2024-12-03,17.57,credit_card,REF-414995,2024-12-03T18:06:04
316,412,2024-07-04,10.08,credit_card,REF-754276,2024-07-04T13:13:25
317,3,2025-04-02,35.89,ach,REF-355886,2025-04-02T23:39:11
318,135,2025-01-29,8.28,check,REF-432086,2025-01-29T17:40:00
319,282,2024-06-15,72.48,check,REF-790423,2024-06-15T17:11:01
320,300,2024-11-17,41.89,wire,REF-760538,2024-11-17T17:19:18
321,373,2023-12-04,66.10,ach,REF-221401,2023-12-04T23:02:49
322,259,2023-11-15,67.74,credit_card,REF-771686,2023-11-16T02:58:01
323,430,2024-06-04,47.16,ach,REF-931742,2024-06-04T21:16:40
324,381,2024-01-28,387.48,bank_transfer,REF-513510,2024-01-28T20:50:28
325,378,2023-09-18,26.20,check,REF-260351,2023-09-19T07:23:03
326,16,2024-10-21,40.18,check,REF-119314,2024-10-22T09:54:56
327,206,2023-08-25,396.27,credit_card,REF-493742,2023-08-25T20:28:34
328,475,2024-06-07,29.80,wire,REF-414644,2024-06-08T07:49:45
329,421,2025-05-20,183.02,credit_card,REF-203297,2025-05-20T23:18:16
330,47,2024-12-10,121.15,ach,REF-406826,2024-12-10T15:13:03
331,99,2024-08-20,13.72,wire,REF-235970,2024-08-21T16:29:16
332,464,2023-07-31,163.68,check,REF-275306,2023-08-01T07:48:53
333,257,2023-06-29,16.75,ach,REF-329299,2023-06-29T16:34:18
334,383,2023-03-18,215.17,ach,REF-212084,2023-03-18T20:37:40
335,424,2025-10-30,24.78,check,REF-646467,2025-10-30T10:57:02
336,485,2023-08-04,246.62,check,REF-684092,2023-08-05T02:31:34
337,61,2025-12-14,28.32,credit_card,REF-392980,2025-12-14T04:38:09
338,314,2024-02-04,7.33,ach,REF-742938,2024-02-05T01:38:28
339,108,2025-06-23,44.37,check,REF-194955,2025-06-24T02:34:17
340,462,2024-08-23,4.27,bank_transfer,REF-918128,2024-08-24T03:43:46
341,435,2024-06-06,22.51,bank_transfer,REF-627004,2024-06-06T21:41:23
342,66,2025-11-02,61.71,ach,REF-537240,2025-11-02T17:19:19
343,107,2023-03-18,87.39,credit_card,REF-237018,2023-03-19T01:19:31
344,56,2025-10-24,34.04,bank_transfer,REF-294045,2025-10-24T17:50:47
345,323,2024-06-22,106.19,bank_transfer,REF-853295,2024-06-23T08:46:46
346,402,2025-05-19,156.86,bank_transfer,REF-543878,2025-05-20T00:45:27
347,224,2025-10-10,1005.21,credit_card,REF-219638,2025-10-10T23:18:05
348,40,2025-06-08,49.39,wire,REF-148264,2025-06-08T23:47:17
349,148,2024-02-29,20.26,wire,REF-894377,2024-03-01T03:19:10
350,218,2023-03-18,106.71,check,REF-321690,2023-03-18T05:09:00
351,272,2024-02-07,71.78,bank_transfer,REF-253970,2024-02-08T10:07:17
352,20,2025-02-03,11.43,check,REF-911828,2025-02-03T18:57:09
353,288,2025-06-15,364.65,wire,REF-628706,2025-06-15T22:19:47
354,471,2025-05-30,27.94,credit_card,REF-261589,2025-05-31T12:01:19
355,489,2024-01-24,56.85,bank_transfer,REF-162672,2024-01-24T14:46:58
356,329,2024-06-15,30.59,credit_card,REF-853312,2024-06-16T18:10:22
357,119,2024-03-10,39.67,bank_transfer,REF-827236,2024-03-11T16:18:57
358,407,2025-04-30,7.72,ach,REF-830064,2025-05-01T05:46:17
359,422,2024-02-03,255.71,ach,REF-251691,2024-02-03T19:25:50
360,86,2024-02-14,123.51,credit_card,REF-549187,2024-02-14T15:01:46
361,95,2024-12-01,81.23,bank_transfer,REF-769363,2024-12-01T22:09:11
362,293,2025-08-16,121.58,bank_transfer,REF-801316,2025-08-17T04:06:51
363,97,2024-03-18,122.51,credit_card,REF-983118,2024-03-19T08:39:13
364,415,2024-06-07,59.35,wire,REF-869525,2024-06-07T23:46:26
365,257,2024-02-06,59.30,check,REF-530476,2024-02-06T21:01:28
