order_id,customer_id,product_id,order_date,ship_date,quantity,unit_price,discount_pct
O0000047,C00824,P00057,2024-06-05,2024-06-12,8,66.64,0
O0000048,C00758,P00276,2024-04-18,2024-04-21,9,1312.93,0
O0000049,C00562,P00248,2024-11-14,2024-11-25,3,1740.73,0.15
O0000050,C00019,P00193,2024-10-25,2024-11-08,9,118.27,0
O0000051,C00062,P00146,2024-04-12,2024-04-24,10,685.49,0.05
O0000052,C00671,P00484,2024-01-05,2024-01-06,7,1654.33,0.15
O0000053,C00873,P00468,2024-12-03,2024-12-08,2,57.51,0.2
O0000054,C00905,P00333,2024-07-16,2024-07-19,7,1276.27,0.15
O0000055,C00102,P00463,2024-06-10,2024-06-17,10,1333.59,0
O0000056,C00204,P00257,2024-08-22,2024-08-30,1,108.98,0.1
O0000057,C00313,P00171,2024-09-07,2024-09-13,3,55.75,0.15
O0000058,C00361,P00182,2024-11-16,2024-11-20,4,2490.03,0.1
O0000059,C00283,P00416,2024-02-01,2024-02-11,5,2197.91,0.2
O0000060,C00031,P00484,2024-10-11,2024-10-15,4,387.75,0.05
O0000061,C00673,P00071,2024-02-14,2024-02-25,7,1306.59,0.15
O0000062,C00628,P00447,2024-11-16,2024-11-26,4,1049.16,0.1
O0000063,C00157,P00219,2024-06-08,2024-06-22,10,829.92,0.1
O0000064,C00135,P00106,2024-11-30,2024-12-02,10,1357.97,0.2
O0000065,C00208,P00442,2024-03-11,2024-03-15,9,2274.81,0.05
O0000066,C00931,P00500,2025-01-29,2025-01-31,10,2293.61,0
O0000067,C00070,P00286,2024-09-29,2024-10-10,2,468.5,0.2
O0000068,C00901,P00075,2025-01-07,2025-01-07,6,2201.53,0.05
O0000069,C00985,P00211,2024-06-04,2024-06-11,5,388.37,0
O0000070,C00110,P00068,2024-04-04,2024-04-04,10,1546.2,0.1
O0000071,C00581,P00314,2024-04-28,2024-05-07,4,584.97,0
O0000072,C00368,P00041,2024-12-18,2024-12-30,8,343.88,0.2
O0000073,C00620,P00241,2024-12-30,2025-01-09,6,468.1,0.05
O0000074,C00504,P00243,2024-03-11,2024-03-13,4,573.42,0.05
O0000075,C00783,P00497,2024-01-08,2024-01-22,5,2375.99,0
O0000076,C00761,P00344,2024-04-13,2024-04-25,4,174.68,0.05
O0000077,C00888,P00316,2024-09-07,2024-09-18,6,2168.27,0
O0000078,C00438,P00208,2025-02-01,2025-02-01,10,1840.98,0.05
O0000079,C00738,P00161,2024-07-20,2024-07-29,10,1488.58,0.1
O0000080,C00657,P00449,2024-12-26,2025-01-07,1,1306.42,0.05
O0000081,C00468,P00424,2025-03-25,2025-03-25,4,1301.57,0.05
O0000082,C00753,P00021,2024-10-12,2024-10-18,9,1915.25,0
O0000083,C00195,P00150,2024-08-13,2024-08-19,5,1936.46,0
O0000084,C00473,P00086,2024-08-04,2024-08-08,10,2298.39,0.15
O0000085,C00530,P00463,2024-03-13,2024-03-20,8,235.2,0.1
O0000086,C00116,P00093,2025-02-02,2025-02-11,9,346.91,0.05
O0000087,C00332,P00231,2024-01-13,2024-01-15,8,1479.89,0.15
O0000088,C00918,P00104,2024-08-20,2024-08-21,5,816.95,0.15
O0000089,C00929,P00365,2025-02-11,2025-02-13,2,237.07,0.15
O0000090,C00461,P00325,2024-07-04,2024-07-05,9,1771.13,0.15
O0000091,C00811,P00500,2024-09-18,2024-09-27,3,952.91,0.05
O0000092,C00045,P00394,2024-03-28,2024-04-11,6,1418.07,0.15
O0000093,C00884,P00077,2024-03-24,2024-04-06,3,455.38,0.15
O0000094,C00053,P00215,2024-06-06,2024-06-10,8,729.06,0
O0000095,C00121,P00461,2024-03-08,2024-03-11,1,1560.18,0
O0000096,C00013,P00235,2024-09-11,2024-09-24,8,1363.32,0
O0000097,C00623,P00452,2024-09-09,2024-09-12,4,1476.27,0.05
O0000098,C00465,P00210,2024-08-14,2024-08-15,10,1504.25,0
O0000099,C00904,P00281,2024-05-22,2024-05-31,9,2052.1,0
O0000100,C00051,P00095,2024-03-16,2024-03-16,6,101.44,0.2
O0000101,C00034,P00342,2024-10-22,2024-11-04,10,753.12,0
O0000102,C00051,P00056,2024-08-01,2024-08-03,3,1683.51,0.1
O0000103,C00677,P00355,2024-12-24,2025-01-02,10,1970.4,0
O0000104,C00990,P00234,2025-01-18,2025-01-27,6,2329.38,0
O0000105,C00787,P00154,2024-06-14,2024-06-19,7,2052.46,0.2
O0000106,C00438,P00432,2024-10-08,2024-10-09,5,1182.33,0
O0000107,C00712,P00441,2024-05-20,2024-05-25,9,1040.26,0
O0000108,C00713,P00108,2024-11-09,2024-11-09,2,1432.7,0.15
O0000109,C00542,P00045,2024-09-04,2024-09-15,10,2335.39,0.15
O0000110,C00295,P00219,2024-11-07,2024-11-20,6,656.55,0.1
O0000111,C00639,P00182,2024-03-07,2024-03-16,10,1246.03,0.15
O0000112,C00648,P00255,2024-09-09,2024-09-21,3,2210.32,0
O0000113,C00726,P00149,2024-04-09,2024-04-09,2,69.73,0.15
O0000114,C00816,P00061,2025-01-12,2025-01-25,4,2000.92,0.05
O0000115,C00424,P00024,2024-06-19,2024-06-24,9,2017.05,0
O0000116,C00012,P00328,2024-04-13,2024-04-24,5,643.5,0
O0000117,C00316,P00154,2024-09-16,2024-09-24,6,1919.91,0
O0000118,C00703,P00171,2024-06-23,2024-06-29,10,1543.82,0
O0000119,C00853,P00090,2024-04-09,2024-04-14,6,2306.48,0.05
O0000120,C00939,P00243,2025-02-12,2025-02-12,3,1208.92,0.15
O0000121,C00472,P00457,2025-03-18,2025-03-26,6,1161.55,0.2
O0000122,C00424,P00476,2025-01-15,2025-01-15,9,755.37,0.15
O0000123,C00695,P00162,2024-10-11,2024-10-19,1,528.57,0.15
O0000124,C00340,P00410,2025-02-11,2025-02-16,2,2424.34,0
O0000125,C00861,P00016,2024-06-22,2024-06-28,9,2107.59,0.1
O0000126,C00621,P00200,2024-04-05,2024-04-14,2,2162.84,0.2
O0000127,C00316,P00362,2025-03-15,2025-03-20,1,686.03,0
O0000128,C00509,P00450,2024-05-01,2024-05-06,8,2075.35,0
O0000129,C00222,P00269,2024-06-03,2024-06-05,2,941.8,0
O0000130,C00797,P00104,2024-02-17,2024-02-24,9,72.09,0.05
O0000131,C00927,P00257,2024-03-19,2024-03-22,6,2309.86,0.15
O0000132,C00895,P00269,2024-06-07,2024-06-19,6,366.8,0.2
O0000133,C00101,P00421,2024-09-21,2024-10-01,3,520.92,0
O0000134,C00471,P00199,2024-12-31,2025-01-13,9,298.43,0
O0000135,C00955,P00023,2024-12-17,2024-12-30,10,2180.97,0
O0000136,C00479,P00456,2024-01-24,2024-01-25,9,1917.79,0.15
O0000137,C00320,P00012,2024-10-22,2024-11-03,5,1600.74,0
O0000138,C00329,P00103,2024-04-08,2024-04-12,5,1335.37,0.2
O0000139,C00452,P00344,2024-03-01,2024-03-05,3,402.17,0
O0000140,C00016,P00491,2024-11-14,2024-11-22,9,264.91,0.1
O0000141,C00359,P00282,2024-06-12,2024-06-16,3,2358.76,0.2
O0000142,C00291,P00294,2024-05-05,2024-05-07,2,785.33,0
O0000143,C00554,P00228,2024-01-26,2024-01-28,1,1182.13,0.15
O0000144,C00052,P00055,2024-07-15,2024-07-15,2,1071.9,0
O0000145,C00722,P00306,2024-10-30,2024-11-09,8,1544.63,0
O0000146,C00341,P00419,2024-04-11,2024-04-22,9,205.58,0.2
O0000147,C00783,P00239,2024-10-17,2024-10-19,2,2034.0,0.15
O0000148,C00480,P00050,2024-08-21,2024-08-25,8,1181.66,0
O0000149,C00148,P00441,2024-11-11,2024-11-15,6,986.27,0.15
O0000150,C00940,P00341,2024-06-18,2024-06-30,6,1138.67,0
O0000151,C00067,P00244,2024-02-27,2024-03-03,8,1158.49,0
O0000152,C00290,P00394,2024-06-27,2024-07-06,10,327.21,0
O0000153,C00416,P00419,2024-12-31,2025-01-12,2,821.42,0.15
O0000154,C00073,P00406,2024-06-03,2024-06-11,8,1008.03,0.05
O0000155,C00245,P00318,2024-05-04,2024-05-12,3,2434.99,0.05
O0000156,C00068,P00175,2024-04-16,2024-04-29,10,1083.56,0.05
O0000157,C00581,P00404,2024-06-24,2024-07-02,4,440.98,0.15
O0000158,C00080,P00379,2024-12-30,2025-01-08,8,294.66,0.1
O0000159,C00475,P00167,2024-10-11,2024-10-12,8,448.67,0.05
O0000160,C00072,P00307,2024-02-25,2024-03-06,10,1930.65,0.05
O0000161,C00336,P00254,2024-11-26,2024-12-06,1,235.43,0.2
O0000162,C00143,P00455,2024-10-24,2024-11-07,1,1895.12,0.15
O0000163,C00153,P00232,2024-09-29,2024-10-03,7,1542.77,0.05
O0000164,C00201,P00106,2024-12-14,2024-12-28,6,756.34,0.2
O0000165,C00936,P00348,2024-06-04,2024-06-18,7,1797.3,0
O0000166,C00092,P00299,2024-01-05,2024-01-14,9,1016.45,0
O0000167,C00873,P00151,2024-02-01,2024-02-06,9,2420.07,0
O0000168,C00721,P00287,2025-02-24,2025-03-01,2,2154.51,0.2
O0000169,C00032,P00121,2024-08-09,2024-08-20,10,991.73,0
O0000170,C00729,P00196,2024-07-26,2024-08-01,7,1367.35,0.15
O0000171,C00178,P00244,2024-03-12,2024-03-15,9,967.64,0
O0000172,C00861,P00214,2024-03-19,2024-03-23,3,344.35,0
O0000173,C00664,P00009,2024-03-14,2024-03-25,8,1648.24,0
O0000174,C00087,P00071,2024-11-24,2024-12-06,7,2151.78,0.2
O0000175,C00713,P00310,2024-08-05,2024-08-14,3,1141.44,0.05
O0000176,C00566,P00420,2024-08-18,2024-08-24,6,572.09,0.05
O0000177,C00620,P00004,2024-10-22,2024-10-29,4,1783.2,0
O0000178,C00421,P00475,2024-10-06,2024-10-15,6,93.32,0
O0000179,C00582,P00248,2024-12-26,2024-12-31,2,1454.87,0.15
O0000180,C00082,P00073,2025-01-08,2025-01-19,9,2459.11,0.2
O0000181,C00798,P00144,2024-08-26,2024-09-03,2,1313.16,0.1
O0000182,C00091,P00126,2024-08-29,2024-09-08,2,1713.34,0.1
O0000183,C00818,P00297,2024-06-08,2024-06-17,1,2259.93,0.1
O0000184,C00798,P00006,2024-08-28,2024-09-04,9,2266.08,0.1
O0000185,C00752,P00170,2024-08-03,2024-08-08,5,730.13,0
O0000186,C00712,P00473,2024-11-01,2024-11-12,5,1820.16,0.1
O0000187,C00267,P00032,2024-11-18,2024-11-25,10,431.01,0
O0000188,C00673,P00150,2025-02-18,2025-03-01,10,77.97,0.05
O0000189,C00085,P00065,2024-09-15,2024-09-16,5,637.61,0.1
O0000190,C00288,P00141,2025-03-15,2025-03-19,1,1856.16,0.1
O0000191,C00179,P00466,2024-10-29,2024-11-09,3,1651.3,0
O0000192,C00828,P00090,2024-05-13,2024-05-25,4,1217.45,0.2
O0000193,C00541,P00442,2024-01-17,2024-01-22,2,2418.69,0.1
O0000194,C00957,P00421,2024-03-19,2024-04-01,8,1884.38,0.05
O0000195,C00789,P00197,2024-05-01,2024-05-11,8,1817.74,0
O0000196,C00216,P00296,2025-01-10,2025-01-23,6,145.27,0
O0000197,C00774,P00420,2024-02-29,2024-02-29,3,1165.4,0.05
O0000198,C00309,P00244,2025-01-17,2025-01-29,9,591.82,0.15
O0000199,C00723,P00200,2024-08-30,2024-09-03,3,1330.8,0.05
O0000200,C00013,P00148,2025-02-12,2025-02-19,7,1699.45,0.1
O0000201,C00700,P00490,2024-01-22,2024-01-23,9,1597.19,0.2
O0000202,C00443,P00313,2024-11-29,2024-12-12,5,844.07,0
O0000203,C00822,P00051,2024-05-10,2024-05-20,10,983.97,0.2
O0000204,C00692,P00384,2024-05-03,2024-05-14,10,1928.54,0.1
O0000205,C00346,P00347,2024-12-19,2024-12-21,6,1373.56,0.15
O0000206,C00009,P00426,2024-02-04,2024-02-04,7,253.27,0
O0000207,C00702,P00229,2024-06-28,2024-07-01,5,637.22,0
O0000208,C00025,P00318,2024-02-17,2024-02-17,10,1644.95,0.2
O0000209,C00223,P00487,2024-11-02,2024-11-12,2,1773.11,0
O0000210,C00089,P00439,2024-11-05,2024-11-07,7,1644.42,0.15
O0000211,C00580,P00412,2024-04-04,2024-04-18,2,1742.18,0
O0000212,C00302,P00240,2024-12-04,2024-12-18,2,1600.56,0
O0000213,C00788,P00219,2024-12-20,2025-01-03,6,650.77,0.2
O0000214,C00076,P00142,2025-02-01,2025-02-01,7,977.59,0
O0000215,C00265,P00490,2025-02-20,2025-02-24,3,1107.03,0.05
O0000216,C00951,P00103,2024-11-08,2024-11-14,3,1617.25,0
O0000217,C00148,P00277,2025-01-28,2025-02-03,4,1538.78,0
O0000218,C00935,P00227,2025-01-01,2025-01-05,2,96.8,0
O0000219,C00586,P00373,2024-05-08,2024-05-20,8,56.72,0.05
O0000220,C00153,P00335,2024-11-23,2024-11-23,1,1664.87,0
O0000221,C00156,P00359,2024-06-17,2024-07-01,7,1440.85,0.1
O0000222,C00725,P00482,2025-01-29,2025-02-05,8,1095.78,0.2
O0000223,C00746,P00400,2025-02-19,2025-03-03,2,1354.92,0
O0000224,C00394,P00489,2024-12-18,2024-12-31,8,311.8,0.1
O0000225,C00958,P00184,2024-06-19,2024-06-29,5,1007.53,0.15
O0000226,C00982,P00332,2024-02-16,2024-02-21,9,2134.82,0
O0000227,C00083,P00431,2024-08-23,2024-09-04,5,1623.0,0
O0000228,C00568,P00021,2024-07-15,2024-07-25,4,754.19,0.05
O0000229,C00918,P00055,2024-11-18,2024-11-29,6,1221.39,0.15
O0000230,C00449,P00377,2024-04-07,2024-04-09,1,490.8,0.15
O0000231,C00608,P00123,2024-09-07,2024-09-13,2,1983.92,0.15
O0000232,C00316,P00256,2024-09-30,2024-10-13,8,2416.77,0
O0000233,C00038,P00174,2024-01-29,2024-02-03,1,1019.71,0
O0000234,C00827,P00335,2024-12-07,2024-12-15,8,2350.82,0.2
O0000235,C00896,P00275,2024-03-17,2024-03-28,10,590.13,0
O0000236,C00038,P00377,2024-03-13,2024-03-20,1,1183.34,0.1
O0000237,C00047,P00125,2024-12-25,2025-01-04,3,45.77,0.15
O0000238,C00052,P00464,2024-06-06,2024-06-19,2,1145.9,0
O0000239,C00856,P00303,2024-02-02,2024-02-15,2,294.31,0.1
O0000240,C00819,P00316,2024-04-22,2024-04-23,4,1071.27,0.2
O0000241,C00856,P00378,2024-12-13,2024-12-19,6,310.8,0.15
O0000242,C00590,P00280,2024-03-11,2024-03-16,4,1912.93,0.1
O0000243,C00178,P00172,2024-02-02,2024-02-03,5,361.68,0.05
O0000244,C00173,P00357,2024-07-08,2024-07-16,3,1102.27,0.1
O0000245,C00042,P00069,2024-02-21,2024-03-04,10,946.57,0
O0000246,C00017,P00451,2024-09-06,2024-09-07,1,27.99,0
O0000247,C00724,P00334,2024-10-30,2024-11-13,5,1046.39,0.2
O0000248,C00812,P00396,2024-08-31,2024-09-11,3,523.34,0.15
O0000249,C00278,P00268,2024-08-18,2024-08-24,4,2345.84,0.1
O0000250,C00709,P00020,2024-11-01,2024-11-03,8,1534.0,0
O0000251,C00643,P00424,2025-02-04,2025-02-08,6,1052.78,0.1
O0000252,C00242,P00099,2024-03-01,2024-03-09,2,1551.11,0.2
O0000253,C00780,P00277,2024-09-16,2024-09-19,8,1928.12,0.15
O0000254,C00214,P00142,2024-01-28,2024-01-31,2,1993.57,0.15
O0000255,C00865,P00496,2024-08-30,2024-09-06,3,407.8,0
O0000256,C00056,P00331,2024-07-05,2024-07-09,4,1092.33,0
O0000257,C00632,P00413,2025-01-23,2025-01-30,1,270.01,0
O0000258,C00948,P00276,2024-03-31,2024-04-02,1,1217.8,0
O0000259,C00073,P00459,2024-04-30,2024-05-11,8,1485.84,0
O0000260,C00430,P00102,2025-01-17,2025-01-27,6,582.86,0
O0000261,C00334,P00117,2024-02-20,2024-02-23,7,2176.02,0.05
O0000262,C00913,P00113,2024-02-07,2024-02-14,10,1216.18,0.05
O0000263,C00149,P00111,2024-11-08,2024-11-15,3,974.45,0
O0000264,C00469,P00369,2024-04-09,2024-04-19,6,2439.13,0
O0000265,C00344,P00066,2024-01-17,2024-01-28,10,158.53,0
O0000266,C00114,P00437,2024-08-26,2024-09-02,7,436.29,0
O0000267,C00226,P00454,2024-05-31,2024-06-09,3,1975.97,0.15
O0000268,C00976,P00314,2024-03-28,2024-04-06,9,2138.96,0
O0000269,C00422,P00439,2024-09-24,2024-10-01,4,1483.04,0.2
O0000270,C00474,P00143,2024-01-08,2024-01-19,7,1843.09,0
O0000271,C00254,P00168,2024-08-10,2024-08-19,4,2230.64,0.1
O0000272,C00969,P00077,2024-10-20,2024-11-03,1,1050.25,0
O0000273,C00042,P00241,2025-01-10,2025-01-22,9,93.72,0.1
O0000274,C00404,P00246,2025-02-18,2025-03-02,2,1136.58,0
O0000275,C00086,P00286,2025-01-20,2025-01-20,7,2375.34,0
O0000276,C00368,P00152,2024-05-02,2024-05-12,2,49.67,0.15
O0000277,C00313,P00083,2024-12-26,2025-01-02,10,1870.74,0
O0000278,C01000,P00233,2024-08-25,2024-09-06,3,2186.76,0.05
O0000279,C00190,P00405,2025-03-22,2025-03-27,8,1762.72,0
O0000280,C00882,P00322,2024-02-06,2024-02-12,6,1331.99,0
O0000281,C00437,P00386,2024-05-18,2024-05-29,10,1360.66,0.2
O0000282,C00213,P00404,2024-12-16,2024-12-17,10,2203.31,0.15
O0000283,C00955,P00029,2024-09-20,2024-10-04,6,2221.06,0
O0000284,C00393,P00188,2024-08-26,2024-09-04,1,920.27,0
O0000285,C00664,P00287,2024-12-26,2024-12-27,9,1776.25,0
O0000286,C00142,P00172,2024-05-02,2024-05-10,2,1626.11,0.15
O0000287,C00962,P00386,2024-10-24,2024-11-06,4,1885.4,0.2
O0000288,C00231,P00165,2024-06-29,2024-07-13,5,1263.88,0.05
O0000289,C00284,P00028,2024-02-02,2024-02-07,6,1136.5,0.1
O0000290,C00540,P00425,2024-03-03,2024-03-10,9,1698.99,0.1
O0000291,C00922,P00150,2024-08-19,2024-08-28,6,2001.76,0.15
O0000292,C00829,P00482,2024-02-03,2024-02-06,8,227.4,0.05
O0000293,C00920,P00092,2024-05-27,2024-05-28,2,420.27,0
O0000294,C00714,P00076,2024-09-11,2024-09-13,4,1306.51,0.15
O0000295,C00024,P00151,2024-08-01,2024-08-11,9,2329.99,0.05
O0000296,C00356,P00216,2024-08-15,2024-08-26,1,735.88,0
O0000297,C00023,P00447,2025-02-14,2025-02-17,9,1615.23,0.05
O0000298,C00593,P00176,2024-12-01,2024-12-11,6,1220.51,0.15
O0000299,C00714,P00272,2025-03-07,2025-03-15,8,1150.44,0.1
O0000300,C00136,P00460,2025-02-08,2025-02-12,3,1975.28,0
O0000301,C00496,P00191,2024-05-27,2024-06-08,1,379.36,0
O0000302,C00467,P00490,2024-03-26,2024-04-04,3,1782.41,0
O0000303,C00187,P00499,2024-03-30,2024-04-12,3,411.52,0
O0000304,C00043,P00163,2024-10-21,2024-10-23,8,658.41,0
O0000305,C00211,P00288,2024-12-28,2024-12-28,6,2445.28,0
O0000306,C00382,P00230,2024-10-03,2024-10-05,9,760.88,0
O0000307,C00415,P00477,2024-09-12,2024-09-24,3,2369.99,0
O0000308,C00160,P00003,2025-01-13,2025-01-21,9,834.89,0.15
O0000309,C00303,P00243,2024-05-28,2024-06-09,10,1670.55,0.2
O0000310,C00579,P00374,2024-08-14,2024-08-19,2,1831.78,0
O0000311,C00143,P00348,2024-10-09,2024-10-10,5,71.74,0.1
O0000312,C00862,P00113,2024-08-16,2024-08-21,2,822.65,0.1
O0000313,C00657,P00100,2024-10-25,2024-11-02,4,1955.4,0.2
O0000314,C00285,P00101,2024-01-12,2024-01-13,9,2125.13,0.15
O0000315,C00688,P00491,2024-02-14,2024-02-22,7,494.18,0
O0000316,C00618,P00310,2024-09-18,2024-09-18,6,999.92,0.15
O0000317,C00875,P00219,2024-07-08,2024-07-14,6,40.36,0
O0000318,C00360,P00158,2024-08-16,2024-08-29,9,228.12,0.15
O0000319,C00910,P00228,2025-01-14,2025-01-20,8,728.7,0.2
O0000320,C00746,P00497,2024-08-05,2024-08-16,7,357.52,0.1
O0000321,C00613,P00045,2024-03-14,2024-03-17,5,1191.79,0.2
O0000322,C00538,P00172,2024-02-03,2024-02-17,10,1892.72,0
O0000323,C00007,P00210,2024-11-23,2024-12-07,5,1042.14,0.1
O0000324,C00474,P00364,2024-10-17,2024-10-29,3,506.15,0.2
O0000325,C00391,P00149,2024-10-10,2024-10-17,1,2058.77,0
O0000326,C00855,P00300,2024-06-04,2024-06-11,9,1852.24,0
O0000327,C00028,P00406,2024-01-02,2024-01-04,5,757.42,0.15
O0000328,C00855,P00326,2024-08-29,2024-08-30,5,1048.72,0.05
O0000329,C00929,P00353,2024-11-26,2024-11-29,1,307.19,0
O0000330,C00505,P00497,2024-02-04,2024-02-13,6,1456.85,0.1
O0000331,C00447,P00445,2024-05-12,2024-05-22,8,2435.9,0.2
O0000332,C00123,P00192,2024-09-19,2024-09-30,10,53.69,0
O0000333,C00167,P00298,2024-01-30,2024-02-01,6,1158.0,0.15
O0000334,C00139,P00183,2024-03-24,2024-03-24,5,909.3,0.15
O0000335,C00934,P00490,2024-07-01,2024-07-01,5,736.24,0.15
O0000336,C00959,P00040,2024-09-20,2024-09-23,3,1914.08,0.1
O0000337,C00771,P00086,2024-10-05,2024-10-10,6,2068.79,0.15
O0000338,C00820,P00155,2024-05-18,2024-05-28,6,248.63,0.1
O0000339,C00361,P00422,2024-03-14,2024-03-14,3,1300.25,0
O0000340,C00798,P00249,2024-07-29,2024-08-03,3,265.02,0
O0000341,C00516,P00114,2025-03-01,2025-03-04,9,1537.44,0.2
O0000342,C00976,P00270,2025-03-09,2025-03-17,9,1758.64,0.2
O0000343,C00117,P00214,2024-08-23,2024-09-06,2,300.25,0
O0000344,C00946,P00009,2024-09-02,2024-09-07,5,1730.72,0
O0000345,C00837,P00227,2024-11-01,2024-11-09,6,438.8,0
O0000346,C00030,P00382,2025-02-21,2025-02-22,4,330.5,0.15
O0000347,C00146,P00353,2024-04-26,2024-04-30,3,532.5,0
O0000348,C00436,P00354,2025-01-25,2025-02-06,2,203.56,0.2
O0000349,C00496,P00388,2024-08-08,2024-08-08,4,278.47,0.2
O0000350,C00676,P00263,2024-10-30,2024-10-30,8,306.12,0
O0000351,C00045,P00034,2024-06-03,2024-06-13,1,1888.83,0.2
O0000352,C00127,P00472,2024-11-04,2024-11-07,10,2253.93,0
O0000353,C00687,P00180,2024-01-15,2024-01-16,3,2116.2,0
O0000354,C00972,P00297,2024-06-27,2024-07-02,3,2139.29,0.2
O0000355,C00747,P00314,2024-05-03,2024-05-11,10,180.16,0.2
O0000356,C00593,P00391,2024-01-08,2024-01-16,4,1792.37,0
O0000357,C00176,P00462,2025-01-21,2025-01-29,1,2434.21,0
O0000358,C00947,P00110,2024-09-15,2024-09-28,8,922.49,0.1
O0000359,C00190,P00226,2024-12-10,2024-12-11,3,2088.51,0.05
O0000360,C00435,P00110,2024-09-20,2024-09-23,7,290.99,0
O0000361,C00127,P00239,2024-02-26,2024-03-05,3,1244.58,0
O0000362,C00722,P00148,2024-10-12,2024-10-23,1,214.8,0.05
O0000363,C00119,P00198,2024-05-25,2024-06-01,10,1843.07,0.15
O0000364,C01000,P00431,2024-08-15,2024-08-18,9,1024.13,0.2
O0000365,C00439,P00097,2025-03-14,2025-03-15,8,2348.31,0
O0000366,C00184,P00007,2024-12-11,2024-12-18,2,996.96,0.1
O0000367,C00675,P00347,2024-02-13,2024-02-14,3,993.08,0.15
O0000368,C00605,P00053,2025-01-14,2025-01-28,3,171.13,0
O0000369,C00347,P00103,2024-10-31,2024-11-13,7,315.68,0.2
O0000370,C00435,P00372,2024-09-12,2024-09-16,10,1488.19,0.2
O0000371,C00809,P00411,2024-11-25,2024-12-01,6,1194.81,0.1
O0000372,C00973,P00208,2024-09-05,2024-09-13,5,376.96,0.05
O0000373,C00111,P00063,2024-05-08,2024-05-15,8,584.75,0
O0000374,C00031,P00051,2025-01-12,2025-01-12,2,1250.36,0
O0000375,C00996,P00092,2024-07-14,2024-07-23,6,390.31,0.1
O0000376,C00639,P00050,2025-01-24,2025-01-25,9,1921.25,0.2
O0000377,C00478,P00104,2024-05-30,2024-06-09,8,1230.72,0
O0000378,C00556,P00176,2025-02-18,2025-03-03,9,1371.08,0.2
