"Name","DisplayName","Description","PolicyType","Id","Type","PolicyRule","Parameter","Mode","Metadata","Category"
"087dbf66-448d-4235-b7b8-17af48edc9db","Enable logging by category group for microsoft.classicnetwork/networksecuritygroups to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.classicnetwork/networksecuritygroups.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/087dbf66-448d-4235-b7b8-17af48edc9db","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"08ba64b8-738f-4918-9686-730d2ed79c7d","Deploy Diagnostic Settings for Search Services to Log Analytics workspace","Deploys the diagnostic settings for Search Services to stream to a regional Log Analytics workspace when any Search Services which is missing this diagnostic settings is created or updated.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/08ba64b8-738f-4918-9686-730d2ed79c7d","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; profileName=; logAnalytics=; metricsEnabled=; logsEnabled=}","Indexed","@{version=1.0.0; category=Monitoring}","Monitoring"
"0b6b8abb-7761-4e02-ae0e-2c873b5152ca","Enable logging by category group for Azure Spring Apps (microsoft.appplatform/spring) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Azure Spring Apps (microsoft.appplatform/spring).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/0b6b8abb-7761-4e02-ae0e-2c873b5152ca","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"0ba93a1b-ac4d-4e7b-976a-548a18be1e52","Enable logging by category group for Experiment Workspaces (microsoft.experimentation/experimentworkspaces) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Experiment Workspaces (microsoft.experimentation/experimentworkspaces).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/0ba93a1b-ac4d-4e7b-976a-548a18be1e52","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"0da6faeb-d6c6-4f6e-9f49-06277493270b","Enable logging by category group for Web PubSub Service (microsoft.signalrservice/webpubsub) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Web PubSub Service (microsoft.signalrservice/webpubsub).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/0da6faeb-d6c6-4f6e-9f49-06277493270b","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.1.0}","Monitoring"
"0e4325e3-228b-40f0-83ae-9c03276858c1","Enable logging by category group for Connected Cache Resources (microsoft.connectedcache/ispcustomers) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Connected Cache Resources (microsoft.connectedcache/ispcustomers).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/0e4325e3-228b-40f0-83ae-9c03276858c1","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"0e861bb0-d926-4cdb-b2d6-d59336b8f5b3","Enable logging by category group for microsoft.networkanalytics/dataproducts to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.networkanalytics/dataproducts.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/0e861bb0-d926-4cdb-b2d6-d59336b8f5b3","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"0ebe872d-7029-4292-88bc-ad3e2cf3772f","Enable logging by category group for microsoft.network/networksecurityperimeters to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.network/networksecurityperimeters.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/0ebe872d-7029-4292-88bc-ad3e2cf3772f","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"0fff3e39-f422-45b0-b497-33a05b996d3e","Enable logging by category group for Event Grid System Topics (microsoft.eventgrid/systemtopics) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Event Grid System Topics (microsoft.eventgrid/systemtopics).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/0fff3e39-f422-45b0-b497-33a05b996d3e","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"1118afbc-c48d-43ae-931a-87b38956d40b","Enable logging by category group for Traffic Manager profiles (microsoft.network/trafficmanagerprofiles) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Traffic Manager profiles (microsoft.network/trafficmanagerprofiles).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/1118afbc-c48d-43ae-931a-87b38956d40b","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"14ed86b4-ea45-4b1b-98a5-eb8f5f7da726","Enable logging by category group for microsoft.openenergyplatform/energyservices to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.openenergyplatform/energyservices.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/14ed86b4-ea45-4b1b-98a5-eb8f5f7da726","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"1513498c-3091-461a-b321-e9b433218d28","Enable logging by category group for Public IP addresses (microsoft.network/publicipaddresses) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Public IP addresses (microsoft.network/publicipaddresses).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/1513498c-3091-461a-b321-e9b433218d28","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.1.0}","Monitoring"
"1568dd08-cca0-4073-bfd8-e08a7fdc543e","Enable logging by category group for microsoft.workloads/sapvirtualinstances to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.workloads/sapvirtualinstances.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/1568dd08-cca0-4073-bfd8-e08a7fdc543e","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"15fdbc87-8a47-4ee9-a2aa-9a2ea1f37554","Log Analytics agent should be installed on your Cloud Services (extended support) role instances","Security Center collects data from your Cloud Services (extended support) role instances to monitor for security vulnerabilities and threats.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/15fdbc87-8a47-4ee9-a2aa-9a2ea1f37554","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=}","Indexed","@{version=2.0.0; category=Security Center}","Security Center"
"167dbbbc-a03a-4ebe-8e46-c34cc67f7d9d","Enable logging by category group for microsoft.d365customerinsights/instances to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.d365customerinsights/instances.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/167dbbbc-a03a-4ebe-8e46-c34cc67f7d9d","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"1840aef8-71df-4a30-a108-efdb4f291a7f","Enable logging by category group for Integration accounts (microsoft.logic/integrationaccounts) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Integration accounts (microsoft.logic/integrationaccounts).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/1840aef8-71df-4a30-a108-efdb4f291a7f","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"1bd91eae-4429-4f23-b780-8c9622e023e3","Enable logging by category group for Azure AD Domain Services (microsoft.aad/domainservices) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Azure AD Domain Services (microsoft.aad/domainservices).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/1bd91eae-4429-4f23-b780-8c9622e023e3","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"21c469fa-a887-4363-88a9-60bfd6911a15","Configure diagnostics for container group to log analytics workspace","Appends the specified log analytics workspaceId and workspaceKey when any container group which is missing these fields is created or updated. Does not modify the fields of container groups created before this policy was applied until those resource groups are changed.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/21c469fa-a887-4363-88a9-60bfd6911a15","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; workspaceId=; workspaceKey=}","All","@{version=1.0.0; category=Container Instances}","Container Instances"
"23057b42-ca8d-4aa0-a3dc-96a98b5b5a3d","Configure diagnostic settings for Azure Databricks Workspaces to Log Analytics workspace","Deploys the diagnostic settings for Azure Databricks Workspaces to stream resource logs to a Log Analytics Workspace when any Azure Databricks Workspace which is missing this diagnostic settings is created or updated.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/23057b42-ca8d-4aa0-a3dc-96a98b5b5a3d","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; profileName=; logAnalytics=; logsEnabled=}","Indexed","@{version=1.0.1; category=Azure Databricks}","Azure Databricks"
"234bbd1b-05f6-4639-8770-1cd5278ba2c9","Enable logging by category group for microsoft.autonomousdevelopmentplatform/workspaces to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.autonomousdevelopmentplatform/workspaces.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/234bbd1b-05f6-4639-8770-1cd5278ba2c9","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"23673f24-2594-43e9-9983-60a0be21bd76","Enable logging by category group for Network Managers (microsoft.network/networkmanagers) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Network Managers (microsoft.network/networkmanagers).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/23673f24-2594-43e9-9983-60a0be21bd76","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"237e0f7e-b0e8-4ec4-ad46-8c12cb66d673","Deploy Diagnostic Settings for Stream Analytics to Log Analytics workspace","Deploys the diagnostic settings for Stream Analytics to stream to a regional Log Analytics workspace when any Stream Analytics which is missing this diagnostic settings is created or updated.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/237e0f7e-b0e8-4ec4-ad46-8c12cb66d673","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; profileName=; logAnalytics=; metricsEnabled=; logsEnabled=}","Indexed","@{version=1.0.0; category=Monitoring}","Monitoring"
