"DisplayName","Id","Category","PolicyDefinitionId","ParameterEffectDefaultValue","ParameterEffectAllowedValues","Parameters"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/69ab8bfc-dc5b-443d-93a7-7531551dec66","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/81039988-1f84-4aa6-8039-0a64c2a301b4","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/bbf47f27-95e4-46a0-82e1-898ce046d857","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/9fcae8ed-246a-407b-8f75-f3500ff2c9db","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/415eaa04-e9db-476a-ba43-092d70ebe1e7","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/aec4c33f-2f2a-4fd3-91cd-24a939513c60","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/fa570aa1-acca-4eea-8e5a-233cf2c5e4c2","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/2fbd2ca9-e7b2-47a0-a8b2-575f3f7607d4","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/6201aeb7-2b5c-4671-8ab4-5d3ba4d77f3b","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/e74570cf-1b7d-4bed-b79e-d1fd1117a39a","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/39078c44-b8d4-4c7d-8579-7f021d326ebf","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/087dbf66-448d-4235-b7b8-17af48edc9db","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/aade2723-e7f6-46fd-b1dc-e6c2c7f7edc4","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/958060c2-8d8e-478e-b3ec-d3d2249b461c","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/55d1f543-d1b0-4811-9663-d6d0dbc6326d","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/acbb9698-46bd-4800-89da-e3473c4ab10d","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/0509e2d8-d657-4563-a7c8-b88b9180a6e8","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/b6f29e6b-4b21-4bb6-a997-38592fa02864","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/c13b41e7-a45f-4600-96c0-18f84fb07771","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/0e4325e3-228b-40f0-83ae-9c03276858c1","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/85779c9a-7fdf-4294-937c-ded183166fa8","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/56288eb2-4350-461d-9ece-2bb242269dce","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/65a1573e-cc90-412b-8db2-ba60731b0ea6","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/167dbbbc-a03a-4ebe-8e46-c34cc67f7d9d","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/d98f63ed-e319-4dc3-898f-600953a05f7e","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/454c7d4b-c141-43f1-8c81-975ebb15a9b5","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/751f9297-5aae-4313-af2d-2a89226a7856","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/d111f33e-5cb3-414e-aec4-427e7d1080c9","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/dfe69c56-9c12-4271-9e62-7607ab669582","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/fea83f6c-a18a-4338-8f1f-80ecba4c5643","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/ed251afd-72b1-4e41-b6c9-6614420f1207","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/f62b9eab-b489-4388-9874-b0a62ca31327","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/7860f3fe-0db3-42d4-bf3d-7042ea5e5787","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/041fdf14-0dd4-4ce0-83ff-de5456be0c85","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/5fbd326d-328c-414e-a922-2d6963998962","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/84509667-1a94-4255-9e5f-b479075c1069","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/bbdbb83b-cbfe-49f7-b7d1-1126630a68b7","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/99b3bfad-aef0-476d-ae98-40861f8eae22","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/a7c668bd-3327-474f-8fb5-8146e3e40e40","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/8ea88471-98e1-47e4-9f63-838c990ba2f4","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/867c08d5-bc47-404d-9a1b-0aec7a8d34eb","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/82b076b9-2062-4516-ae4c-37b1890eabb2","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/614d9fbd-68cd-4832-96db-3362069661b2","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/041e904a-33e5-45fd-b3f6-4ac95f1f8761","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/4c9cd884-3e45-4588-ac9d-00d44be2cbcd","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/ae0fc3d3-c9ce-43e8-923a-a143db56d81e","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/68ba9fc9-71b9-4e6f-9cf5-ecc07722324c","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/064a3695-3197-4354-816b-65c7b952db9e","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/b90ec596-faa6-4c61-9515-34085703e260","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/3496f6fd-57ba-485c-8a14-183c4493b781","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/e1bf4d43-542a-4410-918d-7e61c8e1ac21","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/0fff3e39-f422-45b0-b497-33a05b996d3e","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/46b2dd5d-3936-4347-8908-b298ea4466d3","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/441af8bf-7c88-4efc-bd24-b7be28d4acce","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/0ba93a1b-ac4d-4e7b-976a-548a18be1e52","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/e25bcb29-0412-42c3-a526-1ff794310a1e","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/f0d25196-1ea4-49e1-ad53-ccada27b4862","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/eb2fea88-fa7b-4531-a4c1-428c618fbcc8","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/557c828f-aa51-40d9-868a-cff8d3982818","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/30499756-47d6-493c-9e57-ee3db2d9fa96","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/79494980-ea12-4ca1-8cca-317e942b6da2","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/7e87b2cc-1e49-4e07-a651-a2f38d4667ad","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/b88bfd90-4da5-43eb-936f-ae1481924291","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/6b359d8f-f88d-4052-aa7c-32015963ecc1","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/a819f227-229d-44cb-8ad6-25becdb4451f","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/75a112bc-759f-4f29-83cc-799019db39c3","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/1840aef8-71df-4a30-a108-efdb4f291a7f","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/63d1a629-735c-448b-b45f-5e3865e84cf5","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/33835ef6-bc67-4bde-bf5f-5a857f195a57","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/90c90eda-bfe7-4c67-bf26-410420ed1047","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/5cfb9e8a-2f13-40bd-a527-c89bc596d299","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/d7d59290-3ee5-4c1b-b408-c38b21799aea","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/69214fad-6742-49a9-8f71-ee9d269364ab","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/34c7546c-d637-4b5d-96ab-93fb6ed07af8","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/5d487647-6a53-4839-8eb8-edccf5e6bf1d","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/be26ca28-761d-4538-b78a-975eb47c680c","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/c3b912c2-7f5b-47ac-bd52-8c85a7667961","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/92012204-a7e4-4a95-bbe5-90d0d3e12735","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/5fcf46f9-194c-47ff-8889-380f57ae4617","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/f8352124-56fa-4f94-9441-425109cdc14b","DeployIfNotExists","System.Object[]","System.Object[]"
