session_id,player_id,machine_id,session_date,session_start,duration_minutes,game_type,coin_in,coin_out,theoretical_win,actual_win,denomination,floor_zone
SES-00000094,PLY-000011,MCH-0019,2025-03-03,2025-03-03T08:12:00Z,53,VIDEO_POKER,19117.76,18488.32,17191.31,629.44,5.0,MAIN_FLOOR_C
SES-00000095,PLY-000292,MCH-0032,2024-03-25,2024-03-25T20:27:00Z,115,POKER,9022.66,9035.12,7795.08,-12.46,25.0,HIGH_LIMIT
SES-00000096,PLY-000155,MCH-0064,2024-10-20,2024-10-20T15:38:00Z,30,SLOTS,24.41,22.85,21.84,1.56,0.05,SPORTS_BAR
SES-00000097,PLY-000345,MCH-0006,2023-02-10,2023-02-10T09:40:00Z,475,SLOTS,104.26,97.07,92.21,7.19,0.01,MAIN_FLOOR_A
SES-00000098,PLY-000430,MCH-0239,2024-03-10,2024-03-10T17:41:00Z,200,SLOTS,2484.44,2384.14,2122.77,100.3,0.25,MAIN_FLOOR_C
SES-00000099,PLY-000086,MCH-0003,2023-08-27,2023-08-27T20:41:00Z,21,SLOTS,928.09,833.75,799.46,94.34,1.0,POKER_ROOM
SES-00000100,PLY-000312,MCH-0288,2024-07-14,2024-07-14T23:47:00Z,17,TABLE_BLACKJACK,7297.09,6977.73,6870.72,319.36,100.0,SPORTS_BAR
SES-00000101,PLY-000369,MCH-0192,2024-05-21,2024-05-21T18:50:00Z,35,TABLE_BLACKJACK,0.84,0.82,0.77,0.02,0.01,HIGH_LIMIT
SES-00000102,PLY-000348,MCH-0256,2023-06-07,2023-06-07T08:28:00Z,463,SLOTS,2085084.02,1873981.83,1815364.21,211102.19,100.0,MAIN_FLOOR_A
SES-00000103,PLY-000197,MCH-0093,2023-02-08,2023-02-08T10:23:00Z,10,SLOTS,183.35,165.12,171.48,18.23,1.0,VIP_LOUNGE
SES-00000104,PLY-000254,MCH-0111,2024-03-23,2024-03-23T09:25:00Z,22,SLOTS,14.78,13.58,13.51,1.2,0.01,MAIN_FLOOR_A
SES-00000105,PLY-000483,MCH-0262,2024-12-24,2024-12-24T12:08:00Z,110,VIDEO_POKER,528.96,533.48,505.13,-4.52,0.25,POKER_ROOM
SES-00000106,PLY-000276,MCH-0231,2024-07-18,2024-07-18T17:10:00Z,170,TABLE_BLACKJACK,96.42,95.14,82.2,1.28,0.25,MAIN_FLOOR_A
SES-00000107,PLY-000083,MCH-0037,2024-05-23,2024-05-23T21:01:00Z,26,SLOTS,16.17,14.07,15.33,2.1,0.01,MAIN_FLOOR_B
SES-00000108,PLY-000415,MCH-0024,2025-12-06,2025-12-06T08:45:00Z,17,TABLE_BLACKJACK,29.56,29.71,28.41,-0.15,0.25,MAIN_FLOOR_B
SES-00000109,PLY-000416,MCH-0275,2024-11-25,2024-11-25T23:44:00Z,25,SLOTS,489.04,441.92,477.02,47.12,1.0,VIP_LOUNGE
SES-00000110,PLY-000106,MCH-0051,2024-06-11,2024-06-11T17:31:00Z,46,TABLE_ROULETTE,8784.6,8481.14,8137.12,303.46,100.0,MAIN_FLOOR_C
SES-00000111,PLY-000438,MCH-0171,2023-11-21,2023-11-21T11:10:00Z,44,SLOTS,50.45,47.72,48.99,2.73,0.05,MAIN_FLOOR_A
SES-00000112,PLY-000288,MCH-0114,2024-04-09,2024-04-09T13:07:00Z,104,TABLE_ROULETTE,40722.23,39275.37,35008.44,1446.86,100.0,VIP_LOUNGE
SES-00000113,PLY-000498,MCH-0295,2025-03-11,2025-03-11T14:57:00Z,37,SLOTS,51.48,47.69,44.39,3.79,0.05,POKER_ROOM
SES-00000114,PLY-000234,MCH-0091,2025-04-03,2025-04-03T15:14:00Z,224,TABLE_BLACKJACK,125.16,122.85,110.53,2.31,0.25,SPORTS_BAR
SES-00000115,PLY-000119,MCH-0272,2025-08-03,2025-08-03T17:17:00Z,108,SLOTS,335.07,301.03,288.66,34.04,0.25,VIP_LOUNGE
SES-00000116,PLY-000408,MCH-0149,2025-07-28,2025-07-28T18:37:00Z,20,TABLE_CRAPS,645.78,638.62,579.72,7.16,5.0,MAIN_FLOOR_B
SES-00000117,PLY-000202,MCH-0028,2024-07-01,2024-07-01T17:32:00Z,26,TABLE_BLACKJACK,9.15,8.91,8.74,0.24,0.05,HIGH_LIMIT
SES-00000118,PLY-000019,MCH-0283,2024-02-17,2024-02-17T12:59:00Z,116,TABLE_ROULETTE,14.23,13.78,13.76,0.45,0.05,MAIN_FLOOR_B
SES-00000119,PLY-000110,MCH-0006,2024-12-12,2024-12-12T08:27:00Z,23,TABLE_BLACKJACK,288.81,279.27,251.54,9.54,5.0,HIGH_LIMIT
SES-00000120,PLY-000324,MCH-0004,2024-05-14,2024-05-14T23:42:00Z,19,SLOTS,750.32,734.8,694.17,15.52,1.0,MAIN_FLOOR_B
SES-00000121,PLY-000356,MCH-0283,2024-12-07,2024-12-07T11:27:00Z,198,TABLE_BLACKJACK,160.04,158.53,146.63,1.51,0.25,MAIN_FLOOR_B
SES-00000122,PLY-000044,MCH-0211,2025-06-10,2025-06-10T08:08:00Z,106,TABLE_CRAPS,17616.76,17643.28,16085.22,-26.52,25.0,VIP_LOUNGE
SES-00000123,PLY-000491,MCH-0117,2025-01-25,2025-01-25T10:43:00Z,93,SLOTS,340.78,291.78,312.7,49.0,0.05,MAIN_FLOOR_A
SES-00000124,PLY-000349,MCH-0084,2025-02-21,2025-02-21T13:24:00Z,32,TABLE_ROULETTE,1.6,1.54,1.47,0.06,0.01,MAIN_FLOOR_C
SES-00000125,PLY-000178,MCH-0294,2025-11-17,2025-11-17T21:56:00Z,22,SLOTS,87816.66,85783.11,74866.76,2033.55,100.0,MAIN_FLOOR_C
SES-00000126,PLY-000163,MCH-0033,2024-10-13,2024-10-13T23:53:00Z,28,VIDEO_POKER,183.16,174.69,166.16,8.47,0.25,VIP_LOUNGE
SES-00000127,PLY-000173,MCH-0248,2023-12-13,2023-12-13T23:41:00Z,51,SLOTS,9.93,8.7,8.66,1.23,0.01,POKER_ROOM
SES-00000128,PLY-000384,MCH-0268,2025-06-05,2025-06-05T20:42:00Z,97,SLOTS,11802.81,11488.29,11391.82,314.52,5.0,VIP_LOUNGE
SES-00000129,PLY-000196,MCH-0149,2025-10-16,2025-10-16T19:02:00Z,124,TABLE_BLACKJACK,1072.26,1082.6,1024.54,-10.34,1.0,SPORTS_BAR
SES-00000130,PLY-000467,MCH-0261,2023-09-09,2023-09-09T12:01:00Z,428,VIDEO_POKER,580501.05,583735.25,503126.53,-3234.2,100.0,HIGH_LIMIT
SES-00000131,PLY-000322,MCH-0296,2023-12-22,2023-12-22T08:48:00Z,53,TABLE_ROULETTE,0.69,0.69,0.61,0.0,0.01,VIP_LOUNGE
SES-00000132,PLY-000077,MCH-0187,2024-07-15,2024-07-15T21:45:00Z,19,SLOTS,4.27,4.02,3.75,0.25,0.01,MAIN_FLOOR_B
SES-00000133,PLY-000243,MCH-0174,2025-08-15,2025-08-15T17:36:00Z,20,VIDEO_POKER,407.33,401.55,377.71,5.78,1.0,MAIN_FLOOR_C
SES-00000134,PLY-000473,MCH-0297,2025-03-18,2025-03-18T14:47:00Z,80,TABLE_BLACKJACK,4.57,4.35,3.96,0.22,0.05,HIGH_LIMIT
SES-00000135,PLY-000121,MCH-0291,2025-07-01,2025-07-01T13:47:00Z,110,TABLE_CRAPS,13.2,12.9,12.5,0.3,0.05,MAIN_FLOOR_A
SES-00000136,PLY-000206,MCH-0105,2025-06-16,2025-06-16T12:40:00Z,99,TABLE_BLACKJACK,6346.0,6299.9,5722.12,46.1,25.0,POKER_ROOM
SES-00000137,PLY-000200,MCH-0015,2025-11-28,2025-11-28T12:33:00Z,17,SLOTS,32.96,29.12,28.41,3.84,0.05,MAIN_FLOOR_B
SES-00000138,PLY-000091,MCH-0241,2025-05-13,2025-05-13T12:26:00Z,360,POKER,1335.42,1345.11,1205.23,-9.69,1.0,MAIN_FLOOR_B
SES-00000139,PLY-000338,MCH-0099,2024-12-17,2024-12-17T21:29:00Z,386,SLOTS,20795.36,18029.16,20183.23,2766.2,1.0,HIGH_LIMIT
SES-00000140,PLY-000468,MCH-0198,2024-06-07,2024-06-07T17:26:00Z,110,SLOTS,16446.41,15468.1,15834.9,978.31,25.0,VIP_LOUNGE
SES-00000141,PLY-000232,MCH-0158,2024-08-09,2024-08-09T23:02:00Z,30,VIDEO_POKER,122222.61,120692.84,110085.42,1529.77,100.0,MAIN_FLOOR_C
SES-00000142,PLY-000152,MCH-0092,2023-10-14,2023-10-14T18:39:00Z,29,VIDEO_POKER,14015.02,13948.98,12161.93,66.04,25.0,HIGH_LIMIT
SES-00000143,PLY-000209,MCH-0062,2025-06-24,2025-06-24T13:33:00Z,21,SLOTS,5.25,4.6,4.53,0.65,0.01,POKER_ROOM
SES-00000144,PLY-000135,MCH-0235,2024-09-08,2024-09-08T09:19:00Z,16,SLOTS,2.58,2.39,2.41,0.19,0.01,SPORTS_BAR
SES-00000145,PLY-000096,MCH-0032,2024-09-04,2024-09-04T20:28:00Z,44,SLOTS,98877.33,91967.96,93010.92,6909.37,100.0,POKER_ROOM
SES-00000146,PLY-000098,MCH-0198,2023-02-26,2023-02-26T20:13:00Z,218,TABLE_BACCARAT,149.87,149.85,145.25,0.02,0.25,MAIN_FLOOR_B
SES-00000147,PLY-000052,MCH-0272,2023-11-05,2023-11-05T13:04:00Z,76,SLOTS,339841.07,301805.79,312732.79,38035.28,100.0,HIGH_LIMIT
SES-00000148,PLY-000412,MCH-0286,2024-07-14,2024-07-14T10:58:00Z,46,TABLE_BACCARAT,1314.77,1298.69,1199.24,16.08,5.0,SPORTS_BAR
SES-00000149,PLY-000409,MCH-0024,2023-06-04,2023-06-04T18:23:00Z,16,TABLE_CRAPS,273.01,278.28,260.83,-5.27,5.0,MAIN_FLOOR_C
SES-00000150,PLY-000090,MCH-0044,2024-12-25,2024-12-25T23:20:00Z,16,TABLE_BLACKJACK,5867.02,5879.31,5580.48,-12.29,100.0,MAIN_FLOOR_A
SES-00000151,PLY-000239,MCH-0215,2024-10-26,2024-10-26T11:55:00Z,116,SLOTS,62.85,59.88,55.5,2.97,0.01,HIGH_LIMIT
SES-00000152,PLY-000031,MCH-0142,2024-05-25,2024-05-25T23:41:00Z,27,SLOTS,4529.03,4252.05,4335.98,276.98,5.0,VIP_LOUNGE
SES-00000153,PLY-000053,MCH-0001,2024-10-01,2024-10-01T16:18:00Z,11,TABLE_CRAPS,13.35,12.86,11.63,0.49,1.0,HIGH_LIMIT
SES-00000154,PLY-000192,MCH-0251,2025-02-05,2025-02-05T09:30:00Z,24,TABLE_BLACKJACK,3.52,3.57,3.24,-0.05,0.05,MAIN_FLOOR_C
SES-00000155,PLY-000086,MCH-0229,2023-07-06,2023-07-06T14:08:00Z,68,SLOTS,171.66,163.5,147.74,8.16,0.05,SPORTS_BAR
SES-00000156,PLY-000099,MCH-0052,2024-04-12,2024-04-12T15:13:00Z,115,TABLE_BLACKJACK,286.02,283.95,269.4,2.07,1.0,HIGH_LIMIT
SES-00000157,PLY-000378,MCH-0227,2025-09-28,2025-09-28T08:13:00Z,25,VIDEO_POKER,26272.55,25059.8,22675.85,1212.75,25.0,HIGH_LIMIT
SES-00000158,PLY-000228,MCH-0019,2024-05-24,2024-05-24T17:20:00Z,115,SLOTS,146997.86,140465.23,139439.15,6532.63,25.0,SPORTS_BAR
SES-00000159,PLY-000201,MCH-0174,2025-12-17,2025-12-17T13:57:00Z,27,SLOTS,41.68,37.94,36.6,3.74,0.05,SPORTS_BAR
