order_id,customer_id,order_date,total_amount,status,_ingested_at
67,67,2025-01-07,38.91,DELIVERED,2025-01-08T19:42:36
68,147,2024-03-18,25.05,DELIVERED,2024-03-18T22:09:24
69,,2023-12-10,16.23,DELIVERED,2023-12-12T14:33:58
70,3,2025-01-06,70.85,CONFIRMED,2025-01-06T20:37:29
71,90,2024-04-19,25.75,DELIVERED,2024-04-21T10:21:46
72,150,2024-04-14,37.07,CONFIRMED,2024-04-16T04:47:07
73,73,2025-10-25,45.22,SHIPPED,2025-10-26T22:24:03
74,183,2023-04-10,90.67,RETURNED,2023-04-11T02:01:04
75,15,2023-10-20,34.70,CANCELLED,2023-10-21T00:34:22
76,185,2025-07-21,93.24,PENDING,2025-07-22T04:51:46
77,189,2024-04-04,135.22,PENDING,2024-04-04T21:56:22
78,176,2025-06-07,10.74,DELIVERED,2025-06-08T04:17:15
79,169,2025-11-09,36.50,CANCELLED,2025-11-10T16:04:20
80,144,2023-06-01,11.79,DELIVERED,2023-06-02T21:54:21
81,58,2025-11-21,49.84,DELIVERED,2025-11-22T19:30:49
82,31,2024-05-29,16.47,DELIVERED,2024-05-30T16:23:53
83,175,2025-06-25,164.83,SHIPPED,2025-06-27T03:14:19
84,105,2023-03-25,13.02,RETURNED,2023-03-26T09:34:34
85,200,2024-12-11,8.76,PENDING,2024-12-12T05:29:58
86,44,2023-10-02,4.70,DELIVERED,2023-10-03T13:29:11
87,104,2023-05-17,62.99,DELIVERED,2023-05-18T03:25:09
88,4,2023-01-08,42.87,CANCELLED,2023-01-08T09:04:41
89,89,2025-04-04,61.65,SHIPPED,2025-04-05T11:22:28
90,12,2025-02-20,21.61,SHIPPED,2025-02-22T11:44:38
91,176,2025-03-19,36.15,RETURNED,2025-03-20T20:45:28
92,104,2025-01-31,61.35,PENDING,2025-02-01T10:11:09
93,44,2023-07-23,107.17,CONFIRMED,2023-07-24T09:42:21
94,137,2023-02-28,93.84,DELIVERED,2023-03-01T02:00:34
95,65,2023-03-16,29.06,DELIVERED,2023-03-18T07:05:32
96,170,2025-12-15,48.61,CONFIRMED,2025-12-17T18:38:14
97,27,2025-08-25,67.42,DELIVERED,2025-08-27T02:35:02
98,156,2024-03-15,106.39,CONFIRMED,2024-03-15T12:04:20
99,42,2025-03-23,20.18,PENDING,2025-03-24T05:18:01
100,1,2023-11-19,125.46,PENDING,2023-11-21T12:23:34
101,24,2023-06-21,49.85,DELIVERED,2023-06-23T02:09:46
102,76,2023-06-07,57.22,SHIPPED,2023-06-08T01:22:57
103,174,2023-09-29,102.87,SHIPPED,2023-09-29T12:21:19
104,113,2023-05-28,52.01,RETURNED,2023-05-28T16:47:58
105,103,2023-05-25,73.22,DELIVERED,2023-05-26T09:28:34
106,29,2024-08-22,149.72,CONFIRMED,2024-08-24T01:30:56
107,146,2023-09-05,21.71,DELIVERED,2023-09-05T21:41:28
108,187,2024-08-12,175.59,RETURNED,2024-08-13T21:08:06
109,17,2025-01-28,137.91,SHIPPED,2025-01-28T14:32:10
110,186,2025-12-30,40.42,DELIVERED,2026-01-01T08:12:19
111,159,2025-11-06,37.57,PENDING,2025-11-07T11:36:27
112,99,2024-01-22,12.42,CONFIRMED,2024-01-23T10:37:19
113,127,2025-08-10,33.84,CANCELLED,2025-08-10T07:05:26
114,165,2025-02-02,10.07,SHIPPED,2025-02-03T14:57:52
115,23,2023-05-03,25.30,CANCELLED,2023-05-04T17:01:03
116,141,2023-07-04,26.95,PENDING,2023-07-05T17:42:43
117,144,2025-07-27,435.55,CONFIRMED,2025-07-29T06:19:50
118,197,2024-06-13,95.69,DELIVERED,2024-06-14T11:57:56
119,195,2025-10-17,-54.69,DELIVERED,2025-10-18T20:58:09
120,28,2025-09-11,38.74,PENDING,2025-09-12T03:36:03
121,66,2023-08-07,77.10,DELIVERED,2023-08-09T02:19:30
122,184,2024-09-02,22.10,SHIPPED,2024-09-02T22:14:34
123,198,2023-03-14,179.39,CANCELLED,2023-03-15T22:39:32
124,136,2025-07-04,7.38,DELIVERED,2025-07-05T20:17:56
125,46,2024-11-03,30.83,DELIVERED,2024-11-04T22:20:25
126,83,2023-07-19,18.54,DELIVERED,2023-07-19T17:25:11
127,88,2025-08-04,69.66,RETURNED,2025-08-05T21:55:49
128,192,2023-07-27,18.20,DELIVERED,2023-07-27T13:27:44
129,160,2025-04-30,46.60,DELIVERED,2025-05-01T20:41:12
130,178,2025-11-10,221.82,DELIVERED,2025-11-10T20:54:32
131,171,2024-07-01,30.14,DELIVERED,2024-07-02T16:22:37
132,4,2026-06-06,127.15,DELIVERED,2025-04-10T04:20:21
133,42,2025-11-07,2.79,RETURNED,2025-11-07T08:53:13
134,193,2023-08-16,57.78,DELIVERED,2023-08-16T15:14:45
135,144,2024-12-04,69.18,CANCELLED,2024-12-04T08:56:46
136,179,2025-05-21,2.71,SHIPPED,2025-05-22T22:40:58
137,176,2024-08-15,14.72,SHIPPED,2024-08-16T19:25:53
138,200,2023-01-21,8.59,CANCELLED,2023-01-23T03:22:44
139,194,2023-12-17,109.45,DELIVERED,2023-12-19T02:03:26
140,46,2023-11-02,128.27,RETURNED,2023-11-04T03:53:53
141,110,2023-09-27,34.67,SHIPPED,2023-09-29T23:33:07
142,11,2023-09-07,10.93,CONFIRMED,2023-09-09T13:51:44
143,126,2023-03-21,66.95,DELIVERED,2023-03-22T17:01:41
144,48,2023-04-24,20.48,DELIVERED,2023-04-26T03:11:34
145,90,2023-09-05,38.42,CONFIRMED,2023-09-06T16:45:45
146,193,2024-05-30,22.95,DELIVERED,2024-05-31T11:30:51
147,158,2025-05-22,10.27,CANCELLED,2025-05-23T18:04:25
148,30,2023-03-03,119.51,SHIPPED,2023-03-05T18:43:53
149,115,2024-03-15,8.98,DELIVERED,2024-03-15T10:37:45
150,25,2025-10-09,22.13,CONFIRMED,2025-10-09T15:43:54
151,176,2025-04-15,155.82,DELIVERED,2025-04-17T04:09:19
152,19,2025-04-15,16.00,DELIVERED,2025-04-17T05:55:48
153,14,2024-12-14,22.65,CONFIRMED,2024-12-16T07:09:27
154,,2023-04-20,23.42,DELIVERED,2023-04-21T23:16:17
155,,2025-04-10,71.01,DELIVERED,2025-04-10T21:04:14
156,196,2024-07-09,21.16,RETURNED,2024-07-11T01:01:39
157,35,2025-10-23,29.52,DELIVERED,2025-10-23T11:32:42
158,,2025-04-27,312.24,RETURNED,2025-04-28T13:04:58
159,101,2023-08-08,3.64,DELIVERED,2023-08-08T22:47:59
160,166,2024-04-18,19.16,CANCELLED,2024-04-18T21:42:34
161,30,2023-10-13,45.70,CONFIRMED,2023-10-14T10:44:45
162,75,2023-03-26,27.74,DELIVERED,2023-03-27T23:44:34
163,92,2023-11-03,1016.16,CONFIRMED,2023-11-05T15:15:40
164,82,2023-06-05,388.90,DELIVERED,2023-06-06T04:57:00
165,146,2025-10-21,52.98,SHIPPED,2025-10-22T05:02:36
166,112,2024-10-27,3.66,SHIPPED,2024-10-27T19:27:25
167,115,2025-11-21,17.00,SHIPPED,2025-11-23T15:35:07
168,72,2025-05-06,6.07,CANCELLED,2025-05-07T06:48:59
169,8,2025-04-16,4.43,CANCELLED,2025-04-17T06:08:09
170,140,2025-07-05,213.86,CANCELLED,2025-07-06T04:08:53
171,198,2025-10-12,23.20,DELIVERED,2025-10-13T05:27:44
172,94,2023-07-27,33.20,DELIVERED,2023-07-29T05:27:18
173,115,2025-08-11,8.04,CONFIRMED,2025-08-13T16:55:13
174,188,2025-05-28,81.24,DELIVERED,2025-05-30T18:01:12
175,60,2023-12-06,15.63,PENDING,2023-12-08T06:10:04
176,12,2024-07-15,29.53,PENDING,2024-07-16T05:25:37
177,149,2023-06-10,5.44,DELIVERED,2023-06-12T06:30:26
178,20,2025-10-12,14.88,DELIVERED,2025-10-13T11:46:55
179,89,2023-12-13,11.47,DELIVERED,2023-12-14T16:17:11
180,43,2025-07-27,33.26,CONFIRMED,2025-07-27T15:37:05
181,155,2024-03-12,14.09,DELIVERED,2024-03-12T19:20:14
182,124,2023-12-24,326.98,DELIVERED,2023-12-25T22:56:01
183,63,2025-07-06,55.40,PENDING,2025-07-07T05:16:52
184,147,2023-09-08,43.71,CONFIRMED,2023-09-08T16:19:47
185,185,2023-10-07,37.84,DELIVERED,2023-10-09T02:17:09
186,106,2023-05-14,82.40,DELIVERED,2023-05-14T18:56:09
187,186,2023-10-10,51.77,DELIVERED,2023-10-12T05:07:57
188,34,2025-07-15,7.94,CONFIRMED,2025-07-17T06:22:32
189,25,2025-02-22,27.27,CONFIRMED,2025-02-24T07:53:09
190,193,2025-07-20,174.10,CONFIRMED,2025-07-20T21:40:45
191,199,2023-07-22,35.91,DELIVERED,2023-07-24T02:00:40
192,110,2024-10-15,424.98,CONFIRMED,2024-10-16T12:14:13
193,195,2024-08-15,67.28,CANCELLED,2024-08-16T04:31:36
194,22,2024-10-22,3.83,SHIPPED,2024-10-23T08:23:40
195,2,2024-09-26,3.67,DELIVERED,2024-09-27T12:27:12
196,81,2023-01-12,91.74,DELIVERED,2023-01-13T05:12:49
197,138,2024-10-23,42.01,DELIVERED,2024-10-25T15:06:00
198,142,2024-03-04,25.40,DELIVERED,2024-03-05T21:38:29
199,79,2024-07-29,38.53,DELIVERED,2024-07-30T14:32:23
200,180,2024-09-10,11.96,RETURNED,2024-09-12T11:21:10
201,158,2025-02-28,637.34,DELIVERED,2025-03-01T18:25:15
202,17,2023-09-07,156.45,SHIPPED,2023-09-08T17:44:50
203,74,2025-08-04,18.27,DELIVERED,2025-08-04T05:14:30
204,169,2023-09-30,32.73,RETURNED,2023-10-01T23:34:52
205,179,2023-10-30,109.33,CONFIRMED,2023-10-30T15:40:32
206,102,2023-02-26,80.64,DELIVERED,2023-02-27T00:27:23
207,144,2023-01-24,48.08,CANCELLED,2023-01-26T20:54:19
208,104,2024-03-05,43.46,DELIVERED,2024-03-06T03:57:35
209,97,2024-09-24,54.83,DELIVERED,2024-09-25T20:04:44
210,8,2024-06-11,1227.56,DELIVERED,2024-06-12T21:28:15
211,180,2024-08-17,70.97,CONFIRMED,2024-08-19T04:05:33
212,68,2024-07-02,42.32,CONFIRMED,2024-07-03T22:22:58
213,91,2025-11-12,180.66,CONFIRMED,2025-11-14T13:16:43
214,189,2023-10-11,33.03,CONFIRMED,2023-10-13T22:41:53
215,31,2023-12-23,8.66,RETURNED,2023-12-23T14:28:34
216,139,2025-10-27,89.47,RETURNED,2025-10-28T22:14:32
217,71,2024-07-30,209.21,DELIVERED,2024-08-01T07:12:35
218,33,2025-03-05,14.28,PENDING,2025-03-05T18:26:35
219,176,2025-01-13,7.58,DELIVERED,2025-01-14T12:03:53
220,3,2023-07-06,34.98,PENDING,2023-07-08T20:39:03
221,67,2025-06-21,13.09,CONFIRMED,2025-06-21T20:33:23
222,48,2024-02-23,139.34,DELIVERED,2024-02-24T19:16:00
223,116,2025-12-24,20.83,CONFIRMED,2025-12-25T12:27:36
224,70,2025-06-13,17.80,CANCELLED,2025-06-15T10:50:13
225,162,2024-08-14,8.75,DELIVERED,2024-08-15T05:21:42
226,66,2025-01-25,13.69,DELIVERED,2025-01-26T18:30:57
227,144,2024-11-29,19.44,DELIVERED,2024-12-01T19:48:11
228,174,2024-06-18,25.03,RETURNED,2024-06-18T16:28:46
229,200,2025-06-13,48.03,SHIPPED,2025-06-15T08:54:05
230,21,2025-03-03,92.08,SHIPPED,2025-03-05T06:45:04
231,87,2025-09-08,272.94,DELIVERED,2025-09-08T17:56:14
232,81,2024-09-20,8.85,SHIPPED,2024-09-21T00:01:14
233,114,2024-02-20,49.83,DELIVERED,2024-02-22T03:05:36
234,48,2025-06-30,169.93,CANCELLED,2025-07-02T03:57:18
235,192,2023-12-31,4.50,PENDING,2024-01-02T06:32:08
236,102,2023-06-10,36.69,DELIVERED,2023-06-10T07:27:56
237,100,2023-06-11,43.19,SHIPPED,2023-06-12T03:43:54
238,44,2024-03-17,44.69,PENDING,2024-03-18T15:49:20
239,70,2024-05-20,19.63,DELIVERED,2024-05-21T11:23:01
240,162,2025-12-19,6.35,DELIVERED,2025-12-21T04:15:57
241,89,2024-11-06,61.39,DELIVERED,2024-11-08T03:07:54
242,40,2026-11-02,16.90,SHIPPED,2023-05-21T07:48:57
243,126,2024-03-21,41.74,RETURNED,2024-03-22T18:16:17
244,2,2023-01-15,151.73,DELIVERED,2023-01-16T08:29:16
245,189,2025-05-20,25.56,DELIVERED,2025-05-21T22:58:52
246,133,2023-12-09,3.28,DELIVERED,2023-12-10T09:16:54
247,137,2025-12-13,8.71,CANCELLED,2025-12-15T19:22:57
248,180,2023-04-17,27.99,DELIVERED,2023-04-17T20:31:16
249,48,2023-01-31,4.51,RETURNED,2023-01-31T13:06:46
250,24,2023-07-14,29.14,CONFIRMED,2023-07-16T03:47:57
251,96,2024-06-15,4.79,DELIVERED,2024-06-16T06:26:06
252,50,2024-05-28,6.26,CANCELLED,2024-05-28T06:33:43
253,114,2024-08-15,3.46,CONFIRMED,2024-08-15T19:14:12
254,171,2023-11-06,56.52,RETURNED,2023-11-07T15:57:50
255,141,2025-11-24,208.64,DELIVERED,2025-11-25T10:00:39
256,29,2025-09-18,86.24,CONFIRMED,2025-09-19T17:45:05
257,,2023-01-24,142.49,DELIVERED,2023-01-24T20:45:53
258,96,2025-06-21,29.19,DELIVERED,2025-06-23T13:07:17
259,195,2025-02-15,59.06,DELIVERED,2025-02-15T20:20:20
260,33,2025-09-28,241.65,DELIVERED,2025-09-28T17:29:38
261,113,,501.35,DELIVERED,2025-05-19T02:48:47
262,76,2024-07-10,31.38,DELIVERED,2024-07-12T08:27:07
263,120,2025-05-30,37.82,SHIPPED,2025-05-30T20:10:19
264,94,2025-05-11,18.71,DELIVERED,2025-05-11T21:00:56
265,159,2025-02-24,48.79,CONFIRMED,2025-02-26T00:28:17
266,175,2025-10-19,74.50,DELIVERED,2025-10-21T01:48:29
267,29,2025-08-10,11.98,PENDING,2025-08-11T02:45:34
268,9,2023-03-10,12.17,DELIVERED,2023-03-10T09:08:04
269,66,2025-10-19,39.57,PENDING,2025-10-20T09:04:56
270,126,2023-04-21,101.42,RETURNED,2023-04-21T03:22:22
271,107,2024-12-28,4.28,CANCELLED,2024-12-29T19:30:34
272,56,2023-04-01,9.29,RETURNED,2023-04-03T05:34:56
273,169,2023-12-25,24.72,CONFIRMED,2023-12-27T07:58:31
274,28,2023-10-05,79.61,DELIVERED,2023-10-07T09:47:48
275,27,2025-11-13,68.57,CONFIRMED,2025-11-15T00:54:19
276,154,2024-09-15,22.26,DELIVERED,2024-09-17T04:08:11
277,96,2024-05-04,148.13,DELIVERED,2024-05-06T01:49:47
278,97,2024-05-17,10.23,DELIVERED,2024-05-19T02:07:27
279,102,2024-01-30,-184.96,PENDING,2024-01-31T17:07:45
280,57,2025-07-14,18.48,CONFIRMED,2025-07-14T13:38:53
281,147,2025-12-07,193.52,RETURNED,2025-12-08T04:35:41
282,94,2023-02-28,23.46,CANCELLED,2023-03-01T20:54:40
283,56,2024-02-03,8.17,DELIVERED,2024-02-03T21:27:45
284,180,2025-01-19,26.08,DELIVERED,2025-01-20T02:08:26
285,148,2025-07-13,7.20,SHIPPED,2025-07-15T09:49:39
286,31,2024-06-03,131.91,CANCELLED,2024-06-04T09:56:58
287,135,2025-10-11,44.16,PENDING,2025-10-12T16:22:18
288,13,2023-08-21,33.33,DELIVERED,2023-08-22T05:44:50
289,111,2024-11-23,39.26,SHIPPED,2024-11-24T20:46:38
290,13,2023-07-25,4.46,DELIVERED,2023-07-26T06:21:53
291,196,2024-09-11,21.19,CONFIRMED,2024-09-12T11:09:53
292,158,2025-01-27,48.90,RETURNED,2025-01-28T22:46:48
293,176,2024-01-12,14.24,RETURNED,2024-01-12T15:09:41
294,83,2025-11-09,26.01,SHIPPED,2025-11-10T15:33:50
295,38,2024-04-18,202.15,DELIVERED,2024-04-18T23:28:13
296,187,2023-12-29,52.05,CANCELLED,2023-12-30T06:07:23
297,6,2023-03-26,7.73,SHIPPED,2023-03-27T09:19:28
298,141,2023-11-26,48.56,DELIVERED,2023-11-26T17:17:03
299,12,2023-08-08,55.03,SHIPPED,2023-08-10T10:48:49
300,168,2023-11-08,42.80,RETURNED,2023-11-10T15:29:28
301,75,2025-10-22,23.99,CANCELLED,2025-10-23T14:29:00
302,81,2023-12-26,35.18,DELIVERED,2023-12-27T03:35:26
303,11,2023-05-17,51.14,CONFIRMED,2023-05-18T05:38:54
304,89,2024-06-02,25.53,DELIVERED,2024-06-03T12:22:38
305,66,2024-04-14,20.25,CANCELLED,2024-04-15T07:32:17
306,88,2023-02-15,109.28,CANCELLED,2023-02-17T06:34:05
307,59,2023-05-17,61.45,DELIVERED,2023-05-19T08:14:07
308,139,2024-10-24,116.47,CONFIRMED,2024-10-25T07:46:02
309,36,2025-06-21,53.25,SHIPPED,2025-06-23T01:23:40
310,198,2025-03-24,6.81,CONFIRMED,2025-03-25T01:53:01
311,185,2023-09-03,4.93,CONFIRMED,2023-09-04T09:27:12
312,106,2023-08-15,7.99,RETURNED,2023-08-17T00:29:03
313,,2025-09-16,4.02,CONFIRMED,2025-09-18T07:23:30
314,153,2025-08-16,58.02,CONFIRMED,2025-08-17T03:25:58
315,129,2024-07-12,69.41,CANCELLED,2024-07-12T08:14:00
316,122,2025-10-06,11.45,CONFIRMED,2025-10-07T01:40:15
317,191,2023-02-20,14.77,DELIVERED,2023-02-21T04:36:17
318,177,2023-11-14,23.89,SHIPPED,2023-11-14T23:37:41
319,189,2024-01-19,26.99,CANCELLED,2024-01-20T12:46:06
320,138,2024-09-04,273.66,DELIVERED,2024-09-05T23:00:12
321,11,2023-03-01,7.53,CANCELLED,2023-03-03T05:49:49
322,13,2025-04-15,12.34,CONFIRMED,2025-04-16T15:12:54
323,157,2024-04-18,28.85,CANCELLED,2024-04-18T21:36:05
324,185,2023-08-09,114.27,DELIVERED,2023-08-11T05:04:38
325,83,2025-06-28,38.76,DELIVERED,2025-06-30T08:04:22
326,167,2025-07-06,9.51,CANCELLED,2025-07-07T22:33:21
327,93,2023-07-11,7.83,PENDING,2023-07-12T04:03:44
328,98,2025-03-05,146.96,PENDING,2025-03-07T12:18:28
329,197,2024-06-04,14.69,DELIVERED,2024-06-06T05:54:21
330,161,2024-04-25,89.90,CONFIRMED,2024-04-27T18:40:43
331,118,2023-11-12,46.42,DELIVERED,2023-11-12T03:51:35
332,151,2023-01-09,93.11,DELIVERED,2023-01-11T13:23:45
333,161,2024-11-17,98.48,DELIVERED,2024-11-17T16:18:27
334,,2023-03-17,4.10,CONFIRMED,2023-03-18T11:49:30
335,28,2025-07-26,22.62,DELIVERED,2025-07-27T00:06:44
336,153,2025-11-10,69.50,DELIVERED,2025-11-10T20:20:59
337,24,2024-12-08,355.13,DELIVERED,2024-12-10T08:13:28
338,32,2024-08-11,6.10,DELIVERED,2024-08-11T20:52:58
339,157,2025-03-29,39.13,PENDING,2025-03-30T20:57:00
340,177,2025-09-04,231.00,DELIVERED,2025-09-05T12:01:18
341,135,2024-03-22,45.96,DELIVERED,2024-03-23T07:07:07
342,162,2023-07-21,43.31,DELIVERED,2023-07-23T04:03:22
343,54,2025-08-04,44.38,DELIVERED,2025-08-05T07:17:36
344,164,2024-10-05,15.21,CONFIRMED,2024-10-05T07:34:21
345,77,2025-12-07,19.25,DELIVERED,2025-12-08T16:42:02
346,186,2023-01-10,59.20,DELIVERED,2023-01-10T20:35:24
347,173,2023-09-30,19.55,DELIVERED,2023-10-01T08:55:37
348,118,2023-02-25,13.63,CANCELLED,2023-02-26T23:42:27
349,191,2024-06-04,89.80,PENDING,2024-06-05T19:47:36
350,5,2025-05-27,75.54,CONFIRMED,2025-05-29T13:35:17
351,8,2024-07-03,126.92,SHIPPED,2024-07-03T11:59:50
352,153,2025-04-09,42.07,CONFIRMED,2025-04-10T10:08:51
353,70,2024-04-23,419.33,DELIVERED,2024-04-25T19:33:51
354,56,2024-01-05,4.44,DELIVERED,2024-01-06T03:56:42
355,124,2024-08-04,29.41,CANCELLED,2024-08-04T10:46:19
356,199,2024-06-12,90.42,SHIPPED,2024-06-13T15:26:23
357,186,2023-06-02,50.37,PENDING,2023-06-04T01:05:01
358,23,2025-03-22,85.55,SHIPPED,2025-03-22T18:25:42
359,6,2023-06-10,285.31,DELIVERED,2023-06-11T13:57:07
360,137,2023-11-22,13.96,SHIPPED,2023-11-23T20:36:51
361,4,2023-07-02,12.26,RETURNED,2023-07-03T12:20:28
362,70,2023-06-09,40.22,CONFIRMED,2023-06-09T14:49:39
363,157,2024-03-16,18.81,CANCELLED,2024-03-17T13:59:06
364,23,2023-03-20,7.38,DELIVERED,2023-03-21T04:12:33
365,115,2025-07-15,78.27,DELIVERED,2025-07-16T15:00:54
366,21,2023-11-04,538.88,RETURNED,2023-11-06T17:27:38
367,117,2024-12-24,168.15,SHIPPED,2024-12-25T23:22:53
368,158,2024-12-23,16.26,SHIPPED,2024-12-25T06:14:29
369,84,,119.43,DELIVERED,2023-10-14T16:53:52
370,73,2023-06-25,24.90,DELIVERED,2023-06-26T07:44:04
371,167,2023-07-17,81.96,PENDING,2023-07-19T06:35:33
372,63,2024-12-17,42.30,DELIVERED,2024-12-18T04:23:17
373,152,2024-08-19,5.69,DELIVERED,2024-08-19T10:42:53
374,170,2025-05-31,37.34,DELIVERED,2025-06-01T01:09:57
375,84,2025-06-10,4.64,DELIVERED,2025-06-12T07:17:27
376,127,2023-10-01,81.40,DELIVERED,2023-10-02T12:14:34
377,137,2023-12-05,14.09,SHIPPED,2023-12-05T10:09:17
378,174,2024-11-25,4.46,SHIPPED,2024-11-26T04:19:28
379,23,2024-11-06,150.66,DELIVERED,2024-11-08T05:47:54
380,8,2025-03-03,10.81,CONFIRMED,2025-03-04T23:58:53
381,98,2024-09-04,18.05,DELIVERED,2024-09-06T04:23:18
382,93,2023-09-27,6.23,CANCELLED,2023-09-28T16:11:50
383,35,2025-11-06,31.54,PENDING,2025-11-07T06:52:27
384,117,2024-10-08,347.68,DELIVERED,2024-10-09T06:12:55
385,155,2024-11-30,22.97,PENDING,2024-12-01T03:55:20
386,,2024-01-03,33.32,DELIVERED,2024-01-05T16:40:42
387,124,2025-06-01,53.28,RETURNED,2025-06-02T21:09:05
388,157,2025-03-28,30.62,PENDING,2025-03-29T11:54:52
389,149,2025-10-28,3.09,SHIPPED,2025-10-29T20:54:23
390,132,2024-06-17,97.47,CANCELLED,2024-06-19T03:19:46
391,178,2024-05-29,19.93,RETURNED,2024-05-31T02:44:14
392,44,2025-05-25,5.97,DELIVERED,2025-05-26T09:29:35
393,22,2024-03-29,47.41,CONFIRMED,2024-03-31T05:20:52
394,66,2024-03-07,11.56,PENDING,2024-03-08T07:57:14
395,95,2023-09-29,140.23,CANCELLED,2023-09-30T20:04:33
396,9,2025-12-24,28.37,SHIPPED,2025-12-25T06:46:51
397,198,2023-08-14,9.02,SHIPPED,2023-08-15T23:36:39
398,89,2025-09-17,3.52,PENDING,2025-09-17T21:30:23
399,78,2023-06-30,10.61,DELIVERED,2023-06-30T08:35:00
400,122,2025-04-07,14.29,SHIPPED,2025-04-07T20:48:56
