geo_id,state_name,county_name,year,dataset,variable_code,variable_name,variable_concept,estimate,margin_of_error,load_time
01001,Alabama,Autauga,2022,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,27331,1360.43,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,3103,386.81,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,27290,1495.66,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,14826,2056.48,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs1,B25001_001E,Housing Units,HOUSING UNITS,302365,40495.08,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs5,B01001_001E,Total Population,SEX BY AGE,169981,8098.14,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,85435,6102.81,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,43129,3435.26,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,18359,700.43,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,49823,4632.44,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs5,B25001_001E,Housing Units,HOUSING UNITS,142752,16717.94,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs1,B01001_001E,Total Population,SEX BY AGE,229622,31393.23,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,72350,4851.76,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,10065,867.99,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,6957,822.68,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,8185,326.33,2023-06-15T00:00:00Z
01001,Alabama,Autauga,2023,acs1,B25001_001E,Housing Units,HOUSING UNITS,88876,10929.11,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs5,B01001_001E,Total Population,SEX BY AGE,226333,22074.98,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,70432,4902.81,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,31674,2812.17,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,37256,4914.12,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,1752,189.98,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs5,B25001_001E,Housing Units,HOUSING UNITS,65058,7066.75,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs1,B01001_001E,Total Population,SEX BY AGE,286527,33699.62,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,104012,6679.94,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,20234,1548.3,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,30735,627.67,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,48323,6468.56,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2019,acs1,B25001_001E,Housing Units,HOUSING UNITS,143091,20940.72,2019-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs5,B01001_001E,Total Population,SEX BY AGE,404487,17483.85,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,33947,4520.63,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,20558,2660.55,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,34270,3398.42,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,11016,755.79,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs5,B25001_001E,Housing Units,HOUSING UNITS,89698,8083.52,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs1,B01001_001E,Total Population,SEX BY AGE,413224,57816.83,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,20074,1964.5,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,33021,744.03,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,24788,3327.39,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,21153,1081.53,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2020,acs1,B25001_001E,Housing Units,HOUSING UNITS,131286,17610.87,2020-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs5,B01001_001E,Total Population,SEX BY AGE,46291,1441.27,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,83699,10553.02,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,35911,4293.46,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,9414,995.7,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,37031,1535.55,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs5,B25001_001E,Housing Units,HOUSING UNITS,281653,37577.1,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs1,B01001_001E,Total Population,SEX BY AGE,226846,32975.96,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,90686,10717.68,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,46211,2132.62,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,21428,1540.01,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,45019,4703.77,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2021,acs1,B25001_001E,Housing Units,HOUSING UNITS,234690,32140.76,2021-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs5,B01001_001E,Total Population,SEX BY AGE,241708,8636.36,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,49451,1400.62,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,2378,229.43,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,16080,1551.68,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,1471,43.0,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs5,B25001_001E,Housing Units,HOUSING UNITS,335879,9288.26,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs1,B01001_001E,Total Population,SEX BY AGE,40337,5554.59,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,63309,1849.35,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,16597,932.79,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,32812,1570.08,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,9671,1102.84,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2022,acs1,B25001_001E,Housing Units,HOUSING UNITS,467622,44066.64,2022-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs5,B01001_001E,Total Population,SEX BY AGE,252815,13042.64,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,81993,10247.04,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,13478,434.83,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,44187,3359.83,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,28759,2112.16,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs5,B25001_001E,Housing Units,HOUSING UNITS,457899,52557.58,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs1,B01001_001E,Total Population,SEX BY AGE,358036,37575.6,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,104696,3433.43,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,27386,3140.29,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,8161,427.03,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,13465,1208.04,2023-06-15T00:00:00Z
01003,Alabama,Baldwin,2023,acs1,B25001_001E,Housing Units,HOUSING UNITS,78495,5874.93,2023-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs5,B01001_001E,Total Population,SEX BY AGE,151037,12104.35,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,29880,2318.9,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,37066,1213.1,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,43738,6556.62,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,1967,287.12,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs5,B25001_001E,Housing Units,HOUSING UNITS,490683,57882.69,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs1,B01001_001E,Total Population,SEX BY AGE,128930,5366.12,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,83653,6907.78,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,27282,3746.3,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,11789,816.58,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,26586,1448.31,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2019,acs1,B25001_001E,Housing Units,HOUSING UNITS,416078,50789.32,2019-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs5,B01001_001E,Total Population,SEX BY AGE,154552,11590.0,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,115748,17293.32,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,37422,3968.35,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,32894,1319.83,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,20445,987.52,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs5,B25001_001E,Housing Units,HOUSING UNITS,35662,3398.35,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs1,B01001_001E,Total Population,SEX BY AGE,289266,8077.6,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,61104,1676.17,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,39284,3220.6,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,35807,1448.98,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,34281,1042.64,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2020,acs1,B25001_001E,Housing Units,HOUSING UNITS,102425,2960.88,2020-06-15T00:00:00Z
01005,Alabama,Barbour,2021,acs5,B01001_001E,Total Population,SEX BY AGE,40631,4379.11,2021-06-15T00:00:00Z
01005,Alabama,Barbour,2021,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,50828,3684.56,2021-06-15T00:00:00Z
01005,Alabama,Barbour,2021,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,38334,1993.67,2021-06-15T00:00:00Z
01005,Alabama,Barbour,2021,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,39962,1005.7,2021-06-15T00:00:00Z
01005,Alabama,Barbour,2021,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,6372,474.71,2021-06-15T00:00:00Z
01005,Alabama,Barbour,2021,acs5,B25001_001E,Housing Units,HOUSING UNITS,311012,29073.25,2021-06-15T00:00:00Z
