trade_id,flow_type,partner_country_code,partner_country_name,partner_region,partner_income_group,hs_code,commodity_description,commodity_section,year,month,trade_value_usd,quantity,quantity_unit,district_code,district_name,transport_method,customs_value_usd,duty_collected_usd,shipping_weight_kg,load_time
TRD-000021,EXPORT,IND,India,South Asia,Lower middle income,2709,Crude petroleum,V,2020,1,2652715.46,440505.6761,KG,04,"Chicago, IL",AIR,2366589.24,0,812722.6896,2020-01-28T00:00:00Z
TRD-000022,IMPORT,IND,India,South Asia,Lower middle income,2709,Crude petroleum,V,2020,1,8168179.03,309635.7541,KG,01,"New York, NY",TRUCK,7606903.28,765430.47,977861.6136,2020-01-28T00:00:00Z
TRD-000023,EXPORT,IND,India,South Asia,Lower middle income,9401,Seats,XX,2020,1,31106878.73,144428.8806,KG,01,"New York, NY",AIR,26987482.57,0,16592.9236,2020-01-28T00:00:00Z
TRD-000024,IMPORT,IND,India,South Asia,Lower middle income,9401,Seats,XX,2020,1,3855983.33,281239.8004,KG,18,"Los Angeles, CA",RAIL,3681307.58,105281.27,378166.7666,2020-01-28T00:00:00Z
TRD-000025,EXPORT,JPN,Japan,East Asia & Pacific,High income,8517,Telephone sets,XVI,2020,1,13805421.64,74604.1132,KG,13,"Houston-Galveston, TX",RAIL,13325641.85,0,163799.0715,2020-01-28T00:00:00Z
TRD-000026,IMPORT,JPN,Japan,East Asia & Pacific,High income,8517,Telephone sets,XVI,2020,1,47397000.69,240140.8183,KG,13,"Houston-Galveston, TX",RAIL,46783053.2,2310871.11,283257.9806,2020-01-28T00:00:00Z
TRD-000027,EXPORT,JPN,Japan,East Asia & Pacific,High income,2709,Crude petroleum,V,2020,1,14916701.68,288900.9805,KG,04,"Chicago, IL",RAIL,14903969.03,0,480764.5246,2020-01-28T00:00:00Z
TRD-000028,IMPORT,JPN,Japan,East Asia & Pacific,High income,2709,Crude petroleum,V,2020,1,5698903.33,345141.9168,KG,18,"Los Angeles, CA",TRUCK,5559418.9,273736.74,641649.1667,2020-01-28T00:00:00Z
TRD-000029,EXPORT,JPN,Japan,East Asia & Pacific,High income,8542,Electronic integrated circuits,XVI,2020,1,8790370.54,20799.6904,KG,18,"Los Angeles, CA",RAIL,8037989.21,0,33486.0466,2020-01-28T00:00:00Z
TRD-000030,IMPORT,JPN,Japan,East Asia & Pacific,High income,8542,Electronic integrated circuits,XVI,2020,1,13722143.73,471522.7592,KG,04,"Chicago, IL",VESSEL,11673179.06,1101217.13,302067.2346,2020-01-28T00:00:00Z
TRD-000031,EXPORT,MEX,Mexico,Latin America & Caribbean,Upper middle income,8517,Telephone sets,XVI,2020,2,47367787.33,286457.4394,KG,01,"New York, NY",TRUCK,41457083.09,0,222830.1602,2020-02-28T00:00:00Z
TRD-000032,IMPORT,MEX,Mexico,Latin America & Caribbean,Upper middle income,8517,Telephone sets,XVI,2020,2,28290484.47,417149.881,KG,01,"New York, NY",TRUCK,24764183.02,2256304.93,477514.2075,2020-02-28T00:00:00Z
TRD-000033,EXPORT,MEX,Mexico,Latin America & Caribbean,Upper middle income,3004,Medicaments,VI,2020,2,47185909.38,36596.3618,KG,04,"Chicago, IL",VESSEL,41255467.47,0,259369.0442,2020-02-28T00:00:00Z
TRD-000034,IMPORT,MEX,Mexico,Latin America & Caribbean,Upper middle income,3004,Medicaments,VI,2020,2,44518557.0,265451.8401,KG,13,"Houston-Galveston, TX",VESSEL,44270085.7,233814.18,18895.6729,2020-02-28T00:00:00Z
TRD-000035,EXPORT,MEX,Mexico,Latin America & Caribbean,Upper middle income,9401,Seats,XX,2020,2,38416821.9,278952.4835,KG,04,"Chicago, IL",VESSEL,38094204.55,0,332238.2763,2020-02-28T00:00:00Z
TRD-000036,IMPORT,MEX,Mexico,Latin America & Caribbean,Upper middle income,9401,Seats,XX,2020,2,11523731.32,441870.3435,KG,04,"Chicago, IL",VESSEL,9872037.14,450283.82,828336.4597,2020-02-28T00:00:00Z
TRD-000037,EXPORT,JPN,Japan,East Asia & Pacific,High income,2709,Crude petroleum,V,2020,2,38824653.86,315535.4744,KG,04,"Chicago, IL",VESSEL,35265013.55,0,927037.7509,2020-02-28T00:00:00Z
TRD-000038,IMPORT,JPN,Japan,East Asia & Pacific,High income,2709,Crude petroleum,V,2020,2,29579417.55,336485.3575,KG,18,"Los Angeles, CA",VESSEL,27506925.02,333291.34,525345.1932,2020-02-28T00:00:00Z
TRD-000039,EXPORT,JPN,Japan,East Asia & Pacific,High income,8471,Automatic data processing machines,XVI,2020,2,45943520.53,103947.2121,KG,13,"Houston-Galveston, TX",TRUCK,40976244.01,0,806966.1079,2020-02-28T00:00:00Z
TRD-000040,IMPORT,JPN,Japan,East Asia & Pacific,High income,8471,Automatic data processing machines,XVI,2020,2,46452142.72,171858.0149,KG,04,"Chicago, IL",VESSEL,41797913.04,1958393.37,700695.9371,2020-02-28T00:00:00Z
TRD-000041,EXPORT,JPN,Japan,East Asia & Pacific,High income,8542,Electronic integrated circuits,XVI,2020,2,22497302.03,68620.3583,KG,04,"Chicago, IL",AIR,19786500.28,0,758166.6324,2020-02-28T00:00:00Z
TRD-000042,IMPORT,JPN,Japan,East Asia & Pacific,High income,8542,Electronic integrated circuits,XVI,2020,2,16021861.78,167677.7691,KG,13,"Houston-Galveston, TX",VESSEL,14557456.93,750357.95,553779.9734,2020-02-28T00:00:00Z
TRD-000043,EXPORT,KOR,South Korea,East Asia & Pacific,High income,8542,Electronic integrated circuits,XVI,2020,2,8041797.82,21111.1336,KG,04,"Chicago, IL",VESSEL,7996544.87,0,306804.3447,2020-02-28T00:00:00Z
TRD-000044,IMPORT,KOR,South Korea,East Asia & Pacific,High income,8542,Electronic integrated circuits,XVI,2020,2,36618574.6,144258.2984,KG,18,"Los Angeles, CA",RAIL,31193522.81,303382.25,188018.582,2020-02-28T00:00:00Z
TRD-000045,EXPORT,KOR,South Korea,East Asia & Pacific,High income,7108,Gold,XIV,2020,2,15534872.3,264040.1925,KG,18,"Los Angeles, CA",TRUCK,13571813.31,0,8034.0805,2020-02-28T00:00:00Z
TRD-000046,IMPORT,KOR,South Korea,East Asia & Pacific,High income,7108,Gold,XIV,2020,2,26881454.72,207122.3739,KG,04,"Chicago, IL",AIR,25292196.18,627235.36,533363.9231,2020-02-28T00:00:00Z
TRD-000047,EXPORT,KOR,South Korea,East Asia & Pacific,High income,8703,Motor cars,XVII,2020,2,10185237.5,491310.509,KG,13,"Houston-Galveston, TX",TRUCK,8877752.66,0,908764.9743,2020-02-28T00:00:00Z
TRD-000048,IMPORT,KOR,South Korea,East Asia & Pacific,High income,8703,Motor cars,XVII,2020,2,15133894.14,461713.9464,KG,04,"Chicago, IL",TRUCK,14043549.19,563672.33,78452.2142,2020-02-28T00:00:00Z
TRD-000049,EXPORT,IND,India,South Asia,Lower middle income,8471,Automatic data processing machines,XVI,2020,2,49354933.21,274519.284,KG,01,"New York, NY",RAIL,46027239.02,0,991052.8389,2020-02-28T00:00:00Z
TRD-000050,IMPORT,IND,India,South Asia,Lower middle income,8471,Automatic data processing machines,XVI,2020,2,44740405.21,249507.1339,KG,18,"Los Angeles, CA",VESSEL,44040150.27,1158362.22,730004.488,2020-02-28T00:00:00Z
TRD-000051,EXPORT,IND,India,South Asia,Lower middle income,9401,Seats,XX,2020,2,46119152.5,17333.4589,KG,13,"Houston-Galveston, TX",VESSEL,39201609.87,0,390502.2897,2020-02-28T00:00:00Z
TRD-000052,IMPORT,IND,India,South Asia,Lower middle income,9401,Seats,XX,2020,2,32100359.07,129077.8619,KG,18,"Los Angeles, CA",VESSEL,30383807.89,1476821.88,988055.7226,2020-02-28T00:00:00Z
TRD-000053,EXPORT,IND,India,South Asia,Lower middle income,7108,Gold,XIV,2020,2,47590694.57,153818.556,KG,01,"New York, NY",AIR,42957163.9,0,858330.8118,2020-02-28T00:00:00Z
TRD-000054,IMPORT,IND,India,South Asia,Lower middle income,7108,Gold,XIV,2020,2,14312592.78,263247.8631,KG,13,"Houston-Galveston, TX",VESSEL,13046286.66,1079655.16,116181.1405,2020-02-28T00:00:00Z
TRD-000055,EXPORT,GBR,United Kingdom,Europe & Central Asia,High income,7108,Gold,XIV,2020,2,38765608.36,340243.473,KG,18,"Los Angeles, CA",TRUCK,37054456.9,0,369749.7988,2020-02-28T00:00:00Z
TRD-000056,IMPORT,GBR,United Kingdom,Europe & Central Asia,High income,7108,Gold,XIV,2020,2,41662098.93,10415.4005,KG,13,"Houston-Galveston, TX",RAIL,37248786.79,1622903.3,577001.9882,2020-02-28T00:00:00Z
TRD-000057,EXPORT,GBR,United Kingdom,Europe & Central Asia,High income,3004,Medicaments,VI,2020,2,12000441.93,429698.3312,KG,13,"Houston-Galveston, TX",VESSEL,11443491.1,0,960084.1737,2020-02-28T00:00:00Z
TRD-000058,IMPORT,GBR,United Kingdom,Europe & Central Asia,High income,3004,Medicaments,VI,2020,2,5064197.65,438342.5292,KG,18,"Los Angeles, CA",RAIL,4809240.23,340809.35,930377.0957,2020-02-28T00:00:00Z
TRD-000059,EXPORT,GBR,United Kingdom,Europe & Central Asia,High income,9401,Seats,XX,2020,2,6139605.9,459284.5339,KG,01,"New York, NY",AIR,5781124.29,0,48327.4557,2020-02-28T00:00:00Z
TRD-000060,IMPORT,GBR,United Kingdom,Europe & Central Asia,High income,9401,Seats,XX,2020,2,4636752.67,90919.4643,KG,18,"Los Angeles, CA",TRUCK,4379189.6,175247.6,914259.7904,2020-02-28T00:00:00Z
TRD-000061,EXPORT,JPN,Japan,East Asia & Pacific,High income,3004,Medicaments,VI,2020,3,1877386.58,60810.0593,KG,13,"Houston-Galveston, TX",RAIL,1827820.25,0,932928.451,2020-03-28T00:00:00Z
TRD-000062,IMPORT,JPN,Japan,East Asia & Pacific,High income,3004,Medicaments,VI,2020,3,48248266.48,103219.6716,KG,13,"Houston-Galveston, TX",AIR,47186545.87,3918892.27,940304.4414,2020-03-28T00:00:00Z
TRD-000063,EXPORT,JPN,Japan,East Asia & Pacific,High income,7108,Gold,XIV,2020,3,4156491.23,19158.9526,KG,04,"Chicago, IL",AIR,4058795.26,0,688490.4271,2020-03-28T00:00:00Z
TRD-000064,IMPORT,JPN,Japan,East Asia & Pacific,High income,7108,Gold,XIV,2020,3,20822072.06,341314.5983,KG,04,"Chicago, IL",TRUCK,17777451.14,968304.92,365820.2139,2020-03-28T00:00:00Z
TRD-000065,EXPORT,JPN,Japan,East Asia & Pacific,High income,8471,Automatic data processing machines,XVI,2020,3,8540413.84,72240.1072,KG,13,"Houston-Galveston, TX",VESSEL,7527925.37,0,555931.9741,2020-03-28T00:00:00Z
TRD-000066,IMPORT,JPN,Japan,East Asia & Pacific,High income,8471,Automatic data processing machines,XVI,2020,3,35507306.33,13173.3201,KG,04,"Chicago, IL",TRUCK,33321628.81,2820821.85,984678.7732,2020-03-28T00:00:00Z
TRD-000067,EXPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,9401,Seats,XX,2020,3,4740912.33,221851.5717,KG,18,"Los Angeles, CA",VESSEL,4428259.7,0,741430.179,2020-03-28T00:00:00Z
TRD-000068,IMPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,9401,Seats,XX,2020,3,37274518.04,103712.0416,KG,01,"New York, NY",VESSEL,33161055.17,2430006.41,968683.6698,2020-03-28T00:00:00Z
TRD-000069,EXPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,2709,Crude petroleum,V,2020,3,43266654.37,301665.5327,KG,13,"Houston-Galveston, TX",TRUCK,43170781.0,0,144237.6012,2020-03-28T00:00:00Z
TRD-000070,IMPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,2709,Crude petroleum,V,2020,3,14472704.25,207655.6641,KG,01,"New York, NY",AIR,12548273.29,1209861.57,261026.2841,2020-03-28T00:00:00Z
TRD-000071,EXPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,8517,Telephone sets,XVI,2020,3,46425766.57,488438.0733,KG,18,"Los Angeles, CA",AIR,46053574.17,0,524414.6644,2020-03-28T00:00:00Z
TRD-000072,IMPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,8517,Telephone sets,XVI,2020,3,47424773.04,431353.0074,KG,04,"Chicago, IL",VESSEL,45447195.44,4040650.06,621034.7018,2020-03-28T00:00:00Z
TRD-000073,EXPORT,CHN,China,East Asia & Pacific,Upper middle income,3004,Medicaments,VI,2020,3,19978715.57,290763.3457,KG,13,"Houston-Galveston, TX",AIR,17691817.11,0,170517.7707,2020-03-28T00:00:00Z
TRD-000074,IMPORT,CHN,China,East Asia & Pacific,Upper middle income,3004,Medicaments,VI,2020,3,31051136.02,402820.935,KG,13,"Houston-Galveston, TX",AIR,28323732.48,2226690.28,908966.6847,2020-03-28T00:00:00Z
TRD-000075,EXPORT,CHN,China,East Asia & Pacific,Upper middle income,8471,Automatic data processing machines,XVI,2020,3,30839357.67,72670.8797,KG,18,"Los Angeles, CA",VESSEL,28547050.26,0,908143.0867,2020-03-28T00:00:00Z
TRD-000076,IMPORT,CHN,China,East Asia & Pacific,Upper middle income,8471,Automatic data processing machines,XVI,2020,3,29184263.93,1995.0783,KG,04,"Chicago, IL",RAIL,26671611.05,1262960.04,543314.7688,2020-03-28T00:00:00Z
TRD-000077,EXPORT,CHN,China,East Asia & Pacific,Upper middle income,8703,Motor cars,XVII,2020,3,30718455.12,194891.0358,KG,04,"Chicago, IL",VESSEL,30539950.73,0,57723.7797,2020-03-28T00:00:00Z
TRD-000078,IMPORT,CHN,China,East Asia & Pacific,Upper middle income,8703,Motor cars,XVII,2020,3,43800306.86,225884.7916,KG,04,"Chicago, IL",RAIL,39946736.32,1791126.04,725063.4625,2020-03-28T00:00:00Z
TRD-000079,EXPORT,KOR,South Korea,East Asia & Pacific,High income,9401,Seats,XX,2020,3,44305633.69,404020.1373,KG,04,"Chicago, IL",VESSEL,43155104.27,0,796746.7758,2020-03-28T00:00:00Z
TRD-000080,IMPORT,KOR,South Korea,East Asia & Pacific,High income,9401,Seats,XX,2020,3,8739410.77,263366.1413,KG,04,"Chicago, IL",VESSEL,8701289.57,863408.52,622838.1476,2020-03-28T00:00:00Z
TRD-000081,EXPORT,KOR,South Korea,East Asia & Pacific,High income,8517,Telephone sets,XVI,2020,3,42851663.05,456122.0784,KG,13,"Houston-Galveston, TX",RAIL,41281601.12,0,807016.815,2020-03-28T00:00:00Z
TRD-000082,IMPORT,KOR,South Korea,East Asia & Pacific,High income,8517,Telephone sets,XVI,2020,3,45380763.48,254143.3244,KG,01,"New York, NY",VESSEL,43411952.66,839591.76,369459.9333,2020-03-28T00:00:00Z
TRD-000083,EXPORT,KOR,South Korea,East Asia & Pacific,High income,7108,Gold,XIV,2020,3,19657225.59,419145.2136,KG,13,"Houston-Galveston, TX",AIR,18125416.82,0,91388.1022,2020-03-28T00:00:00Z
TRD-000084,IMPORT,KOR,South Korea,East Asia & Pacific,High income,7108,Gold,XIV,2020,3,34450427.21,39657.9599,KG,13,"Houston-Galveston, TX",RAIL,32483768.56,1884283.29,904149.4836,2020-03-28T00:00:00Z
TRD-000085,EXPORT,DEU,Germany,Europe & Central Asia,High income,8542,Electronic integrated circuits,XVI,2020,3,11437574.57,180628.0871,KG,04,"Chicago, IL",RAIL,11245958.77,0,825405.2587,2020-03-28T00:00:00Z
TRD-000086,IMPORT,DEU,Germany,Europe & Central Asia,High income,8542,Electronic integrated circuits,XVI,2020,3,5289132.72,230240.7621,KG,18,"Los Angeles, CA",RAIL,4897365.96,384531.36,674172.6922,2020-03-28T00:00:00Z
TRD-000087,EXPORT,DEU,Germany,Europe & Central Asia,High income,2709,Crude petroleum,V,2020,3,27707606.49,261100.3917,KG,01,"New York, NY",RAIL,23643971.51,0,414577.9756,2020-03-28T00:00:00Z
TRD-000088,IMPORT,DEU,Germany,Europe & Central Asia,High income,2709,Crude petroleum,V,2020,3,2412210.57,319125.0569,KG,18,"Los Angeles, CA",TRUCK,2219358.53,75657.21,938261.0841,2020-03-28T00:00:00Z
TRD-000089,EXPORT,DEU,Germany,Europe & Central Asia,High income,8517,Telephone sets,XVI,2020,3,10707245.44,204491.1665,KG,18,"Los Angeles, CA",AIR,9825388.16,0,382800.0677,2020-03-28T00:00:00Z
TRD-000090,IMPORT,DEU,Germany,Europe & Central Asia,High income,8517,Telephone sets,XVI,2020,3,14675994.82,79693.5519,KG,04,"Chicago, IL",VESSEL,12659463.95,942389.37,73926.1178,2020-03-28T00:00:00Z
TRD-000091,EXPORT,KOR,South Korea,East Asia & Pacific,High income,8542,Electronic integrated circuits,XVI,2020,4,3860341.23,310725.6773,KG,18,"Los Angeles, CA",RAIL,3786025.51,0,339455.9288,2020-04-28T00:00:00Z
TRD-000092,IMPORT,KOR,South Korea,East Asia & Pacific,High income,8542,Electronic integrated circuits,XVI,2020,4,206426.39,320620.0003,KG,01,"New York, NY",VESSEL,181735.17,11588.69,609001.9461,2020-04-28T00:00:00Z
TRD-000093,EXPORT,KOR,South Korea,East Asia & Pacific,High income,2709,Crude petroleum,V,2020,4,23716566.14,182150.2918,KG,18,"Los Angeles, CA",TRUCK,22317227.0,0,854893.9077,2020-04-28T00:00:00Z
TRD-000094,IMPORT,KOR,South Korea,East Asia & Pacific,High income,2709,Crude petroleum,V,2020,4,1433737.32,173422.5024,KG,13,"Houston-Galveston, TX",AIR,1412783.37,42601.98,719644.4834,2020-04-28T00:00:00Z
TRD-000095,EXPORT,KOR,South Korea,East Asia & Pacific,High income,9401,Seats,XX,2020,4,26788486.01,260520.1967,KG,01,"New York, NY",VESSEL,26710444.08,0,334746.3442,2020-04-28T00:00:00Z
TRD-000096,IMPORT,KOR,South Korea,East Asia & Pacific,High income,9401,Seats,XX,2020,4,26814281.23,70238.5941,KG,04,"Chicago, IL",VESSEL,24743200.7,1389101.86,366927.7529,2020-04-28T00:00:00Z
TRD-000097,EXPORT,VNM,Vietnam,East Asia & Pacific,Lower middle income,3004,Medicaments,VI,2020,4,28780888.48,411042.0269,KG,18,"Los Angeles, CA",TRUCK,28501724.83,0,301396.3658,2020-04-28T00:00:00Z
TRD-000098,IMPORT,VNM,Vietnam,East Asia & Pacific,Lower middle income,3004,Medicaments,VI,2020,4,8924711.53,197865.5657,KG,13,"Houston-Galveston, TX",AIR,7885785.42,699651.95,979849.9079,2020-04-28T00:00:00Z
TRD-000099,EXPORT,VNM,Vietnam,East Asia & Pacific,Lower middle income,9401,Seats,XX,2020,4,442123.96,284843.7385,KG,01,"New York, NY",TRUCK,397260.41,0,581337.565,2020-04-28T00:00:00Z
TRD-000100,IMPORT,VNM,Vietnam,East Asia & Pacific,Lower middle income,9401,Seats,XX,2020,4,30431847.61,251692.3211,KG,13,"Houston-Galveston, TX",AIR,29714249.38,1476301.66,101815.3179,2020-04-28T00:00:00Z
TRD-000101,EXPORT,VNM,Vietnam,East Asia & Pacific,Lower middle income,7108,Gold,XIV,2020,4,32484955.44,3730.514,KG,01,"New York, NY",AIR,30990797.54,0,186021.4537,2020-04-28T00:00:00Z
TRD-000102,IMPORT,VNM,Vietnam,East Asia & Pacific,Lower middle income,7108,Gold,XIV,2020,4,561431.39,287570.3294,KG,04,"Chicago, IL",AIR,478072.81,52515.43,437964.92,2020-04-28T00:00:00Z
TRD-000103,EXPORT,CHN,China,East Asia & Pacific,Upper middle income,2709,Crude petroleum,V,2020,4,23501678.99,322632.2544,KG,01,"New York, NY",AIR,22082293.32,0,585904.229,2020-04-28T00:00:00Z
TRD-000104,IMPORT,CHN,China,East Asia & Pacific,Upper middle income,2709,Crude petroleum,V,2020,4,27618105.82,390043.3274,KG,18,"Los Angeles, CA",RAIL,23819162.47,351135.8,240818.6889,2020-04-28T00:00:00Z
TRD-000105,EXPORT,CHN,China,East Asia & Pacific,Upper middle income,8542,Electronic integrated circuits,XVI,2020,4,9019963.22,129797.8528,KG,04,"Chicago, IL",AIR,8431561.39,0,386851.2969,2020-04-28T00:00:00Z
TRD-000106,IMPORT,CHN,China,East Asia & Pacific,Upper middle income,8542,Electronic integrated circuits,XVI,2020,4,30365918.43,351797.1151,KG,13,"Houston-Galveston, TX",VESSEL,26299369.63,1861937.95,460844.8306,2020-04-28T00:00:00Z
TRD-000107,EXPORT,CHN,China,East Asia & Pacific,Upper middle income,9401,Seats,XX,2020,4,16247714.81,272794.9302,KG,13,"Houston-Galveston, TX",AIR,15699172.8,0,273313.013,2020-04-28T00:00:00Z
TRD-000108,IMPORT,CHN,China,East Asia & Pacific,Upper middle income,9401,Seats,XX,2020,4,39731446.28,48934.2081,KG,04,"Chicago, IL",RAIL,39069266.9,1650305.59,102216.3455,2020-04-28T00:00:00Z
TRD-000109,EXPORT,CAN,Canada,North America,High income,2709,Crude petroleum,V,2020,4,36190069.1,482901.9209,KG,04,"Chicago, IL",VESSEL,34455207.06,0,353977.5291,2020-04-28T00:00:00Z
TRD-000110,IMPORT,CAN,Canada,North America,High income,2709,Crude petroleum,V,2020,4,16433924.58,22682.1796,KG,04,"Chicago, IL",VESSEL,14044004.99,412073.72,999512.8801,2020-04-28T00:00:00Z
TRD-000111,EXPORT,CAN,Canada,North America,High income,8471,Automatic data processing machines,XVI,2020,4,30628553.45,158802.8835,KG,01,"New York, NY",TRUCK,26297567.24,0,251698.1892,2020-04-28T00:00:00Z
TRD-000112,IMPORT,CAN,Canada,North America,High income,8471,Automatic data processing machines,XVI,2020,4,16906817.43,86452.9014,KG,18,"Los Angeles, CA",VESSEL,16675909.21,185165.96,372953.5038,2020-04-28T00:00:00Z
TRD-000113,EXPORT,CAN,Canada,North America,High income,3004,Medicaments,VI,2020,4,36531064.21,416645.416,KG,04,"Chicago, IL",VESSEL,34754266.49,0,571358.8778,2020-04-28T00:00:00Z
TRD-000114,IMPORT,CAN,Canada,North America,High income,3004,Medicaments,VI,2020,4,42764783.29,83699.9688,KG,01,"New York, NY",TRUCK,37453506.5,1354578.54,732111.1451,2020-04-28T00:00:00Z
TRD-000115,EXPORT,GBR,United Kingdom,Europe & Central Asia,High income,7108,Gold,XIV,2020,4,2402375.44,199331.6117,KG,01,"New York, NY",VESSEL,2082133.43,0,412823.0653,2020-04-28T00:00:00Z
TRD-000116,IMPORT,GBR,United Kingdom,Europe & Central Asia,High income,7108,Gold,XIV,2020,4,27677880.13,100065.1605,KG,18,"Los Angeles, CA",VESSEL,26863318.76,1854489.36,504203.8608,2020-04-28T00:00:00Z
TRD-000117,EXPORT,GBR,United Kingdom,Europe & Central Asia,High income,8703,Motor cars,XVII,2020,4,29234889.93,117039.3359,KG,18,"Los Angeles, CA",VESSEL,28657630.87,0,865451.5848,2020-04-28T00:00:00Z
TRD-000118,IMPORT,GBR,United Kingdom,Europe & Central Asia,High income,8703,Motor cars,XVII,2020,4,9619128.75,326029.4081,KG,18,"Los Angeles, CA",RAIL,9330517.76,840697.11,537840.7045,2020-04-28T00:00:00Z
