state_code,state_name,fiscal_year,month_number,month_name,persons,households,benefits_dollars,program,county_fips
PA,PENNSYLVANIA,2023,5,MAY,1850891,925045,503456789.23,SNAP,
PA,PENNSYLVANIA,2023,6,JUNE,1859678,929389,510123456.34,SNAP,
PA,PENNSYLVANIA,2023,7,JULY,1868456,933756,516789123.45,SNAP,
PA,PENNSYLVANIA,2023,8,AUGUST,1877234,938123,523456789.56,SNAP,
PA,PENNSYLVANIA,2023,9,SEPTEMBER,1886012,942467,530123456.67,SNAP,
OH,OHIO,2022,10,OCTOBER,1456789,734567,356789123.45,SNAP,
OH,OHIO,2022,11,NOVEMBER,1463456,737891,361456789.56,SNAP,
OH,OHIO,2022,12,DECEMBER,1470123,741234,366123456.67,SNAP,
OH,OHIO,2023,1,JANUARY,1476789,744567,370789123.78,SNAP,
OH,OHIO,2023,2,FEBRUARY,1483456,747891,375456789.89,SNAP,
OH,OHIO,2023,3,MARCH,1490123,751234,380123456.91,SNAP,
OH,OHIO,2023,4,APRIL,1496789,754567,384789123.12,SNAP,
OH,OHIO,2023,5,MAY,1503456,757891,389456789.23,SNAP,
OH,OHIO,2023,6,JUNE,1510123,761234,394123456.34,SNAP,
OH,OHIO,2023,7,JULY,1516789,764567,398789123.45,SNAP,
OH,OHIO,2023,8,AUGUST,1523456,767891,403456789.56,SNAP,
OH,OHIO,2023,9,SEPTEMBER,1530123,771234,408123456.67,SNAP,
IL,ILLINOIS,2022,10,OCTOBER,1678945,845678,445678923.45,SNAP,
IL,ILLINOIS,2022,11,NOVEMBER,1686234,849123,451456789.56,SNAP,
IL,ILLINOIS,2022,12,DECEMBER,1693567,852567,457234567.67,SNAP,
IL,ILLINOIS,2023,1,JANUARY,1700891,856012,463012345.78,SNAP,
IL,ILLINOIS,2023,2,FEBRUARY,1708234,859456,468789123.89,SNAP,
IL,ILLINOIS,2023,3,MARCH,1715567,862891,474567891.91,SNAP,
IL,ILLINOIS,2023,4,APRIL,1722891,866345,480345679.12,SNAP,
IL,ILLINOIS,2023,5,MAY,1730234,869789,486123456.23,SNAP,
IL,ILLINOIS,2023,6,JUNE,1737567,873234,491891234.34,SNAP,
IL,ILLINOIS,2023,7,JULY,1744891,876678,497679123.45,SNAP,
IL,ILLINOIS,2023,8,AUGUST,1752234,880123,503456789.56,SNAP,
IL,ILLINOIS,2023,9,SEPTEMBER,1759567,883567,509234567.67,SNAP,
MI,MICHIGAN,2022,10,OCTOBER,1234567,634567,234567891.23,SNAP,
MI,MICHIGAN,2022,11,NOVEMBER,1240789,637234,238234567.34,SNAP,
MI,MICHIGAN,2022,12,DECEMBER,1247012,639891,241912345.45,SNAP,
MI,MICHIGAN,2023,1,JANUARY,1253234,642567,245567891.56,SNAP,
MI,MICHIGAN,2023,2,FEBRUARY,1259456,645234,249234567.67,SNAP,
MI,MICHIGAN,2023,3,MARCH,1265678,647891,252912345.78,SNAP,
MI,MICHIGAN,2023,4,APRIL,1271891,650567,256567891.89,SNAP,
MI,MICHIGAN,2023,5,MAY,1278123,653234,260234567.91,SNAP,
MI,MICHIGAN,2023,6,JUNE,1284345,655891,263912345.12,SNAP,
MI,MICHIGAN,2023,7,JULY,1290567,658567,267567891.23,SNAP,
MI,MICHIGAN,2023,8,AUGUST,1296789,661234,271234567.34,SNAP,
MI,MICHIGAN,2023,9,SEPTEMBER,1303012,663891,274912345.45,SNAP,
GA,GEORGIA,2022,10,OCTOBER,1567891,789456,389456789.12,SNAP,
GA,GEORGIA,2022,11,NOVEMBER,1576234,793123,395123456.23,SNAP,
GA,GEORGIA,2022,12,DECEMBER,1584567,796789,400789123.34,SNAP,
GA,GEORGIA,2023,1,JANUARY,1592891,800456,406456789.45,SNAP,
GA,GEORGIA,2023,2,FEBRUARY,1601234,804123,412123456.56,SNAP,
GA,GEORGIA,2023,3,MARCH,1609567,807789,417789123.67,SNAP,
GA,GEORGIA,2023,4,APRIL,1617891,811456,423456789.78,SNAP,
GA,GEORGIA,2023,5,MAY,1626234,815123,429123456.89,SNAP,
GA,GEORGIA,2023,6,JUNE,1634567,818789,434789123.91,SNAP,
GA,GEORGIA,2023,7,JULY,1642891,822456,440456789.12,SNAP,
GA,GEORGIA,2023,8,AUGUST,1651234,826123,446123456.23,SNAP,
GA,GEORGIA,2023,9,SEPTEMBER,1659567,829789,451789123.34,SNAP
