pwsid,pws_name,pws_type_code,primary_source_code,population_served_count,service_connections_count,state_code,county_name,county_fips,city_name,zip_code,latitude,longitude,violation_id,contaminant_code,contaminant_name,violation_type_code,violation_type_name,compliance_begin_date,compliance_end_date,violation_status,severity_ind,enforcement_id,enforcement_action_type,enforcement_date,load_time
NC3210720,COUNTY GREENVILLE,CWS,SWP,75000,32417,NC,JACKSON,128,GREENVILLE,37664,45.547201,-73.450062,V370539,1025,LEAD,MRDL,Maximum Residual Disinfectant Level,2023-04-23,2024-04-22,OPEN,FS,,,,2023-04-23 08:00:00
GA1569213,VILLAGE OF FRANKLIN,CWS,GW,75000,25431,GA,JACKSON,070,FRANKLIN,41663,39.644985,-71.252437,V651967,2456,TOTAL TRIHALOMETHANES (TTHM),MRDL,Maximum Residual Disinfectant Level,2023-06-14,2024-06-13,ADDRESSED,SNC,E635988,Consent Agreement,2023-08-05,2023-06-14 08:00:00
CA9256301,MWD MAPLEWOOD,CWS,GW,250,92,CA,WASHINGTON,129,MAPLEWOOD,96385,25.226043,-87.258336,V320108,1025,LEAD,MON,Monitoring,2023-06-27,2023-09-25,OPEN,NODEFICIENCY,,,,2023-06-27 08:00:00
TX3569959,COUNTY SPRINGFIELD,TNCWS,SW,500,188,TX,LINCOLN,077,SPRINGFIELD,79578,32.520445,-107.944838,V797124,3100,TOTAL COLIFORM,MCL,Maximum Contaminant Level,2023-07-07,2023-10-05,ADDRESSED,SNC,,,,2023-07-07 08:00:00
IL6045706,VILLAGE OF CENTERVILLE,TNCWS,GU,150000,47788,IL,LINCOLN,150,CENTERVILLE,99952,28.359832,-82.387448,V485444,3100,TOTAL COLIFORM,TT,Treatment Technique,2023-05-13,2023-08-11,OPEN,NODEFICIENCY,,,,2023-05-13 08:00:00
MI5578019,MWD OAKDALE,CWS,SW,500000,157391,MI,MADISON,102,OAKDALE,74709,45.479576,-118.856453,V792355,2456,TOTAL TRIHALOMETHANES (TTHM),MRDL,Maximum Residual Disinfectant Level,2023-02-26,2023-03-28,CLOSED,FS,,,,2023-02-26 08:00:00
GA5873530,TOWN OF LAKEWOOD,CWS,SW,250,85,GA,HAMILTON,110,LAKEWOOD,75159,32.136183,-82.997849,V960457,1025,LEAD,MCL,Maximum Contaminant Level,2023-03-04,2023-06-02,OPEN,VS,,,,2023-03-04 08:00:00
GA4842843,TOWN OF MADISON,CWS,SW,3500,1516,GA,UNION,199,MADISON,59030,29.473226,-103.541257,V164738,2050,TOTAL HALOACETIC ACIDS (HAA5),MCL,Maximum Contaminant Level,2023-05-03,2023-08-01,OPEN,SNC,E635515,Administrative Order,2023-08-23,2023-05-03 08:00:00
IL8899026,CITY OF CENTERVILLE,CWS,SWP,75000,23239,IL,WASHINGTON,173,CENTERVILLE,35371,25.686905,-115.876100,V392077,1005,ARSENIC,PN,Public Notification,2023-02-06,2023-04-07,OPEN,VS,E399253,Consent Agreement,2023-05-18,2023-02-06 08:00:00
PA5455294,VILLAGE OF FAIRVIEW,NTNCWS,GW,3500,1434,PA,FRANKLIN,157,FAIRVIEW,44720,31.274382,-116.488323,V176679,1040,NITRATE,PN,Public Notification,2023-02-28,2023-05-29,ADDRESSED,FS,,,,2023-02-28 08:00:00
GA2989499,MWD FRANKLIN,CWS,SWP,75000,27556,GA,UNION,189,FRANKLIN,54881,47.255834,-123.930467,V614549,2050,TOTAL HALOACETIC ACIDS (HAA5),MCL,Maximum Contaminant Level,2023-03-19,2023-04-18,OPEN,NODEFICIENCY,,,,2023-03-19 08:00:00
NC8154693,MWD CLINTON,CWS,GW,250,80,NC,HAMILTON,058,CLINTON,97362,45.781841,-109.178620,V646443,1005,ARSENIC,PN,Public Notification,2023-10-06,2024-01-04,CLOSED,SNC,,,,2023-10-06 08:00:00
PA3130419,MWD RIVERSIDE,CWS,SW,25000,8411,PA,MADISON,029,RIVERSIDE,88164,33.831244,-94.783363,V694147,3100,TOTAL COLIFORM,MCL,Maximum Contaminant Level,2023-11-27,2023-12-27,OPEN,VS,,,,2023-11-27 08:00:00
PA4456458,CITY OF FRANKLIN,TNCWS,SWP,25000,9068,PA,UNION,161,FRANKLIN,90103,27.270329,-89.199905,V880724,1025,LEAD,TT,Treatment Technique,2023-12-24,2024-03-23,ADDRESSED,NODEFICIENCY,,,,2023-12-24 08:00:00
TX4630402,COUNTY LAKEWOOD,NTNCWS,GU,500,197,TX,JACKSON,129,LAKEWOOD,77578,37.946274,-86.581558,V947415,1024,COPPER,RPT,Reporting,2023-12-17,2024-12-16,ADDRESSED,FS,E377862,,2024-04-14,2023-12-17 08:00:00
FL7817416,CITY OF CLINTON,TNCWS,SW,250,101,FL,JEFFERSON,015,CLINTON,16317,47.430896,-75.816070,V312226,2950,CHLORINE,RPT,Reporting,2023-11-18,2024-05-16,CLOSED,FS,,,,2023-11-18 08:00:00
NY6359602,COUNTY MAPLEWOOD,CWS,GU,25000,10528,NY,JACKSON,012,MAPLEWOOD,50746,36.148176,-123.621273,V683674,1025,LEAD,MRDL,Maximum Residual Disinfectant Level,2023-04-06,2023-10-03,ADDRESSED,FS,,,,2023-04-06 08:00:00
NC6661632,COUNTY CENTERVILLE,NTNCWS,SWP,150000,58826,NC,UNION,184,CENTERVILLE,96467,33.008807,-91.566833,V162629,3100,TOTAL COLIFORM,MON,Monitoring,2023-05-20,2023-08-18,OPEN,VS,,,,2023-05-20 08:00:00
CA2407332,COUNTY CENTERVILLE,CWS,GW,500000,220520,CA,JEFFERSON,142,CENTERVILLE,71594,36.481272,-71.397271,V116935,1040,NITRATE,TT,Treatment Technique,2023-09-13,2024-03-11,OPEN,FS,,,,2023-09-13 08:00:00
PA2343096,CITY OF FAIRVIEW,CWS,SW,250,101,PA,ADAMS,013,FAIRVIEW,28323,31.226248,-77.337308,V966217,1005,ARSENIC,RPT,Reporting,2023-11-15,2023-12-15,OPEN,SNC,E790311,Consent Agreement,2024-02-21,2023-11-15 08:00:00
OH4697129,CITY OF MAPLEWOOD,CWS,GU,1200,360,OH,UNION,113,MAPLEWOOD,83442,25.753610,-95.898597,V479824,2950,CHLORINE,RPT,Reporting,2023-04-20,2023-06-19,OPEN,FS,E814536,Administrative Order,2023-07-17,2023-04-20 08:00:00
NC9979510,COUNTY MADISON,CWS,GW,500,152,NC,UNION,106,MADISON,57211,37.354262,-77.312099,V981356,1040,NITRATE,TT,Treatment Technique,2023-04-19,2023-05-19,OPEN,FS,,,,2023-04-19 08:00:00
NC4531660,TOWN OF GREENVILLE,NTNCWS,GW,3500,1289,NC,JACKSON,070,GREENVILLE,40998,39.961749,-98.551003,V339910,1025,LEAD,MON,Monitoring,2023-09-13,2023-10-13,OPEN,SNC,,,,2023-09-13 08:00:00
FL5791954,MWD OAKDALE,NTNCWS,GU,1200,469,FL,HAMILTON,097,OAKDALE,58371,40.298900,-83.256227,V634240,3100,TOTAL COLIFORM,PN,Public Notification,2023-04-04,2024-04-03,CLOSED,FS,,,,2023-04-04 08:00:00
FL7442041,COUNTY FRANKLIN,TNCWS,GW,8500,3509,FL,LINCOLN,071,FRANKLIN,98462,45.993612,-105.280532,V840009,3100,TOTAL COLIFORM,TT,Treatment Technique,2023-06-23,2023-09-21,CLOSED,VS,E685056,,2023-12-03,2023-06-23 08:00:00
TX1017093,TOWN OF CLINTON,NTNCWS,GW,150000,47096,TX,LINCOLN,051,CLINTON,99986,40.682165,-106.367423,V313419,2950,CHLORINE,MCL,Maximum Contaminant Level,2023-10-07,2024-04-04,CLOSED,NODEFICIENCY,,,,2023-10-07 08:00:00
OH3346727,CITY OF LAKEWOOD,CWS,SWP,75000,24526,OH,MADISON,122,LAKEWOOD,64257,40.240076,-109.801305,V928890,2050,TOTAL HALOACETIC ACIDS (HAA5),MCL,Maximum Contaminant Level,2023-06-08,2023-07-08,OPEN,FS,,,,2023-06-08 08:00:00
NY5395846,COUNTY CENTERVILLE,TNCWS,SWP,8500,2763,NY,MONTGOMERY,185,CENTERVILLE,28975,27.273222,-95.702956,V768354,2950,CHLORINE,PN,Public Notification,2023-06-24,2023-07-24,OPEN,SNC,,,,2023-06-24 08:00:00
TX6127615,CITY OF MADISON,CWS,GW,500,154,TX,HAMILTON,051,MADISON,76426,32.626463,-105.256062,V992559,2950,CHLORINE,MCL,Maximum Contaminant Level,2023-11-28,2024-05-26,ADDRESSED,VS,E211908,Civil Judicial,2024-02-08,2023-11-28 08:00:00
CA9407437,TOWN OF CENTERVILLE,CWS,GU,500,170,CA,UNION,069,CENTERVILLE,53552,35.768357,-103.742892,V334658,1025,LEAD,TT,Treatment Technique,2023-12-06,2024-01-05,ADDRESSED,FS,E482879,Administrative Order,2024-03-26,2023-12-06 08:00:00
IL7462886,MWD OAKDALE,NTNCWS,SWP,3500,1571,IL,JEFFERSON,188,OAKDALE,58822,45.653427,-119.925017,V653423,2050,TOTAL HALOACETIC ACIDS (HAA5),MRDL,Maximum Residual Disinfectant Level,2023-06-01,2023-11-28,ADDRESSED,SNC,E118353,Administrative Order,2023-08-21,2023-06-01 08:00:00
IL8510728,CITY OF FRANKLIN,CWS,GU,8500,2747,IL,WASHINGTON,062,FRANKLIN,56267,42.672770,-106.915172,V242617,3100,TOTAL COLIFORM,PN,Public Notification,2023-12-21,2024-03-20,ADDRESSED,FS,,,,2023-12-21 08:00:00
NY5461475,VILLAGE OF BROOKSIDE,TNCWS,GW,75000,29395,NY,LINCOLN,156,BROOKSIDE,15814,46.772767,-103.966116,V694346,2456,TOTAL TRIHALOMETHANES (TTHM),RPT,Reporting,2023-09-09,2023-11-08,OPEN,NODEFICIENCY,,,,2023-09-09 08:00:00
TX5807597,TOWN OF FAIRVIEW,CWS,GW,1200,389,TX,UNION,126,FAIRVIEW,69703,29.129092,-71.667476,V910720,1040,NITRATE,MCL,Maximum Contaminant Level,2023-06-02,2023-11-29,CLOSED,SNC,,,,2023-06-02 08:00:00
FL5972193,CITY OF OAKDALE,CWS,GW,8500,2754,FL,JEFFERSON,042,OAKDALE,73165,35.680683,-85.668524,V288415,2456,TOTAL TRIHALOMETHANES (TTHM),PN,Public Notification,2023-06-05,2023-09-03,OPEN,NODEFICIENCY,,,,2023-06-05 08:00:00
NY8302088,CITY OF SPRINGFIELD,CWS,GW,150000,50511,NY,FRANKLIN,098,SPRINGFIELD,53920,38.298261,-121.306453,V418115,1025,LEAD,RPT,Reporting,2023-04-27,2024-04-26,OPEN,NODEFICIENCY,E823036,Consent Agreement,2023-07-21,2023-04-27 08:00:00
GA6627988,COUNTY SPRINGFIELD,CWS,SW,250,81,GA,LINCOLN,015,SPRINGFIELD,66182,30.600300,-100.396280,V466264,2950,CHLORINE,MCL,Maximum Contaminant Level,2023-02-13,2023-05-14,OPEN,FS,,,,2023-02-13 08:00:00
GA8004900,MWD BROOKSIDE,TNCWS,SW,250,77,GA,HAMILTON,059,BROOKSIDE,71261,25.934810,-103.161868,V274953,3014,E. COLI,MCL,Maximum Contaminant Level,2023-11-16,2024-05-14,OPEN,NODEFICIENCY,,,,2023-11-16 08:00:00
CA1264878,MWD LAKEWOOD,TNCWS,SWP,500000,222529,CA,LINCOLN,026,LAKEWOOD,15041,27.774531,-93.833444,V787252,1005,ARSENIC,TT,Treatment Technique,2023-03-15,2024-03-14,ADDRESSED,FS,E248230,Consent Agreement,2023-08-31,2023-03-15 08:00:00
CA1209558,TOWN OF LAKEWOOD,CWS,SW,1200,509,CA,MONTGOMERY,023,LAKEWOOD,64199,33.310140,-115.493239,V838280,1024,COPPER,TT,Treatment Technique,2023-04-17,2023-10-14,OPEN,SNC,,,,2023-04-17 08:00:00
PA7356608,COUNTY RIVERSIDE,CWS,SWP,8500,3042,PA,MONTGOMERY,090,RIVERSIDE,31647,42.168515,-71.990615,V355500,2050,TOTAL HALOACETIC ACIDS (HAA5),MCL,Maximum Contaminant Level,2023-09-16,2023-11-15,OPEN,NODEFICIENCY,,,,2023-09-16 08:00:00
GA9142389,COUNTY LAKEWOOD,TNCWS,GW,500000,167997,GA,JACKSON,104,LAKEWOOD,50935,35.938608,-104.617390,V732124,3014,E. COLI,PN,Public Notification,2023-10-16,2024-01-14,ADDRESSED,NODEFICIENCY,,,,2023-10-16 08:00:00
NY8354660,CITY OF SPRINGFIELD,NTNCWS,SWP,25000,10996,NY,MADISON,162,SPRINGFIELD,22181,34.666879,-109.612496,V892407,1024,COPPER,MON,Monitoring,2023-12-09,2024-02-07,ADDRESSED,NODEFICIENCY,E586208,Formal Notice,2024-04-13,2023-12-09 08:00:00
OH6811116,MWD SPRINGFIELD,NTNCWS,GU,250,105,OH,ADAMS,083,SPRINGFIELD,10517,44.414354,-109.832638,V336201,1024,COPPER,MON,Monitoring,2023-01-20,2023-04-20,OPEN,FS,,,,2023-01-20 08:00:00
PA3077915,CITY OF CLINTON,CWS,GW,250,79,PA,LINCOLN,162,CLINTON,74781,40.993916,-93.172327,V866370,1025,LEAD,RPT,Reporting,2023-07-06,2023-08-05,OPEN,FS,,,,2023-07-06 08:00:00
NC1320882,COUNTY LAKEWOOD,CWS,SW,500,172,NC,FRANKLIN,075,LAKEWOOD,27047,33.465736,-106.723464,V369054,2050,TOTAL HALOACETIC ACIDS (HAA5),MRDL,Maximum Residual Disinfectant Level,2023-03-25,2023-04-24,OPEN,SNC,E266956,Civil Judicial,2023-09-20,2023-03-25 08:00:00
NY3013407,COUNTY MADISON,CWS,GU,1200,378,NY,FRANKLIN,013,MADISON,10922,34.730052,-89.867114,V550319,1024,COPPER,MON,Monitoring,2023-04-04,2023-05-04,OPEN,NODEFICIENCY,,,,2023-04-04 08:00:00
IL8249372,CITY OF MAPLEWOOD,CWS,GW,250,103,IL,LINCOLN,148,MAPLEWOOD,85961,27.474991,-90.610694,V802258,1024,COPPER,PN,Public Notification,2023-09-18,2023-12-17,ADDRESSED,FS,,,,2023-09-18 08:00:00
IL6504940,COUNTY CLINTON,CWS,SW,500,204,IL,LINCOLN,150,CLINTON,22292,33.812266,-84.642226,V380941,1040,NITRATE,PN,Public Notification,2023-09-20,2023-12-19,OPEN,FS,,,,2023-09-20 08:00:00
MI5464128,MWD MADISON,NTNCWS,GW,500,159,MI,FRANKLIN,118,MADISON,14913,25.341503,-104.317454,V620216,1005,ARSENIC,TT,Treatment Technique,2023-10-16,2023-12-15,OPEN,SNC,E894443,Formal Notice,2024-03-15,2023-10-16 08:00:00
PA5147320,MWD GREENVILLE,TNCWS,GU,250,94,PA,JEFFERSON,006,GREENVILLE,49982,35.825568,-95.567952,V120544,3100,TOTAL COLIFORM,PN,Public Notification,2023-02-18,2023-08-17,CLOSED,FS,,,,2023-02-18 08:00:00
NY7856627,VILLAGE OF RIVERSIDE,NTNCWS,GW,3500,1205,NY,FRANKLIN,179,RIVERSIDE,83887,44.828802,-74.108988,V549780,1025,LEAD,TT,Treatment Technique,2023-04-01,2023-06-30,CLOSED,SNC,E190282,Formal Notice,2023-09-05,2023-04-01 08:00:00
TX9291691,MWD FRANKLIN,NTNCWS,SW,75000,25435,TX,JEFFERSON,024,FRANKLIN,15209,35.719979,-103.741334,V948296,3100,TOTAL COLIFORM,MON,Monitoring,2023-06-03,2024-06-02,CLOSED,SNC,,,,2023-06-03 08:00:00
PA4054419,MWD MAPLEWOOD,CWS,GU,500000,215965,PA,HAMILTON,077,MAPLEWOOD,29876,42.998098,-102.500821,V352209,1024,COPPER,PN,Public Notification,2023-10-25,2024-04-22,OPEN,FS,,,,2023-10-25 08:00:00
NC2745869,MWD LAKEWOOD,NTNCWS,SWP,25000,9343,NC,LINCOLN,016,LAKEWOOD,45837,45.336907,-119.701118,V117376,2456,TOTAL TRIHALOMETHANES (TTHM),RPT,Reporting,2023-05-26,2024-05-25,OPEN,FS,,,,2023-05-26 08:00:00
NY4329534,VILLAGE OF SPRINGFIELD,CWS,SWP,25000,7627,NY,ADAMS,011,SPRINGFIELD,53120,25.380854,-121.838434,V398996,2950,CHLORINE,MCL,Maximum Contaminant Level,2023-05-09,2024-05-08,CLOSED,FS,,,,2023-05-09 08:00:00
MI5702859,VILLAGE OF BROOKSIDE,CWS,SWP,75000,23844,MI,ADAMS,200,BROOKSIDE,37191,25.710966,-101.305774,V159187,1005,ARSENIC,MON,Monitoring,2023-01-02,2023-03-03,CLOSED,FS,,,,2023-01-02 08:00:00
MI6406021,COUNTY BROOKSIDE,CWS,GW,25000,7811,MI,MADISON,134,BROOKSIDE,18409,43.049985,-122.605485,V652701,2050,TOTAL HALOACETIC ACIDS (HAA5),MRDL,Maximum Residual Disinfectant Level,2023-08-15,2023-09-14,OPEN,VS,,,,2023-08-15 08:00:00
GA8351600,VILLAGE OF CENTERVILLE,NTNCWS,SW,25000,8928,GA,FRANKLIN,151,CENTERVILLE,59047,37.861166,-104.033753,V644736,3100,TOTAL COLIFORM,RPT,Reporting,2023-12-07,2024-01-06,OPEN,FS,,,,2023-12-07 08:00:00
TX3068827,TOWN OF LAKEWOOD,CWS,GW,500000,155088,TX,LINCOLN,186,LAKEWOOD,74243,25.202301,-79.025143,V426247,2050,TOTAL HALOACETIC ACIDS (HAA5),TT,Treatment Technique,2023-03-06,2024-03-05,OPEN,FS,,,,2023-03-06 08:00:00
MI5389120,VILLAGE OF BROOKSIDE,CWS,SWP,3500,1512,MI,JACKSON,021,BROOKSIDE,25954,42.728775,-81.425363,V885875,3014,E. COLI,PN,Public Notification,2023-04-19,2023-06-18,OPEN,VS,E978604,,2023-06-22,2023-04-19 08:00:00
CA1512761,COUNTY SPRINGFIELD,CWS,GU,500000,210147,CA,UNION,079,SPRINGFIELD,40216,35.219842,-89.549154,V199440,1040,NITRATE,PN,Public Notification,2023-12-22,2024-06-19,OPEN,SNC,,,,2023-12-22 08:00:00
OH6628461,TOWN OF BROOKSIDE,CWS,SWP,1200,525,OH,LINCOLN,057,BROOKSIDE,59663,41.176952,-98.328471,V776166,1040,NITRATE,MRDL,Maximum Residual Disinfectant Level,2023-05-28,2023-08-26,OPEN,FS,,,,2023-05-28 08:00:00
NC1683327,MWD MAPLEWOOD,CWS,SW,25000,8583,NC,MADISON,111,MAPLEWOOD,85665,27.756196,-72.406150,V179591,2950,CHLORINE,MRDL,Maximum Residual Disinfectant Level,2023-06-11,2023-07-11,OPEN,FS,,,,2023-06-11 08:00:00
TX4245902,TOWN OF CENTERVILLE,CWS,GU,75000,22611,TX,UNION,051,CENTERVILLE,63844,41.542689,-75.910303,V906973,3100,TOTAL COLIFORM,MRDL,Maximum Residual Disinfectant Level,2023-01-14,2023-03-15,OPEN,SNC,,,,2023-01-14 08:00:00
OH7482573,MWD GREENVILLE,CWS,GW,150000,51482,OH,LINCOLN,128,GREENVILLE,47455,25.657342,-115.376778,V629002,1025,LEAD,PN,Public Notification,2023-05-06,2024-05-05,ADDRESSED,NODEFICIENCY,E556458,Administrative Order,2023-06-14,2023-05-06 08:00:00
MI2143503,COUNTY MADISON,CWS,SW,500000,224930,MI,ADAMS,167,MADISON,97690,40.474125,-77.543742,V956927,1024,COPPER,RPT,Reporting,2023-07-27,2023-08-26,CLOSED,NODEFICIENCY,E630008,Consent Agreement,2023-12-21,2023-07-27 08:00:00
CA7096199,MWD FAIRVIEW,CWS,GU,1200,401,CA,ADAMS,040,FAIRVIEW,48702,26.953060,-115.468668,V629183,2950,CHLORINE,MCL,Maximum Contaminant Level,2023-12-09,2024-12-08,ADDRESSED,SNC,,,,2023-12-09 08:00:00
FL8559628,MWD MADISON,CWS,SW,1200,458,FL,MONTGOMERY,043,MADISON,88540,44.552174,-99.357409,V984355,3100,TOTAL COLIFORM,MON,Monitoring,2023-07-13,2023-09-11,CLOSED,VS,,,,2023-07-13 08:00:00
TX9784088,MWD MAPLEWOOD,NTNCWS,SW,500,177,TX,ADAMS,192,MAPLEWOOD,71429,25.809622,-88.172605,V590297,2950,CHLORINE,MCL,Maximum Contaminant Level,2023-05-06,2023-11-02,OPEN,NODEFICIENCY,,,,2023-05-06 08:00:00
PA4101699,CITY OF CENTERVILLE,NTNCWS,GW,150000,60760,PA,WASHINGTON,108,CENTERVILLE,80852,43.397796,-122.670159,V255881,2050,TOTAL HALOACETIC ACIDS (HAA5),RPT,Reporting,2023-06-10,2023-12-07,CLOSED,FS,,,,2023-06-10 08:00:00
NC3280836,MWD SPRINGFIELD,CWS,GW,25000,7748,NC,UNION,160,SPRINGFIELD,80137,44.623641,-122.394122,V982499,3100,TOTAL COLIFORM,MON,Monitoring,2023-10-05,2024-10-04,CLOSED,SNC,,,,2023-10-05 08:00:00
GA4193492,MWD CENTERVILLE,CWS,GW,3500,1054,GA,JEFFERSON,199,CENTERVILLE,74424,39.685015,-88.572324,V710090,2456,TOTAL TRIHALOMETHANES (TTHM),MCL,Maximum Contaminant Level,2023-08-13,2023-11-11,ADDRESSED,NODEFICIENCY,,,,2023-08-13 08:00:00
MI4482252,COUNTY SPRINGFIELD,CWS,GW,500000,224693,MI,HAMILTON,057,SPRINGFIELD,33367,33.961226,-98.832592,V151223,1024,COPPER,MRDL,Maximum Residual Disinfectant Level,2023-04-13,2024-04-12,CLOSED,FS,,,,2023-04-13 08:00:00
GA1065872,VILLAGE OF CENTERVILLE,CWS,SWP,8500,3300,GA,FRANKLIN,157,CENTERVILLE,74350,36.356849,-120.484534,V102116,2950,CHLORINE,TT,Treatment Technique,2023-04-04,2024-04-03,ADDRESSED,NODEFICIENCY,,,,2023-04-04 08:00:00
FL8817213,MWD FRANKLIN,TNCWS,GU,150000,50532,FL,WASHINGTON,176,FRANKLIN,40995,41.187493,-122.444712,V566813,1005,ARSENIC,RPT,Reporting,2023-01-27,2024-01-27,ADDRESSED,FS,,,,2023-01-27 08:00:00
NC3534673,VILLAGE OF CLINTON,CWS,SW,25000,9313,NC,HAMILTON,051,CLINTON,54780,37.769287,-87.432522,V801161,1024,COPPER,RPT,Reporting,2023-03-22,2023-05-21,OPEN,NODEFICIENCY,,,,2023-03-22 08:00:00
CA9720475,CITY OF FAIRVIEW,CWS,SWP,8500,2614,CA,HAMILTON,184,FAIRVIEW,46849,47.500873,-72.069446,V167687,2050,TOTAL HALOACETIC ACIDS (HAA5),MCL,Maximum Contaminant Level,2023-01-20,2024-01-20,CLOSED,NODEFICIENCY,,,,2023-01-20 08:00:00
OH7516609,CITY OF SPRINGFIELD,TNCWS,GW,8500,2727,OH,MONTGOMERY,029,SPRINGFIELD,96757,25.397000,-113.803670,V863107,3014,E. COLI,PN,Public Notification,2023-03-26,2023-06-24,ADDRESSED,VS,,,,2023-03-26 08:00:00
MI2959015,TOWN OF RIVERSIDE,TNCWS,SW,75000,29630,MI,LINCOLN,196,RIVERSIDE,12883,46.335268,-120.512678,V391010,3014,E. COLI,TT,Treatment Technique,2023-03-23,2024-03-22,OPEN,NODEFICIENCY,E920775,Civil Judicial,2023-05-15,2023-03-23 08:00:00
NC6158711,MWD OAKDALE,CWS,GU,500000,188566,NC,MONTGOMERY,036,OAKDALE,51047,42.879368,-115.991322,V397964,1040,NITRATE,PN,Public Notification,2023-11-25,2024-01-24,CLOSED,VS,,,,2023-11-25 08:00:00
NY2789822,TOWN OF LAKEWOOD,CWS,SWP,75000,31924,NY,JACKSON,148,LAKEWOOD,61663,33.571259,-89.799981,V711508,1024,COPPER,TT,Treatment Technique,2023-12-26,2024-12-25,OPEN,NODEFICIENCY,E647611,Consent Agreement,2024-02-24,2023-12-26 08:00:00
CA7330955,COUNTY LAKEWOOD,NTNCWS,GW,250,96,CA,LINCOLN,082,LAKEWOOD,74809,37.755786,-105.062316,V293057,2456,TOTAL TRIHALOMETHANES (TTHM),TT,Treatment Technique,2023-03-04,2024-03-03,OPEN,FS,,,,2023-03-04 08:00:00
MI7350404,TOWN OF MAPLEWOOD,NTNCWS,GW,3500,1261,MI,ADAMS,155,MAPLEWOOD,17391,29.201174,-110.035520,V432433,2456,TOTAL TRIHALOMETHANES (TTHM),PN,Public Notification,2023-04-11,2023-05-11,CLOSED,SNC,,,,2023-04-11 08:00:00
PA7210265,CITY OF BROOKSIDE,TNCWS,SWP,8500,3605,PA,ADAMS,063,BROOKSIDE,24345,43.122989,-123.159197,V762753,2456,TOTAL TRIHALOMETHANES (TTHM),RPT,Reporting,2023-12-22,2024-03-21,OPEN,FS,E188804,Formal Notice,2024-01-27,2023-12-22 08:00:00
NC6404371,VILLAGE OF FAIRVIEW,CWS,GW,150000,61723,NC,WASHINGTON,070,FAIRVIEW,79062,47.840777,-85.702709,V150487,2456,TOTAL TRIHALOMETHANES (TTHM),MRDL,Maximum Residual Disinfectant Level,2023-03-27,2023-05-26,ADDRESSED,VS,E961254,Administrative Order,2023-05-03,2023-03-27 08:00:00
