trifid,facility_name,street_address,city,state,zip_code,county_fips,county_name,latitude,longitude,primary_naics,industry_sector,number_of_employees,parent_company,federal_facility,reporting_year,chemical_id,chemical_name,cas_number,chemical_classification,carcinogen,pfas_chemical,metal_category,fugitive_air,stack_air,water_discharge,underground_injection,land_disposal,offsite_transfer,total_releases,onsite_recycled,onsite_energy_recovery,onsite_treated,source_reduction_activity,production_ratio,load_time
28758WZEZE,NATIONAL MANUFACTURING,9947 FACTORY AVE,FLINT,IL,60519,00196,JEFFERSON,39.222304,-81.998714,212231,Hazardous Waste,1000,DIVERSIFIED INC,False,2020,CH956948,CHROMIUM,7440-47-3,METAL,True,False,Chromium,2464.43,10873.72,1617.98,0,0,1807.7,16763.83,4931.75,1022.48,1772.16,,1.2383,2020-07-01 08:00:00
77030GUFYY,ATLANTIC CHEMICAL CO,8098 PLANT BLVD,CHICAGO,TX,36283,00026,LOS ANGELES,27.496867,-72.424688,322121,Mining,5000,,False,2023,CH395950,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,1373.45,18186.26,1720.0,0,396.16,6825.56,28501.43,7357.6,3276.3,7779.58,W51,1.1838,2023-07-01 08:00:00
71763GKDSF,UNITED CHEMICAL CO,3339 INDUSTRIAL AVE,CLEVELAND,CA,92985,00139,WILL,47.760760,-119.579376,331110,Hazardous Waste,250,,False,2020,CH837847,PFOS,1763-23-1,ORGANIC,False,True,Non-Metal,2922.09,20412.5,1889.89,0,605.27,757.48,26587.23,3728.8,1535.09,2055.3,W51,0.7891,2020-07-01 08:00:00
10863TQHTG,EASTERN METALS INC,8784 COMMERCE RD,HOUSTON,IL,81584,00140,EAST BATON ROUGE,47.797513,-79.894142,325110,Plastics,250,US CONGLOMERATE,False,2020,CH147010,ARSENIC,7440-38-2,METAL,True,False,Arsenic,2647.53,17698.5,1948.58,0,0,6853.86,29148.47,1600.07,3285.69,6125.31,,1.247,2020-07-01 08:00:00
94590CERDI,GLOBAL CHEMICAL CO,6902 COMMERCE BLVD,CLEVELAND,IL,74539,00111,GENESEE,25.736152,-97.218836,325110,Food,5000,MEGA CORP,True,2020,CH183804,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,4602.58,21736.55,1052.48,0,0,152.19,27543.8,6288.95,3053.34,7058.37,W13,0.7071,2020-07-01 08:00:00
41972TWRPU,GLOBAL MANUFACTURING,8918 INDUSTRIAL RD,GARY,NY,44793,00186,WILL,32.988531,-116.467812,324110,Transportation Equipment,2500,GLOBAL INDUSTRIES,False,2023,CH586364,CHROMIUM,7440-47-3,METAL,True,False,Chromium,264.66,20610.87,768.04,0,0,2378.8,24022.37,9054.99,1028.6,2.48,W12,0.7082,2023-07-01 08:00:00
85608PBJCP,ACME METALS INC,6384 PLANT RD,DETROIT,GA,86484,00019,WAYNE,45.034629,-86.568248,331110,Plastics,500,,False,2022,CH661493,CHROMIUM,7440-47-3,METAL,True,False,Chromium,616.31,24230.46,1087.12,0,0,2601.53,28535.42,4609.24,2696.34,813.03,W12,1.3216,2022-07-01 08:00:00
55265BKDGU,ATLANTIC INDUSTRIES,8004 PLANT AVE,CLEVELAND,IL,10567,00186,WILL,33.868168,-85.253559,212231,Electric Utilities,2500,MEGA CORP,False,2023,CH670593,SELENIUM,7782-49-2,METAL,False,False,Selenium,3275.65,1579.27,1180.06,0,0,2336.24,8371.22,1926.5,1294.92,1326.47,W59,1.2566,2023-07-01 08:00:00
68970PWVUB,UNITED PLASTICS INC,2355 MILL DR,DETROIT,CA,92658,00065,WAYNE,44.914029,-101.766177,336111,Primary Metals,250,GLOBAL INDUSTRIES,False,2020,CH451842,CHROMIUM,7440-47-3,METAL,True,False,Chromium,939.95,18948.94,464.48,825.97,1678.62,7438.59,30296.55,5022.14,3073.27,4043.69,W41,1.2949,2020-07-01 08:00:00
57482DTPYS,UNITED MANUFACTURING,2486 PLANT BLVD,NEWARK,GA,70785,00139,CUYAHOGA,39.877634,-82.666751,336111,Food,50,,False,2022,CH278740,SELENIUM,7782-49-2,METAL,False,False,Selenium,100.29,23439.06,1057.72,0,0,3077.45,27674.52,10186.83,5009.38,366.87,,1.2021,2022-07-01 08:00:00
15279BPWWG,SOUTHERN PAPER MILL,8648 FACTORY BLVD,BEAUMONT,GA,28818,00087,CUYAHOGA,25.915626,-107.219986,212231,Electric Utilities,500,GLOBAL INDUSTRIES,False,2023,CH539593,METHANOL,67-56-1,ORGANIC,False,False,Non-Metal,2295.71,19023.83,922.0,0,0,2735.01,24976.55,3193.47,4607.25,651.31,W19,1.1634,2023-07-01 08:00:00
50585EIRBZ,EASTERN MANUFACTURING,1668 INDUSTRIAL RD,CLEVELAND,NC,87188,00159,LAKE,41.040847,-92.573187,336111,Electric Utilities,50,,False,2020,CH289468,METHANOL,67-56-1,ORGANIC,False,False,Non-Metal,1249.61,9572.2,572.09,169.52,0,8040.66,19604.08,5724.21,1504.56,1511.95,,1.4987,2020-07-01 08:00:00
78020GBXOP,NATIONAL FOUNDRY,7267 COMMERCE AVE,JOLIET,IL,20679,00066,LOS ANGELES,46.429999,-77.232443,221112,Hazardous Waste,250,,False,2023,CH368420,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,1382.34,21147.16,611.44,981.51,0,7658.12,31780.57,6863.26,4293.62,1864.68,,1.3348,2023-07-01 08:00:00
33768VAUMI,GLOBAL PLASTICS INC,5104 FACTORY BLVD,CHICAGO,OH,30974,00165,EAST BATON ROUGE,32.818549,-77.636592,322121,Food,500,US CONGLOMERATE,False,2022,CH666314,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,1899.35,15712.19,1011.95,782.43,0,75.03,19480.95,1849.31,1902.1,5101.74,,0.6451,2022-07-01 08:00:00
90417WDAFX,PACIFIC FOUNDRY,7011 FACTORY ST,HOUSTON,CA,16608,00083,HARRIS,28.273485,-72.240650,311611,Primary Metals,5000,DIVERSIFIED INC,False,2023,CH942812,PFOS,1763-23-1,ORGANIC,False,True,Non-Metal,4533.3,9754.34,1048.26,0,2765.8,3182.09,21283.79,1154.42,1853.94,6276.33,W14,1.1617,2023-07-01 08:00:00
55248CKKRB,PACIFIC REFINERY,5811 INDUSTRIAL DR,BEAUMONT,CA,60918,00115,WAYNE,33.596709,-87.768738,326199,Food,50,,False,2020,CH209054,CHROMIUM,7440-47-3,METAL,True,False,Chromium,1307.0,7009.54,620.92,0,167.53,9482.2,18587.19,2171.35,3314.73,5460.41,,1.3757,2020-07-01 08:00:00
99715MITZO,ATLANTIC FOUNDRY,7347 COMMERCE AVE,CHICAGO,PA,45270,00104,LAKE,25.139535,-113.737071,212231,Hazardous Waste,250,,True,2023,CH796998,LEAD,7439-92-1,METAL,False,False,Lead,2211.97,14684.02,864.59,868.49,2371.92,9381.26,30382.25,378.11,198.88,3534.36,W52,1.226,2023-07-01 08:00:00
79187BUDOX,PACIFIC PLASTICS INC,4438 INDUSTRIAL BLVD,LOS ANGELES,FL,46140,00143,LAKE,38.905208,-123.726416,324110,Hazardous Waste,500,GLOBAL INDUSTRIES,False,2020,CH463159,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,2792.08,22106.06,165.72,0,0,7344.13,32407.99,11403.35,3533.76,7874.63,W13,1.3866,2020-07-01 08:00:00
56243GUAZZ,GLOBAL PLASTICS INC,5193 MILL DR,NEWARK,CA,89949,00125,EAST BATON ROUGE,28.759685,-112.414845,212231,Petroleum,500,MEGA CORP,False,2021,CH137381,CHROMIUM,7440-47-3,METAL,True,False,Chromium,2911.41,15660.81,394.21,0,0,6093.41,25059.84,8928.61,2551.92,1925.72,,0.8103,2021-07-01 08:00:00
33760DSHMI,ACME PAPER MILL,6922 INDUSTRIAL DR,CHICAGO,CA,69774,00135,WILL,39.365643,-99.729206,311611,Plastics,500,DIVERSIFIED INC,False,2020,CH181232,METHANOL,67-56-1,ORGANIC,False,False,Non-Metal,2526.32,8859.69,531.14,0,332.11,3709.73,15958.99,2359.59,832.48,2434.98,W41,1.1418,2020-07-01 08:00:00
35414EEUNG,ATLANTIC FOUNDRY,1897 INDUSTRIAL AVE,PHILADELPHIA,PA,76466,00031,WILL,32.425731,-107.304515,326199,Primary Metals,250,MEGA CORP,True,2022,CH179743,ARSENIC,7440-38-2,METAL,True,False,Arsenic,3039.86,387.62,1427.23,0,0,6652.14,11506.85,992.24,1084.47,980.1,W12,0.7846,2022-07-01 08:00:00
30989LVSON,ACME MANUFACTURING,1640 COMMERCE DR,NEWARK,NC,11557,00026,COOK,26.378469,-105.292034,325110,Chemicals,100,,False,2020,CH305621,ARSENIC,7440-38-2,METAL,True,False,Arsenic,2597.01,24407.03,465.21,0,0,4823.86,32293.11,2296.38,860.52,9181.76,W59,1.4688,2020-07-01 08:00:00
36032XEVEL,NATIONAL METALS INC,3359 FACTORY DR,CLEVELAND,OH,12723,00098,EAST BATON ROUGE,27.296643,-101.959168,311611,Petroleum,1000,MEGA CORP,False,2023,CH182869,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,4681.83,21320.54,1925.09,0,0,3123.82,31051.28,12019.53,2899.11,7877.16,W51,1.2055,2023-07-01 08:00:00
20223NNUHB,NATIONAL INDUSTRIES,1952 COMMERCE AVE,FLINT,CA,64844,00124,WAYNE,40.499545,-74.081949,336111,Mining,2500,GLOBAL INDUSTRIES,False,2021,CH464273,ARSENIC,7440-38-2,METAL,True,False,Arsenic,4348.71,11133.59,990.16,0,1256.81,5550.37,23279.64,5312.44,1524.89,4924.04,,1.2806,2021-07-01 08:00:00
25035EVNDI,GLOBAL ELECTRIC POWER,7604 INDUSTRIAL ST,PHILADELPHIA,CA,43306,00090,JEFFERSON,25.038614,-93.769258,322121,Mining,2500,US CONGLOMERATE,False,2023,CH923366,PFOS,1763-23-1,ORGANIC,False,True,Non-Metal,545.75,8623.6,803.45,199.05,0,3634.77,13806.62,1213.04,1965.62,4040.88,W51,1.2944,2023-07-01 08:00:00
40792TSDMN,UNITED ELECTRIC POWER,5186 FACTORY BLVD,CHICAGO,TX,73355,00040,LOS ANGELES,42.544252,-94.177444,325110,Electric Utilities,100,,False,2023,CH724491,PFOS,1763-23-1,ORGANIC,False,True,Non-Metal,377.01,18736.23,1528.39,0,2341.09,7705.11,30687.83,4997.49,608.06,4327.3,W14,1.4703,2023-07-01 08:00:00
20824DSGHP,AMERICAN METALS INC,5503 MILL RD,HOUSTON,IL,92080,00082,WAYNE,25.839928,-71.193281,212231,Hazardous Waste,50,,False,2023,CH544523,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,2074.15,23372.92,1560.84,773.78,0,4401.02,32182.71,9423.22,5623.6,5815.34,,1.2589,2023-07-01 08:00:00
72844ABPWA,PACIFIC PAPER MILL,9099 MILL DR,GARY,CA,27235,00082,EAST BATON ROUGE,40.231105,-105.133588,221112,Transportation Equipment,2500,GLOBAL INDUSTRIES,False,2020,CH407986,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,3348.28,23011.84,1807.0,228.56,971.93,3757.85,33125.46,11862.89,3517.34,161.83,W13,1.2707,2020-07-01 08:00:00
46463NRJTQ,NATIONAL INDUSTRIES,7417 FACTORY AVE,FLINT,NY,41324,00024,JEFFERSON,32.583086,-107.272538,562211,Mining,5000,,False,2022,CH332720,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,1179.29,12774.69,846.0,0,2864.79,7160.98,24825.75,9752.12,1583.96,4790.21,W14,1.348,2022-07-01 08:00:00
65932HABOX,UNITED PAPER MILL,2395 PLANT DR,LOS ANGELES,GA,63642,00179,EAST BATON ROUGE,26.938089,-74.512560,325110,Plastics,1000,,False,2020,CH175579,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,3161.05,14542.61,1919.85,61.87,0,6355.83,26041.21,3585.2,2796.46,411.61,W19,1.1569,2020-07-01 08:00:00
29901QXNOR,ATLANTIC INDUSTRIES,465 PLANT BLVD,CHICAGO,NC,38014,00189,HARRIS,42.825198,-77.173399,311611,Primary Metals,100,,False,2020,CH675221,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,4317.25,21846.22,1606.5,0,1627.41,704.31,30101.69,4315.2,4773.53,539.04,W14,1.4583,2020-07-01 08:00:00
60034IFMMA,GLOBAL PLASTICS INC,4439 MILL ST,NEWARK,NC,10333,00064,LAKE,42.280341,-111.077961,562211,Petroleum,100,,False,2020,CH893696,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,1291.82,20507.71,677.24,0,0,4436.87,26913.64,7639.37,3753.53,3417.97,W59,1.1543,2020-07-01 08:00:00
53142MMWVE,NATIONAL ELECTRIC POWER,2308 FACTORY RD,BATON ROUGE,GA,67413,00004,COOK,33.471208,-75.620745,324110,Primary Metals,50,,False,2021,CH764665,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,102.36,8274.07,146.33,953.34,1004.06,8140.94,18621.1,2462.36,941.97,317.79,W51,1.1084,2021-07-01 08:00:00
76418OVXWQ,EASTERN METALS INC,3927 INDUSTRIAL ST,CHICAGO,CA,76298,00121,LOS ANGELES,41.600941,-74.571087,221112,Chemicals,1000,MEGA CORP,False,2021,CH987430,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,4732.33,212.87,1546.02,206.67,0,8438.51,15136.4,4909.52,1089.74,1722.47,W41,0.9406,2021-07-01 08:00:00
61565FFIRA,SOUTHERN PLASTICS INC,7639 PLANT ST,GARY,CA,17677,00176,WILL,41.757637,-105.312250,331110,Chemicals,2500,,False,2021,CH144670,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,3340.65,5536.38,948.12,0,0,8447.27,18272.42,6103.58,3195.76,2404.44,W14,0.9492,2021-07-01 08:00:00
39070IXOTA,EASTERN REFINERY,804 FACTORY DR,JOLIET,CA,60918,00174,EAST BATON ROUGE,34.780289,-118.147604,324110,Food,50,GLOBAL INDUSTRIES,False,2020,CH509114,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,3175.55,17370.53,1595.05,0,0,9183.76,31324.89,8302.13,4406.71,740.63,,0.8875,2020-07-01 08:00:00
33348IAJST,ACME FOUNDRY,6100 COMMERCE DR,FLINT,IL,20552,00196,HARRIS,31.156537,-84.496060,331110,Petroleum,5000,DIVERSIFIED INC,False,2021,CH871513,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,3622.26,21603.4,1637.0,0,1015.02,6031.92,33909.6,2979.46,6335.29,9935.01,W12,1.1839,2021-07-01 08:00:00
54462ONDXH,EASTERN PLASTICS INC,123 FACTORY BLVD,NEWARK,MI,49746,00037,JEFFERSON,47.353942,-120.821534,562211,Electric Utilities,1000,,False,2022,CH444205,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,2813.5,18083.64,1464.74,0,0,9225.18,31587.06,2834.22,4376.27,3872.8,W12,0.9157,2022-07-01 08:00:00
38491DBFCP,GLOBAL ELECTRIC POWER,7952 FACTORY BLVD,HOUSTON,NY,65586,00010,LAKE,25.552086,-79.966705,311611,Transportation Equipment,100,,False,2022,CH202084,ARSENIC,7440-38-2,METAL,True,False,Arsenic,3985.3,24685.55,795.28,0,0,2367.19,31833.32,6258.62,5842.44,5345.2,,1.1613,2022-07-01 08:00:00
20491BLHOK,AMERICAN MANUFACTURING,9769 MILL AVE,NEWARK,PA,30359,00009,WAYNE,30.691864,-90.959011,212231,Plastics,2500,GLOBAL INDUSTRIES,False,2021,CH894380,LEAD,7439-92-1,METAL,False,False,Lead,1976.53,14458.3,1104.84,0,0,5099.72,22639.39,8878.84,4197.75,1164.96,,1.1547,2021-07-01 08:00:00
55690KDJNU,NATIONAL METALS INC,1117 INDUSTRIAL ST,PHILADELPHIA,NC,44253,00131,COOK,31.159504,-73.045274,325110,Plastics,1000,GLOBAL INDUSTRIES,False,2022,CH514335,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,1453.91,5564.25,924.03,220.11,0,6874.01,15036.31,2954.44,2086.58,1254.26,W12,1.3694,2022-07-01 08:00:00
56296MBKMO,UNITED MANUFACTURING,2486 FACTORY RD,LOS ANGELES,NY,38456,00165,LOS ANGELES,40.347190,-81.244802,331110,Paper,500,MEGA CORP,False,2020,CH135055,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,4348.84,19481.16,1685.77,0,0,2358.13,27873.9,2614.95,760.89,806.8,W59,1.0674,2020-07-01 08:00:00
65358QENNQ,GLOBAL METALS INC,5144 PLANT BLVD,HOUSTON,NY,49517,00050,CUYAHOGA,31.499116,-101.727944,221112,Electric Utilities,50,,False,2020,CH300904,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,2767.69,7329.94,1404.83,0,0,7254.65,18757.11,539.46,1035.7,876.02,W52,1.4343,2020-07-01 08:00:00
50051YHZSY,PACIFIC PROCESSING,422 PLANT AVE,FLINT,MI,83546,00200,GENESEE,36.846329,-97.995137,331110,Petroleum,100,DIVERSIFIED INC,False,2021,CH740068,SELENIUM,7782-49-2,METAL,False,False,Selenium,2194.48,667.93,1126.77,0,656.85,8759.45,13405.48,3087.7,130.73,3378.48,,1.0835,2021-07-01 08:00:00
67833ZITAW,SOUTHERN CHEMICAL CO,5412 PLANT DR,JOLIET,PA,30197,00029,COOK,28.212884,-95.717646,326199,Transportation Equipment,5000,US CONGLOMERATE,False,2021,CH715257,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,3590.77,3794.69,975.86,0,0,3105.68,11467.0,1152.5,426.4,3382.06,W19,0.5242,2021-07-01 08:00:00
63537AEGQD,UNITED ELECTRIC POWER,7549 PLANT BLVD,BATON ROUGE,CA,50095,00100,JEFFERSON,47.415352,-96.615283,221112,Transportation Equipment,500,US CONGLOMERATE,False,2021,CH870761,ARSENIC,7440-38-2,METAL,True,False,Arsenic,2976.8,5316.94,763.06,0,2333.69,8057.96,19448.45,1444.83,3672.41,282.66,W41,0.772,2021-07-01 08:00:00
54317VODZK,ACME FOUNDRY,141 COMMERCE RD,BATON ROUGE,GA,21398,00069,JEFFERSON,38.016686,-97.567122,322121,Primary Metals,1000,,False,2021,CH637362,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,3723.15,11744.24,578.08,0,2667.18,2563.06,21275.71,4340.51,4115.73,4650.85,W19,0.8883,2021-07-01 08:00:00
25911LCCPX,SOUTHERN ELECTRIC POWER,1640 PLANT DR,BEAUMONT,NC,77993,00130,LOS ANGELES,27.559041,-119.342834,325110,Petroleum,1000,DIVERSIFIED INC,False,2022,CH871444,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,2036.35,23372.62,1861.13,0,0,3916.44,31186.54,11492.89,3780.91,78.28,,1.2281,2022-07-01 08:00:00
14590DEHWN,ACME FOUNDRY,8345 COMMERCE BLVD,CHICAGO,FL,22371,00185,WAYNE,25.588724,-77.650422,212231,Plastics,250,,False,2020,CH604856,LEAD,7439-92-1,METAL,False,False,Lead,4447.34,1447.69,1295.36,0,0,9629.46,16819.85,3903.69,2885.48,4536.73,W14,1.4105,2020-07-01 08:00:00
74425MLODT,MIDWEST REFINERY,9705 COMMERCE DR,HOUSTON,PA,21352,00185,WAYNE,41.513338,-121.609000,336111,Chemicals,5000,,False,2023,CH543023,ARSENIC,7440-38-2,METAL,True,False,Arsenic,3023.9,16748.92,276.17,0,0,6965.44,27014.43,2626.71,2266.05,5557.96,W14,0.7212,2023-07-01 08:00:00
34162ILRUA,SOUTHERN METALS INC,974 PLANT DR,DETROIT,CA,88794,00019,GENESEE,29.592627,-81.577402,212231,Food,250,MEGA CORP,False,2022,CH593472,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,1179.22,4647.91,1188.62,0,0,4742.32,11758.07,2455.54,397.83,1040.38,W14,0.5991,2022-07-01 08:00:00
79205OGEWK,EASTERN METALS INC,8934 PLANT RD,BEAUMONT,PA,59742,00109,EAST BATON ROUGE,29.646601,-121.525240,562211,Food,100,,False,2021,CH468398,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,1065.45,1026.59,1901.2,0,0,4741.5,8734.74,1444.09,1205.82,1014.07,,0.9629,2021-07-01 08:00:00
43080RPDBA,UNITED ELECTRIC POWER,9826 FACTORY RD,CLEVELAND,FL,79373,00054,LOS ANGELES,35.066296,-75.072046,324110,Primary Metals,100,DIVERSIFIED INC,False,2020,CH252892,ARSENIC,7440-38-2,METAL,True,False,Arsenic,2855.01,3882.19,532.88,0,1221.08,45.34,8536.5,2774.95,957.57,2349.18,,0.6096,2020-07-01 08:00:00
26738KKMHH,UNITED PROCESSING,2634 PLANT RD,JOLIET,NC,12316,00186,LOS ANGELES,45.718111,-101.602620,311611,Chemicals,2500,US CONGLOMERATE,False,2020,CH459243,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,432.66,5131.08,720.28,120.06,0,627.64,7031.72,1192.99,1132.15,1587.27,W51,1.3488,2020-07-01 08:00:00
23371JWCYE,ATLANTIC MANUFACTURING,3820 COMMERCE BLVD,BEAUMONT,PA,12138,00122,COOK,35.016892,-102.188177,331110,Electric Utilities,250,,False,2022,CH777935,SELENIUM,7782-49-2,METAL,False,False,Selenium,2028.85,24723.19,350.63,0,2603.71,5847.34,35553.72,7976.02,4074.82,9462.59,W52,1.3659,2022-07-01 08:00:00
71097ETRQX,EASTERN ELECTRIC POWER,5874 MILL RD,LOS ANGELES,GA,72946,00052,COOK,32.506400,-96.254728,326199,Petroleum,2500,,False,2023,CH326918,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,1557.64,9967.13,1526.31,0,2579.05,4932.84,20562.97,6931.42,3723.89,3298.04,,1.3647,2023-07-01 08:00:00
20800AHATZ,ATLANTIC CHEMICAL CO,8797 PLANT RD,CLEVELAND,OH,90535,00052,GENESEE,30.935902,-118.726336,212231,Chemicals,1000,,False,2021,CH396628,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,2932.77,338.41,249.88,0,2988.73,2844.82,9354.61,945.02,110.66,547.17,W13,1.4338,2021-07-01 08:00:00
79178NCDWI,GLOBAL REFINERY,8990 PLANT DR,BEAUMONT,MI,30157,00081,COOK,28.809819,-107.205218,221112,Transportation Equipment,250,DIVERSIFIED INC,False,2022,CH679454,ARSENIC,7440-38-2,METAL,True,False,Arsenic,2504.14,8592.23,522.06,0,2752.29,2382.99,16753.71,784.41,870.3,1832.95,W51,0.5661,2022-07-01 08:00:00
36540VOSTH,NATIONAL CHEMICAL CO,1796 COMMERCE AVE,CLEVELAND,NC,50893,00126,WILL,28.127723,-92.025394,326199,Petroleum,2500,GLOBAL INDUSTRIES,False,2021,CH907027,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,4784.79,12894.52,802.11,0,1487.78,1461.61,21430.81,6799.49,2711.46,5799.3,W51,1.399,2021-07-01 08:00:00
76278JNDAD,ACME METALS INC,5805 COMMERCE DR,NEWARK,MI,90862,00150,COOK,39.596372,-95.261429,324110,Chemicals,250,US CONGLOMERATE,False,2021,CH108077,SELENIUM,7782-49-2,METAL,False,False,Selenium,1634.84,45.69,892.08,0,0,6827.7,9400.31,1270.88,1409.62,1731.75,W12,0.671,2021-07-01 08:00:00
15424OLLBU,ACME PROCESSING,2875 INDUSTRIAL ST,NEWARK,IL,61397,00011,LOS ANGELES,29.523264,-112.816432,562211,Electric Utilities,2500,,False,2023,CH823398,METHANOL,67-56-1,ORGANIC,False,False,Non-Metal,2229.47,19335.98,1052.19,741.26,0,2182.89,25541.79,7750.58,3353.02,2519.89,W14,1.2586,2023-07-01 08:00:00
